
[00:00:00.000 --> 00:00:04.440]  好,大家看看,這些是很基本的東西
[00:00:04.440 --> 00:00:08.200]  讀心理學的時候一定會看過這些圖
[00:00:08.200 --> 00:00:11.480]  大家看到左手邊,你看到些什麼呢?
[00:00:11.480 --> 00:00:14.760]  看到的是什麼呢?
[00:00:14.760 --> 00:00:16.280]  哦,一隻杯
[00:00:16.280 --> 00:00:18.080]  因為我們看白色的時候
[00:00:18.080 --> 00:00:20.160]  一隻很古董的杯,是不是?
[00:00:20.160 --> 00:00:22.280]  如果小一點,你會更加清楚的
[00:00:22.280 --> 00:00:24.280]  但如果你看黑色是什麼呢?
[00:00:24.280 --> 00:00:27.640]  是兩個人,大家來互相對峙,是不是?
[00:00:27.640 --> 00:00:30.600]  好了,右手邊,你看那些圖是什麼呢?
[00:00:30.600 --> 00:00:32.200]  如果你看白色的話
[00:00:32.200 --> 00:00:38.120]  就是一個愛斯基摩人在敲門
[00:00:38.120 --> 00:00:40.560]  但如果你看黑色的時候
[00:00:40.560 --> 00:00:42.040]  你會看到什麼呢?
[00:00:42.040 --> 00:00:45.720]  是一個紅番
[00:00:45.720 --> 00:00:49.000]  好了,這些圖
[00:00:49.000 --> 00:00:51.240]  左手邊的,你看到的是什麼呢?
[00:00:51.240 --> 00:00:53.240]  男士告訴我
[00:00:53.240 --> 00:00:54.760]  你看白色,你看到什麼呢?
[00:00:56.760 --> 00:01:00.000]  是一些女士的腳,是不是?
[00:01:00.000 --> 00:01:02.840]  穿著高跟鞋
[00:01:02.840 --> 00:01:05.600]  但如果你看黑色的話
[00:01:05.600 --> 00:01:08.960]  姐妹,我們女士們,你看到的是什麼呢?
[00:01:08.960 --> 00:01:11.440]  是男人的腳
[00:01:11.440 --> 00:01:12.920]  一腳朝天
[00:01:12.920 --> 00:01:16.040]  原來你看不同的位置
[00:01:16.040 --> 00:01:18.240]  你會得出不同的結果
[00:01:18.240 --> 00:01:21.760]  好了,我們再看右手邊那張圖
[00:01:21.760 --> 00:01:23.760]  大家看到右手邊這張圖的時候
[00:01:23.760 --> 00:01:25.040]  你看到的是什麼呢?
[00:01:25.040 --> 00:01:26.040]  黑色那裡
[00:01:26.840 --> 00:01:28.320]  那些人在做什麼呢?
[00:01:28.320 --> 00:01:29.720]  在走樓梯
[00:01:29.720 --> 00:01:31.280]  在下樓梯,是不是?
[00:01:31.280 --> 00:01:33.840]  但如果你看白色的話,是什麼呢?
[00:01:33.840 --> 00:01:35.920]  原來是箭嘴
[00:01:35.920 --> 00:01:37.680]  一個箭嘴是向上
[00:01:37.680 --> 00:01:39.400]  一個箭嘴是向下的
[00:01:39.400 --> 00:01:40.680]  明白我說什麼嗎?
[00:01:40.680 --> 00:01:43.000]  其實這是很基本的
[00:01:43.000 --> 00:01:45.160]  如果我們讀基礎心理學的時候
[00:01:45.160 --> 00:01:46.840]  經常會有這些圖片
[00:01:46.840 --> 00:01:48.840]  就是說每一件事
[00:01:48.840 --> 00:01:51.240]  你不要只看單一的一面
[00:01:51.240 --> 00:01:52.760]  原來有時候
[00:01:52.760 --> 00:01:55.080]  可能你從另一個角度去看的時候
[00:01:55.080 --> 00:01:58.320]  是完全不同的一件事情
[00:01:58.320 --> 00:02:01.920]  有時候你有沒有留意到人生有很多的衝擊
[00:02:01.920 --> 00:02:03.040]  有很多的壓力
[00:02:03.040 --> 00:02:04.720]  有很多的問題
[00:02:04.720 --> 00:02:07.840]  但是如果你只是單一看的時候
[00:02:07.840 --> 00:02:09.840]  可能會令你很不開心
[00:02:09.840 --> 00:02:12.840]  但是你從另一個角度去看的時候
[00:02:12.840 --> 00:02:14.720]  你會有很不同的反應
[00:02:14.720 --> 00:02:17.120]  好,可以告訴我這兩個是什麼字嗎?
[00:02:17.120 --> 00:02:19.600]  挑戰,是不是?
[00:02:19.600 --> 00:02:20.560]  挑戰
[00:02:20.560 --> 00:02:23.240]  但是原來從另一個角度去看的時候是什麼字呢?
[00:02:23.240 --> 00:02:24.760]  是勝利
[00:02:24.760 --> 00:02:28.640]  原來當你面對人生很多挑戰的時候
[00:02:28.640 --> 00:02:31.400]  如果你能夠克服的時候
[00:02:31.400 --> 00:02:33.840]  那你就是得到勝利了
[00:02:33.840 --> 00:02:36.480]  所以挑戰還是勝利呢?
[00:02:36.480 --> 00:02:39.080]  是很在乎你怎麼看而已
[00:02:39.080 --> 00:02:40.800]  好了,我們再看看這個字
[00:02:40.800 --> 00:02:42.160]  這個是什麼字呢?
[00:02:42.160 --> 00:02:44.480]  很明顯了,愛,是不是?
[00:02:44.480 --> 00:02:46.480]  這個最高的智慧就是愛
[00:02:46.480 --> 00:02:47.920]  這個是愛字
[00:02:47.920 --> 00:02:49.920]  但是如果你從另一個角度去看
[00:02:49.920 --> 00:02:51.920]  不是反過來,是從旁邊去看
[00:02:51.920 --> 00:02:53.360]  這個是什麼字呢?
[00:02:53.360 --> 00:02:54.960]  是神字
[00:02:54.960 --> 00:02:56.720]  神就是愛
[00:02:56.720 --> 00:02:59.320]  你看到原來我想說的就是
[00:02:59.320 --> 00:03:01.720]  今天往往有時候我們看一些東西
[00:03:01.720 --> 00:03:03.360]  我們可以很不同的
[00:03:03.360 --> 00:03:04.600]  看你怎麼看而已
[00:03:04.600 --> 00:03:07.920]  這個就是究竟是阿Q精神
[00:03:07.920 --> 00:03:10.520]  還是苦中作樂呢?
[00:03:10.520 --> 00:03:12.520]  其實我覺得有點不幸的
[00:03:12.520 --> 00:03:16.560]  大家知道最近政府也推出一些公屋
[00:03:16.560 --> 00:03:18.560]  或者六自居
[00:03:18.560 --> 00:03:23.160]  竟然一直在罵發展商
[00:03:23.160 --> 00:03:25.160]  就是出一些納米樓
[00:03:25.160 --> 00:03:28.400]  你不得不承認有一個人是很厲害的,在香港
[00:03:28.400 --> 00:03:32.480]  第一棟納米樓知不知道在哪裡開展的?
[00:03:32.480 --> 00:03:35.320]  你們是不是本土的人來的?
[00:03:35.320 --> 00:03:37.320]  第一棟納米樓
[00:03:37.320 --> 00:03:40.400]  是哪一家地產公司出的?
[00:03:40.400 --> 00:03:41.920]  知道哪一家嗎?
[00:03:41.920 --> 00:03:43.920]  長江
[00:03:43.920 --> 00:03:46.120]  第一棟納米樓知不知道在哪裡舉行呢?
[00:03:46.120 --> 00:03:49.120]  就是開展在大埔
[00:03:49.120 --> 00:03:54.880]  大埔在馮苑裡面賣得很厲害
[00:03:54.880 --> 00:03:58.720]  一梯裡面有一個大的單位
[00:03:58.720 --> 00:04:00.720]  一個小的單位
[00:04:00.720 --> 00:04:03.800]  他鼓勵人們買大的單位就買小的單位
[00:04:03.800 --> 00:04:05.800]  小的單位就是給你爸媽住
[00:04:05.800 --> 00:04:08.640]  然後等他日間過來跟你做工人
[00:04:08.640 --> 00:04:09.880]  你看小朋友的
[00:04:09.880 --> 00:04:11.880]  但是小的單位是百多呎而已
[00:04:11.880 --> 00:04:13.320]  頂多200呎
[00:04:13.320 --> 00:04:15.320]  但是想不到
[00:04:15.320 --> 00:04:17.320]  是很賣得
[00:04:17.320 --> 00:04:19.320]  因為200多呎
[00:04:19.320 --> 00:04:21.760]  但是那個呎數其實是貴的
[00:04:21.760 --> 00:04:24.320]  但因為小,人們容易上車
[00:04:24.320 --> 00:04:28.120]  於是就觸發了以後很多私家樓
[00:04:28.120 --> 00:04:31.120]  有納米樓的出現
[00:04:31.120 --> 00:04:35.520]  早幾年270多呎我們覺得小的
[00:04:35.520 --> 00:04:37.920]  但現在竟然是百多呎的
[00:04:37.920 --> 00:04:41.400]  你想想現在政府竟然在青衣那裡
[00:04:41.400 --> 00:04:43.400]  推一些六字居
[00:04:43.400 --> 00:04:46.400]  竟然那個單位可以小到152呎
[00:04:46.400 --> 00:04:50.400]  其實我們的政府都很坎坷
[00:04:50.400 --> 00:04:54.120]  你說這些居住環境這麼差的時候
[00:04:54.120 --> 00:04:58.000]  152呎是包了廚房
[00:04:58.000 --> 00:04:59.520]  洗澡房
[00:04:59.520 --> 00:05:01.720]  客廳和睡房
[00:05:01.720 --> 00:05:03.720]  所以設計真的很厲害
[00:05:03.720 --> 00:05:05.720]  因為有納米樓出現
[00:05:05.720 --> 00:05:06.720]  於是我才知道
[00:05:06.720 --> 00:05:09.520]  雖然我有三年在監獄裡面工作
[00:05:09.520 --> 00:05:11.520]  大家知不知道一個人坐牢
[00:05:11.520 --> 00:05:14.520]  他的空間是多少?
[00:05:16.520 --> 00:05:18.520]  30呎嗎?
[00:05:18.520 --> 00:05:21.520]  不是,是70呎
[00:05:21.520 --> 00:05:23.520]  70平方呎
[00:05:23.520 --> 00:05:29.520]  你想想原來納米樓是差不多的
[00:05:29.520 --> 00:05:31.120]  那你怎麼住呢?
[00:05:31.120 --> 00:05:32.520]  如果我們兩面看
[00:05:32.520 --> 00:05:33.520]  第一
[00:05:33.520 --> 00:05:35.520]  納米樓都有一個好處
[00:05:35.520 --> 00:05:38.520]  就是洗澡你不會滑倒
[00:05:38.520 --> 00:05:42.520]  因為你關了門是很難滑倒的
