
[00:00:00.000 --> 00:00:03.000]  早晨,吃了早餐沒有?
[00:00:03.000 --> 00:00:06.000]  先聞以食為先
[00:00:06.000 --> 00:00:10.000]  請我們再一次同心低頭,我們一同祈禱
[00:00:10.000 --> 00:00:14.000]  天父,我們再一次感謝祢,給祢寶貴的話語給我們
[00:00:14.000 --> 00:00:19.000]  「人活著不是單靠食物,乃是靠神考慮一切的說話」
[00:00:19.000 --> 00:00:23.000]  讓我們看得清楚,今天人生在世究竟是為了什麼
[00:00:23.000 --> 00:00:26.000]  耶穌基督在世上,祂的目的又是什麼
[00:00:26.000 --> 00:00:34.000]  也教導我們能夠在祢的話語裡得到激勵、安慰、勸勉、挑戰
[00:00:34.000 --> 00:00:37.000]  我們的生命也可以得到改變
[00:00:37.000 --> 00:00:41.000]  祢祝福引領我們,祈禱奉耶穌基督名求,阿們
[00:00:41.000 --> 00:00:50.000]  在美國有一個很出名的猶太裔作家,叫做Elijah Wiesel
[00:00:50.000 --> 00:00:56.000]  他也是曾經獲得諾貝爾和平獎的一位猶太裔作家
[00:00:56.000 --> 00:00:59.000]  他說過一個非常有趣的故事
[00:00:59.000 --> 00:01:06.000]  他說有一個猶太的拉比,在會堂裡很辛勤教導上帝的律法
[00:01:06.000 --> 00:01:13.000]  照顧他區內所有的人,他辛勤工作,非常努力
[00:01:15.000 --> 00:01:21.000]  他不單只是努力,他更加將心放在所有受痛苦的人身上
[00:01:21.000 --> 00:01:31.000]  他將生命負在一些受創傷需要安慰的人,令他身心靈都非常疲乏
[00:01:31.000 --> 00:01:41.000]  每當他看到世上的痛苦、人間的不平、內心的鬥爭
[00:01:42.000 --> 00:01:46.000]  他又覺得自己如此無奈,如此無助
[00:01:46.000 --> 00:01:51.000]  他就感到憤怒、痛苦和沮喪
[00:01:51.000 --> 00:02:00.000]  我想身體的疲倦也不是最重要,而是心靈的疲乏令他更加沮喪
[00:02:00.000 --> 00:02:04.000]  他忍受不住,他就做了一個很重要的決定
[00:02:04.000 --> 00:02:11.000]  他決定放下他的拉比袍,離開這個會堂,遠走他方
[00:02:12.000 --> 00:02:16.000]  他希望去到一個地方不再需要有人安慰他
[00:02:16.000 --> 00:02:23.000]  在這個地方不再有眼淚、不再有痛苦、不再有不平、不再有剝削
[00:02:23.000 --> 00:02:26.000]  於是他就離開了會堂
[00:02:26.000 --> 00:02:31.000]  走了幾天,他到了一條鄉村
[00:02:31.000 --> 00:02:35.000]  他正要坐在樹下稍為休息
[00:02:36.000 --> 00:02:42.000]  忽然發覺不遠就發現一個老婆婆躺在那裡
[00:02:42.000 --> 00:02:48.000]  她好像在伸淫,在很痛苦地伸淫
[00:02:48.000 --> 00:02:54.000]  這個拉比,她的職業,她的人生就是安慰人
[00:02:54.000 --> 00:02:59.000]  所以他就動了慈心,去看看這個老婆婆是什麼事
[00:03:00.000 --> 00:03:07.000]  就發覺原來這個老婆婆已經在泥流之際,在死亡裡面掙扎,極其的痛苦
[00:03:07.000 --> 00:03:12.000]  但是肉體的痛苦都不是最需要
[00:03:12.000 --> 00:03:17.000]  最需要的是孤單單走這一條這麼陌生的道路
[00:03:17.000 --> 00:03:23.000]  於是拉比就決定陪她走人生最後一個旅程
[00:03:23.000 --> 00:03:29.000]  這個老婆婆見到拉比的時候,心裡面都稍為有安慰
[00:03:30.000 --> 00:03:33.000]  她就用她微弱的聲音問拉比
[00:03:33.000 --> 00:03:39.000]  她說,先生,你可不可以告訴我,上帝去了哪裡
[00:03:39.000 --> 00:03:44.000]  為什麼上帝將我放在這個世界裡面幾十年
[00:03:44.000 --> 00:03:50.000]  我未曾經歷一天的快樂,未曾試過一天的幸福
[00:03:50.000 --> 00:03:56.000]  我的一生就是痛苦,被壓迫,被剝削
[00:03:57.000 --> 00:04:01.000]  直到今天,我是孤單單去面對死亡
[00:04:01.000 --> 00:04:05.000]  你可不可以告訴我,上帝去了哪裡
[00:04:05.000 --> 00:04:10.000]  那個仁慈的上帝為什麼要做一些這麼殘忍的事情
[00:04:10.000 --> 00:04:14.000]  拉比就因為不想聽這些話才逃跑
[00:04:14.000 --> 00:04:18.000]  現在她面對這樣的時候,她無言以對
[00:04:18.000 --> 00:04:21.000]  最後她就對這個老婆婆說
[00:04:21.000 --> 00:04:26.000]  既然這些是事實,那我們就只有接受
[00:04:28.000 --> 00:04:31.000]  老婆婆聽了這句話,好像得到安慰
[00:04:31.000 --> 00:04:37.000]  面帶笑容就離開了人世間
[00:04:37.000 --> 00:04:43.000]  拉比就很痛苦,於是她就作了一個墳墓
[00:04:43.000 --> 00:04:46.000]  將這個老婆婆葬在那裡
[00:04:46.000 --> 00:04:51.000]  但她實在太痛苦,她就對自己說
[00:04:52.000 --> 00:04:58.000]  從今天開始,我是啞的,我不說任何話
[00:04:58.000 --> 00:05:03.000]  這個啞的拉比繼續去旅程
