
[00:00:00.000 --> 00:00:06.000]  今天我們也從一段的經文當中看到聖經當中的一位的人物,
[00:00:06.000 --> 00:00:09.000]  他的名字叫雅各,看看他的生命的裡邊,
[00:00:09.000 --> 00:00:13.000]  同樣是充滿了神的恩典,然後在聖經的裡邊,
[00:00:13.000 --> 00:00:18.000]  我們看看他是怎麼樣子在人生的最後一站的時候,
[00:00:18.000 --> 00:00:23.000]  同樣去尋求神,同樣的去在依靠神的過程當中,
[00:00:23.000 --> 00:00:26.000]  經歷到神的實在,那我們一起來翻開聖經,
[00:00:26.000 --> 00:00:33.000]  今天一起翻開聖經,我們翻開《創世紀》46章,
[00:00:33.000 --> 00:00:35.000]  打開聖經《創世紀》46章,
[00:00:35.000 --> 00:00:38.000]  我今天特意不把聖經打在PowerPoint上面,
[00:00:38.000 --> 00:00:40.000]  讓大家翻一下聖經,
[00:00:40.000 --> 00:00:45.000]  第一轉聖經《創世紀》46章,
[00:00:45.000 --> 00:00:48.000]  最近其實我們教母同工,有本堂的教母同工,
[00:00:48.000 --> 00:00:53.000]  在講道的時候,無論是普通話或者是粵語堂,
[00:00:53.000 --> 00:00:56.000]  都是按照耳道字劍的順序來講,
[00:00:56.000 --> 00:00:59.000]  所以你看,如果你用耳道字劍靈修的時候,
[00:00:59.000 --> 00:01:04.000]  你會發現,其實現在也是講類似前後的經文,
[00:01:04.000 --> 00:01:06.000]  都是講道《創世紀》,
[00:01:06.000 --> 00:01:11.000]  接著我們應該是講《鐵下羅黎加後書》,
[00:01:11.000 --> 00:01:15.000]  那我們翻到聖經了沒有,46章,
[00:01:15.000 --> 00:01:19.000]  那我們從第一節讀到,先讀到第七節,
[00:01:19.000 --> 00:01:21.000]  我們一起來讀神的話語,
[00:01:21.000 --> 00:01:25.000]  首先我們來讀《鐵下羅黎加後書》,
[00:01:25.000 --> 00:01:27.000]  我們先讀到第七節,
[00:01:27.000 --> 00:01:29.000]  我們讀到第八節,
[00:01:29.000 --> 00:01:31.000]  我們讀到第九節,
[00:01:31.000 --> 00:01:33.000]  我們讀到第十一節,
[00:01:33.000 --> 00:01:35.000]  我們讀到第十二節,
[00:01:35.000 --> 00:01:37.000]  我們讀到第十三節,
[00:01:37.000 --> 00:01:39.000]  我們讀到第十四節,
[00:01:39.000 --> 00:01:41.000]  我們讀到第十五節,
[00:01:41.000 --> 00:01:43.000]  我們讀到第十六節,
[00:01:43.000 --> 00:01:45.000]  我們讀到第十七節,
[00:01:45.000 --> 00:01:47.000]  我們讀到第十八節,
[00:01:47.000 --> 00:01:49.000]  我們讀到第十九節,
[00:01:49.000 --> 00:01:51.000]  我們讀到第十八節,
[00:01:51.000 --> 00:01:53.000]  我們讀到第十九節,
[00:01:53.000 --> 00:01:55.000]  我們讀到第十九節,
[00:01:55.000 --> 00:01:57.000]  我們讀到第十八節,
[00:01:57.000 --> 00:01:59.000]  我們讀到第十九節,
[00:01:59.000 --> 00:02:01.000]  我們讀到第十九節,
[00:02:01.000 --> 00:02:03.000]  我們讀到第十九節,
[00:02:03.000 --> 00:02:05.000]  我們讀到第十九節,
[00:02:05.000 --> 00:02:07.000]  我們讀到第十九節,
[00:02:07.000 --> 00:02:09.000]  我們讀到第十九節,
[00:02:09.000 --> 00:02:11.000]  我們讀到第十九節,
[00:02:11.000 --> 00:02:13.000]  我們讀到第十九節,
[00:02:13.000 --> 00:02:15.000]  我們讀到第十九節,
[00:02:15.000 --> 00:02:17.000]  我們讀到第十九節,
[00:02:17.000 --> 00:02:19.000]  我們讀到第十九節,
[00:02:19.000 --> 00:02:21.000]  我們讀到第十九節,
[00:02:21.000 --> 00:02:23.000]  我們讀到第十九節,
[00:02:23.000 --> 00:02:25.000]  我們讀到第十九節,
[00:02:25.000 --> 00:02:27.000]  我們讀到第十九節,
[00:02:27.000 --> 00:02:29.000]  我們讀到第十九節,
[00:02:29.000 --> 00:02:31.000]  我們讀到第十九節,
[00:02:31.000 --> 00:02:33.000]  我們讀到第十九節,
[00:02:33.000 --> 00:02:35.000]  我們讀到第十九節,
[00:02:35.000 --> 00:02:37.000]  我們讀到第十九節,
[00:02:37.000 --> 00:02:39.000]  我們讀到第十九節,
[00:02:39.000 --> 00:02:41.000]  我們讀到第十九節,
[00:02:41.000 --> 00:02:43.000]  我們讀到第十九節,
[00:02:43.000 --> 00:02:45.000]  我們讀到第十九節,
[00:02:45.000 --> 00:02:47.000]  我們讀到第十九節,
[00:02:47.000 --> 00:02:49.000]  我們讀到第十九節,
[00:02:49.000 --> 00:02:51.000]  我們讀到第十九節,
[00:02:51.000 --> 00:02:53.000]  我們讀到第十九節,
[00:02:53.000 --> 00:02:55.000]  我們讀到第十九節,
[00:02:55.000 --> 00:02:57.000]  我們讀到第十九節,
[00:02:57.000 --> 00:02:59.000]  我們讀到第十九節,
[00:02:59.000 --> 00:03:01.000]  我們讀到第十九節,
[00:03:01.000 --> 00:03:03.000]  我們讀到第十九節,
[00:03:03.000 --> 00:03:05.000]  我們讀到第十九節,
[00:03:05.000 --> 00:03:07.000]  我們讀到第十九節,
[00:03:07.000 --> 00:03:09.000]  我們讀到第十九節,
[00:03:09.000 --> 00:03:11.000]  我們讀到第十九節,
[00:03:11.000 --> 00:03:13.000]  我們讀到第十九節,
[00:03:13.000 --> 00:03:15.000]  我們讀到第十九節,
[00:03:15.000 --> 00:03:17.000]  我們讀到第十九節,
[00:03:17.000 --> 00:03:19.000]  我們讀到第十九節,
[00:03:19.000 --> 00:03:21.000]  我們讀到第十九節,
[00:03:21.000 --> 00:03:23.000]  我們讀到第十九節,
[00:03:23.000 --> 00:03:25.000]  我們讀到第十九節,
[00:03:25.000 --> 00:03:27.000]  我們讀到第十九節,
[00:03:27.000 --> 00:03:29.000]  我們讀到第十九節,
[00:03:29.000 --> 00:03:31.000]  我們讀到第十九節,
[00:03:31.000 --> 00:03:33.000]  我們讀到第十九節,
[00:03:33.000 --> 00:03:35.000]  我們讀到第十九節,
