
[00:00:00.000 --> 00:00:03.000]  今個月是我們猜拳月
[00:00:03.000 --> 00:00:11.680]  猜拳是讓我們一齊去同心思想猜拳的工作
[00:00:11.680 --> 00:00:20.240]  猜拳很多時候都好像和我們沒有關係
[00:00:20.240 --> 00:00:24.080]  但是當我們來看聖經的時候
[00:00:24.080 --> 00:00:29.000]  猜拳是我們每一個基督徒的責任
[00:00:29.000 --> 00:00:32.200]  耶穌當祂離開這個世界的時候
[00:00:32.200 --> 00:00:35.200]  祂吩咐祂的門徒
[00:00:35.200 --> 00:00:41.400]  所以你們要去使萬民作我的門徒
[00:00:41.400 --> 00:00:45.600]  奉父子聖靈的名給他們施浸
[00:00:45.600 --> 00:00:51.000]  凡我所吩咐的你們的都教訓他們遵守
[00:00:51.000 --> 00:00:56.200]  我就尚與你們同在直到世界的末了
[00:00:56.200 --> 00:00:59.000]  這個是臣給我們的大使命
[00:00:59.000 --> 00:01:01.800]  這個是臣給我們的猜拳
[00:01:01.800 --> 00:01:08.600]  你有沒有來到聽到臣給我們的猜拳
[00:01:08.600 --> 00:01:12.400]  我曾經聽過一個故事或者看過一個故事
[00:01:12.400 --> 00:01:16.800]  這個故事講到在一個地方有一個很美麗的海灘
[00:01:16.800 --> 00:01:20.800]  每年暑假這個海灘都堆滿了人
[00:01:20.800 --> 00:01:26.400]  他們在這個地方吸引了很多的人來到這個地方
[00:01:26.400 --> 00:01:30.000]  來玩這個水上的活動
[00:01:30.000 --> 00:01:33.000]  但是這裡有一個奇怪的現象
[00:01:33.000 --> 00:01:38.600]  就是在這個沙灘附近有很多的請力會來設立
[00:01:38.600 --> 00:01:41.200]  為什麼會有這麼多的請力會呢
[00:01:41.200 --> 00:01:45.000]  原來這個地方有一個這樣的故事
[00:01:45.000 --> 00:01:50.000]  起初這個沙灘沒有任何的請力會
[00:01:50.000 --> 00:01:55.600]  每年暑假都有人來到這個沙灘來活動
[00:01:55.600 --> 00:01:59.200]  有一次有個暑假有一個遊客餘力
[00:01:59.200 --> 00:02:04.400]  當地的居民就自告奮勇要成立一個請力會
[00:02:04.400 --> 00:02:09.400]  還有很多人很有心來加入這個請力的工作
[00:02:09.400 --> 00:02:10.800]  起初很成功
[00:02:10.800 --> 00:02:13.800]  一年幾個夏天都沒有人餘力
[00:02:13.800 --> 00:02:16.000]  後來就有人建議
[00:02:16.000 --> 00:02:19.600]  不如我們不單止做請力的工作
[00:02:19.600 --> 00:02:22.800]  還做一些聯誼的活動
[00:02:22.800 --> 00:02:25.400]  更加讓人可以參加
[00:02:25.400 --> 00:02:29.800]  甚至一年四季我們這個請力會都可以運作
[00:02:29.800 --> 00:02:33.400]  漸漸這個請力會起了變化
[00:02:33.400 --> 00:02:37.800]  他們從來到宣傳水上安全的活動
[00:02:37.800 --> 00:02:40.200]  他的工作越做越少
[00:02:40.200 --> 00:02:44.000]  反而他們做聯誼的工作越做越多
[00:02:44.000 --> 00:02:45.200]  有些人問
[00:02:45.200 --> 00:02:49.800]  究竟我們這個是請力會還是聯誼會?
[00:02:49.800 --> 00:02:55.000]  有些會員開始有微言
[00:02:55.000 --> 00:02:59.600]  他們開始不滿意這個請力會現在的運作
[00:02:59.600 --> 00:03:02.400]  所以他們離開這個請力會
[00:03:02.400 --> 00:03:05.200]  要設立一個真正的請力會
[00:03:05.200 --> 00:03:06.800]  沒多久
[00:03:06.800 --> 00:03:12.400]  這所謂真正的請力會又變成另一間聯誼會
[00:03:12.400 --> 00:03:16.000]  所以在這個沙灘上
[00:03:16.000 --> 00:03:21.600]  這麼多間請力會不斷不斷地開展
[00:03:21.600 --> 00:03:27.200]  因淡忘了成立這個請力會的目的
[00:03:27.200 --> 00:03:30.800]  取而代之互相的關心
[00:03:30.800 --> 00:03:32.600]  所以在這個沙灘上
[00:03:32.600 --> 00:03:36.000]  就出現了這麼多的請力會
[00:03:36.000 --> 00:03:39.400]  當請力會不做請力的工作
[00:03:39.400 --> 00:03:42.800]  它還是不是一間請力會呢?
[00:03:42.800 --> 00:03:47.400]  你會問教會的任務又是什麼?
[00:03:47.400 --> 00:03:51.200]  教會的使命又是什麼?
[00:03:51.200 --> 00:03:54.800]  有一位專研究教會增長的專家
[00:03:54.800 --> 00:03:57.000]  他做過一個這樣的調查
[00:03:57.000 --> 00:03:59.400]  他調查一百間的教會
[00:03:59.400 --> 00:04:01.400]  問他們的會有一個問題
[00:04:01.400 --> 00:04:06.600]  教會成立的目的是什麼?
[00:04:06.600 --> 00:04:11.000]  很多人 差不多有九成的人都來回覆
[00:04:11.000 --> 00:04:13.000]  成立教會的目的
[00:04:13.000 --> 00:04:18.200]  就是叫我們靈性來增長
[00:04:18.200 --> 00:04:20.800]  只有11%的人
[00:04:20.800 --> 00:04:24.400]  他們說教會存在的目的
[00:04:24.400 --> 00:04:28.400]  是來叫未聽過福音的人
[00:04:28.400 --> 00:04:32.000]  他們能夠得聽耶穌的福音
[00:04:32.000 --> 00:04:34.200]  並且歸向神
[00:04:34.200 --> 00:04:37.400]  我不知道大家有沒有一個這樣的感覺
[00:04:37.400 --> 00:04:40.000]  當我們這個粵港猜拳
[00:04:40.000 --> 00:04:43.800]  你覺得和你有沒有關係?
[00:04:43.800 --> 00:04:46.800]  或者我們來到下個星期
[00:04:46.800 --> 00:04:51.800]  我們有的這個報道會
[00:04:51.800 --> 00:04:56.600]  你有沒有想過和你有一個關係?
[00:04:56.600 --> 00:04:58.600]  在上個星期
[00:04:58.600 --> 00:05:01.800]  有一位同工送一本書給我
[00:05:01.800 --> 00:05:05.800]  這本書叫做《還我教會》
[00:05:05.800 --> 00:05:09.200]  是一位李偉良先生去寫的
[00:05:09.200 --> 00:05:11.200]  這位李偉良先生
[00:05:11.200 --> 00:05:14.400]  如果我沒有認識錯的話
[00:05:14.400 --> 00:05:18.200]  他好像是一位教師
[00:05:18.200 --> 00:05:20.200]  這位教師
[00:05:20.200 --> 00:05:27.200]  為什麼會寫一本關於教會的書籍呢?
[00:05:27.200 --> 00:05:31.000]  為什麼他來寫這本書呢?
[00:05:31.000 --> 00:05:37.000]  在這本書裏頭的一個開始
[00:05:37.000 --> 00:05:40.400]  一個引現去吸引我的注意
[00:05:40.400 --> 00:05:44.600]  他在這裏說出一針見血
[00:05:44.600 --> 00:05:47.600]  今日教會的問題
[00:05:47.600 --> 00:05:50.400]  他說成精的傳統
