
[00:00:00.000 --> 00:00:04.000]  主耶穌,我們感謝禰,因爲禰知道我們的需要
[00:00:04.000 --> 00:00:11.000]  禰應許過會將禰的平安、禰的喜樂和禰的愛賜給每一個跟從禰的人
[00:00:11.000 --> 00:00:14.000]  讓禰的靈效力當中去祝福我們每位弟兄姊妹
[00:00:14.000 --> 00:00:17.000]  讓我們能夠真的去祝福禰的福氣
[00:00:17.000 --> 00:00:19.000]  讓我們活在禰的世上,能夠榮耀禰
[00:00:19.000 --> 00:00:22.000]  我們今天祈禱奉靠主耶穌的名
[00:00:22.000 --> 00:00:24.000]  Amen
[00:00:24.000 --> 00:00:25.000]  多謝新年的時間
[00:00:25.000 --> 00:00:27.000]  用上帝的祝福,祝福大家好
[00:00:27.000 --> 00:00:29.000]  讓你得到耶穌的平安、喜樂和愛
[00:00:29.000 --> 00:00:39.000]  因爲剛剛過年,所以大家都疲倦
[00:00:39.000 --> 00:00:44.000]  因爲我剛剛出鏡,所以我的聲音比較性感
[00:00:44.000 --> 00:00:48.000]  但是上個禮拜,大家忙不忙?
[00:00:48.000 --> 00:00:50.000]  很忙,是嗎?
[00:00:50.000 --> 00:00:52.000]  做了些什麼?
[00:00:52.000 --> 00:00:54.000]  有機會走過花市的,先戴上眼罩
[00:00:54.000 --> 00:00:56.000]  給點掌聲這些年輕人
[00:00:56.000 --> 00:00:59.000]  對,年輕人走過花市
[00:00:59.000 --> 00:01:02.000]  第二,喫了多少餐?有沒有數過?
[00:01:02.000 --> 00:01:04.000]  真的數不到,是嗎?
[00:01:04.000 --> 00:01:06.000]  頭一兩餐都挺OK的
[00:01:06.000 --> 00:01:09.000]  但是接下來真的完全不知道該怎麼說
[00:01:09.000 --> 00:01:11.000]  有些弟兄姊妹應該還沒回來
[00:01:11.000 --> 00:01:12.000]  但是我又看到有人回來了
[00:01:12.000 --> 00:01:14.000]  有誰已經出了外又回來了?
[00:01:14.000 --> 00:01:15.000]  先握握手吧
[00:01:15.000 --> 00:01:17.000]  恭喜他們回來了
[00:01:17.000 --> 00:01:19.000]  我都收到手信了,真的謝謝
[00:01:19.000 --> 00:01:22.000]  不過,應該還沒拆利是吧?
[00:01:22.000 --> 00:01:24.000]  昨天那羣小朋友就說
[00:01:24.000 --> 00:01:26.000]  糟了,拆了利是
[00:01:26.000 --> 00:01:28.000]  很多都還沒拆利是
[00:01:28.000 --> 00:01:30.000]  所以特別今天會講這個題目
[00:01:30.000 --> 00:01:32.000]  就是去舊迎新的祝福
[00:01:32.000 --> 00:01:36.000]  我都想我們大家同樣得到上帝真正的祝福
[00:01:36.000 --> 00:01:38.000]  很多時候我們信耶穌
