
[00:00:00.000 --> 00:00:05.240]  彼得前書這一卷書它的一個背景是這樣子
[00:00:05.240 --> 00:00:09.680]  在當時彼得寫彼得前書的時候
[00:00:09.680 --> 00:00:13.440]  教會是面臨一個非常艱難的時刻
[00:00:13.440 --> 00:00:15.920]  是面對一個逼迫的環境
[00:00:15.920 --> 00:00:18.440]  所以在那個環境裡面很多基督徒
[00:00:18.440 --> 00:00:20.600]  他們慢慢的灰心
[00:00:20.600 --> 00:00:22.960]  慢慢的不想去聚會
[00:00:22.960 --> 00:00:29.880]  慢慢的從信仰的裡面開始有一些的退後
[00:00:29.880 --> 00:00:34.400]  彼得在這樣一個背景裡面就鼓勵這些信徒
[00:00:34.400 --> 00:00:37.720]  特別是在患難困苦中間的信徒
[00:00:37.720 --> 00:00:40.640]  繼續地堅持他們的信仰
[00:00:40.640 --> 00:00:44.200]  堅持他們對上帝的一個信靠的心
[00:00:44.200 --> 00:00:47.000]  所以短短的兩節經文
[00:00:47.000 --> 00:00:48.920]  各位有沒有發現
[00:00:48.920 --> 00:00:52.080]  如果你多讀幾次多讀幾次的時候
[00:00:52.080 --> 00:00:55.680]  你就發現原來這一段話
[00:00:55.680 --> 00:00:59.280]  不是只寫給基督徒而已
[00:00:59.280 --> 00:01:04.240]  這一段話是寫給教會的每一個上帝的兒女
[00:01:04.240 --> 00:01:07.360]  所以今天早晨我想從這兩節的經文
[00:01:07.360 --> 00:01:10.960]  很簡單的兩節經文
[00:01:10.960 --> 00:01:13.480]  我們來認識一個題目
[00:01:13.480 --> 00:01:16.560]  無與倫比的一個群體
[00:01:16.560 --> 00:01:18.720]  什麼叫無與倫比呢
[00:01:18.720 --> 00:01:21.080]  這個無與倫比不是驕傲
[00:01:21.080 --> 00:01:23.120]  我們跟別人很不一樣
[00:01:23.120 --> 00:01:27.560]  這個無與倫比是一種特殊的身份一個地位
[00:01:27.560 --> 00:01:29.520]  這個群體是誰
[00:01:29.520 --> 00:01:32.320]  這個群體就表示不是只是個人而已
[00:01:32.320 --> 00:01:33.760]  這個群體是講到什麼
[00:01:33.760 --> 00:01:35.520]  是講到教會
[00:01:35.520 --> 00:01:39.120]  所以當彼得講到說唯有你們
[00:01:39.120 --> 00:01:40.760]  然而你們
[00:01:40.760 --> 00:01:46.360]  或者這個漢語聖經把它翻譯做
[00:01:46.360 --> 00:01:49.000]  但是你們
[00:01:49.000 --> 00:01:50.600]  但是你們
[00:01:50.600 --> 00:01:51.920]  這個你們也可以
[00:01:51.920 --> 00:01:55.040]  你讀聖經的時候可以把它投身的一種讀法
[00:01:55.040 --> 00:01:56.880]  你讀成我們
[00:01:56.880 --> 00:02:00.280]  你在讀我們的時候你發現很不一樣
[00:02:00.280 --> 00:02:03.480]  原來這些話不是寫給初代教會
[00:02:03.480 --> 00:02:06.960]  彼得那個時候初代小雅西亞受苦的教會
[00:02:06.960 --> 00:02:10.200]  同樣對今天的教會也是如此
[00:02:10.200 --> 00:02:13.880]  那今天我想從這兩節經文
