
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 聖誕快樂
[00:00:02.000 --> 00:00:04.780]  很高興能夠在聖誕節期間
[00:00:04.780 --> 00:00:07.740]  能夠和大家一起分享神的說話
[00:00:07.740 --> 00:00:09.860]  在這裡再一次代表我全家人
[00:00:09.860 --> 00:00:13.240]  向大家弟兄姊妹能夠藉著這個聖誕
[00:00:13.240 --> 00:00:16.280]  能夠再一次同心的在上帝的面前
[00:00:16.280 --> 00:00:19.000]  帶著信心的仰望在神的面前
[00:00:19.000 --> 00:00:20.760]  也能夠繼續有盼望
[00:00:20.760 --> 00:00:24.560]  活在基督徒人生的路上
[00:00:24.560 --> 00:00:27.300]  能夠得到上帝的喜悅
[00:00:27.300 --> 00:00:30.000]  又是聽今天的講道會先
[00:00:30.000 --> 00:00:32.240]  又是一起低頭禱告
[00:00:32.240 --> 00:00:34.640]  仰望在我們神的面前
[00:00:34.640 --> 00:00:35.560]  是美的天父
[00:00:35.560 --> 00:00:37.440]  多謝你能夠給我們
[00:00:37.440 --> 00:00:40.240]  能夠有經過一年的時間
[00:00:40.240 --> 00:00:44.500]  在這個聖誕節期間
[00:00:44.500 --> 00:00:47.920]  讓我們能夠再一次更準確地去
[00:00:47.920 --> 00:00:50.080]  認識到我們這位救主
[00:00:50.080 --> 00:00:52.120]  你怎樣去將這個救恩
[00:00:52.120 --> 00:00:56.240]  能夠建基於你的獨生兒子耶穌的身上
[00:00:56.240 --> 00:01:01.640]  讓我們能夠重新得到這條永恆的道路的盼望
[00:01:01.640 --> 00:01:03.520]  我們再次獻上感謝
[00:01:03.520 --> 00:01:05.980]  求你在以下這段時間
[00:01:05.980 --> 00:01:10.380]  讓我們能夠更精準地去掌握到聖誕的意義
[00:01:10.380 --> 00:01:11.600]  我們大家
[00:01:11.600 --> 00:01:13.440]  奉主耶穌的名號
[00:01:13.440 --> 00:01:15.980]  Amen
[00:01:15.980 --> 00:01:17.320]  每一個人
[00:01:17.320 --> 00:01:21.780]  我相信在一生當中一定有很多難忘的事情
[00:01:21.780 --> 00:01:24.880]  但我相信2020年可以說得
[00:01:24.880 --> 00:01:26.880]  特別是對我自己來說
[00:01:26.880 --> 00:01:28.880]  甚至很多基督徒來說
[00:01:28.880 --> 00:01:32.480]  是一個難以忘懷的一年
[00:01:32.480 --> 00:01:37.420]  因著這個新冠狀病毒COVID-19的廣泛擴散
[00:01:37.420 --> 00:01:39.220]  很多人已經迫不得已
[00:01:39.220 --> 00:01:43.320]  已經留在家裏面很一段的時間
[00:01:43.320 --> 00:01:45.860]  而且甚至有很多的教會
[00:01:45.860 --> 00:01:49.460]  也都被迫關上他們的門
[00:01:49.460 --> 00:01:51.240]  特別是我們教會
[00:01:51.240 --> 00:01:57.980]  我們教會是租借市政府的地區來舉行主日的聚會
[00:01:57.980 --> 00:02:03.320]  因著政府將所有的這些場所都將它關閉
[00:02:03.320 --> 00:02:05.580]  我們也都迫不得已
[00:02:05.580 --> 00:02:10.180]  已經是停止了一個實體的崇拜很一段時間
[00:02:10.180 --> 00:02:13.760]  但這個只是小的事情
[00:02:13.760 --> 00:02:18.120]  對於很多的人在這個疫症的期間
[00:02:18.120 --> 00:02:20.940]  不單止他們痛失他們的家人
[00:02:20.940 --> 00:02:26.320]  甚至可能他們自己也受到這個疫症的折磨
[00:02:26.320 --> 00:02:30.660]  我相信很多人在這個時間都覺得是非常之乏力
[00:02:30.660 --> 00:02:34.760]  來到今天我們這個聖誕節期的時間
[00:02:34.760 --> 00:02:37.580]  我們一起去思想神的說話
[00:02:37.580 --> 00:02:41.240]  一起仰望在上帝所差派的獨生兒子
[00:02:41.240 --> 00:02:48.580]  所建基的基督信仰的基礎的重要的紀念日子
[00:02:48.580 --> 00:02:51.140]  我們也都應該怎樣去處理呢?
[00:02:51.140 --> 00:02:53.760]  所以很多的人在這個時間
[00:02:53.760 --> 00:02:57.940]  覺得自己已經是再沒有什麼能力去扭轉
[00:02:57.940 --> 00:03:04.200]  這個疫症所帶來一切的痛苦和厄運的時候
[00:03:04.200 --> 00:03:06.940]  他們就不免去求神問卜
[00:03:06.940 --> 00:03:10.200]  我相信對於一般的基督徒來講
[00:03:10.200 --> 00:03:11.880]  我們不會去問卜
