
[00:00:00.000 --> 00:00:03.740]  親愛的弟兄姐妹朋友們,很高興再次能夠來到你的家中,
[00:00:03.740 --> 00:00:05.760]  和你一同敬拜詔明我們的主,
[00:00:05.760 --> 00:00:08.580]  和你一同來分享主的話語。
[00:00:08.580 --> 00:00:10.640]  在格雷多後書第一章第八節,
[00:00:10.640 --> 00:00:14.600]  是您告訴我們說,神賜給我們的不是膽怯的心,
[00:00:14.600 --> 00:00:18.140]  乃是甘強、仁愛、謹守的心。
[00:00:18.140 --> 00:00:22.100]  是的,神賜給我們的是甘強、仁愛、謹守的心。
[00:00:22.100 --> 00:00:26.160]  但我們在長期的這樣的疫情底下,
[00:00:26.160 --> 00:00:29.900]  我們難免心中感到非常的彷徨不安,
[00:00:29.900 --> 00:00:32.500]  不知道這個疫情何時了,
[00:00:32.500 --> 00:00:35.700]  疫苗何時有,心中不知道該怎麼辦。
[00:00:35.700 --> 00:00:38.900]  這好像老李去看牙醫一樣。
[00:00:38.900 --> 00:00:42.900]  有一天,老李因爲牙周發炎,就去看牙醫。
[00:00:42.900 --> 00:00:45.700]  到了牙醫店醫生檢查之後,告訴他說,
[00:00:45.700 --> 00:00:48.200]  你這必須要動手術。
[00:00:48.200 --> 00:00:51.300]  老李就回答說,我以前從來沒有動過手術,
[00:00:51.300 --> 00:00:53.200]  心裏面有一點緊張。
[00:00:53.200 --> 00:00:55.900]  牙醫就想要來安慰他,告訴他說,
[00:00:55.900 --> 00:00:59.500]  不要緊張,我也是第一次動手術啊。
[00:00:59.500 --> 00:01:02.000]  這時候就有護士走到他前面來問他說,
[00:01:02.000 --> 00:01:05.600]  醫生啊,到底這個麻醉藥是打在他嘴巴里面,
[00:01:05.600 --> 00:01:07.400]  還是打在嘴巴外面呢?
[00:01:07.400 --> 00:01:14.000]  牙醫就回答他說,打在他腿上吧,免得待會兒他逃跑了。
[00:01:14.000 --> 00:01:17.100]  告訴旁邊的人說,神賜給我們的不是膽怯的心,
[00:01:17.100 --> 00:01:21.700]  乃是甘強、仁愛、謹守的心。
[00:01:21.700 --> 00:01:24.900]  是的,神賜給我們甘強、仁愛、謹守的心。
[00:01:24.900 --> 00:01:27.700]  但你說在這長期的疫情底下,
[00:01:27.700 --> 00:01:31.100]  我們不知道前面有許許多多的未知數,
[00:01:31.100 --> 00:01:35.300]  我們心中裏面真的是難免感覺到彷徨不安。
[00:01:35.300 --> 00:01:38.800]  以前我們還可以來到教會主日崇拜,
[00:01:38.800 --> 00:01:41.600]  跟弟兄姐妹一起來敬拜、讚美我們的神,
[00:01:41.600 --> 00:01:44.400]  稍微可以喘一口氣。
[00:01:44.400 --> 00:01:46.500]  心中的負擔、心中的需要,
[00:01:46.500 --> 00:01:50.200]  也可以有弟兄姐妹或者牧者爲我們按手來禱告。
[00:01:50.200 --> 00:01:53.100]  或者是說我們心中裏面有一些的苦情,
[00:01:53.100 --> 00:01:56.800]  有弟兄姐妹願意來聆聽我們向他們的情愫。
[00:01:56.800 --> 00:02:00.800]  但是現在居家隔離這麼長一段時間,
[00:02:00.800 --> 00:02:04.300]  我們心中裏面的苦悶、心中裏面的憂悶,
[00:02:04.300 --> 00:02:07.300]  有誰能夠知道呢?
[00:02:07.300 --> 00:02:10.100]  其實我告訴你,你並不是孤單的。
[00:02:10.100 --> 00:02:13.200]  我們大家都在這樣一個壓力鍋底下,
[00:02:13.200 --> 00:02:16.000]  過了這一漫長的日子。
[00:02:16.000 --> 00:02:18.500]  但是今天我告訴你一個好消息,
[00:02:18.500 --> 00:02:22.300]  來到主的面前,祂會使你得安息。
[00:02:22.300 --> 00:02:24.700]  這是主耶穌記錄給我們的應許。
[00:02:24.700 --> 00:02:27.600]  我們來看《馬太福音》第十一章二十八節,
[00:02:27.600 --> 00:02:28.500]  耶穌記錄說:
[00:02:28.500 --> 00:02:33.500]  "凡勞苦擔重擔的人,可以到我這裏來,
[00:02:33.500 --> 00:02:37.000]  我就使你們得安息。"
[00:02:37.000 --> 00:02:38.800]  好不好,跟我一起來讀一遍。
[00:02:38.800 --> 00:02:44.200]  "凡勞苦擔重擔的人,可以到我這裏來,
[00:02:44.200 --> 00:02:48.200]  我就使你們得安息。"
[00:02:48.200 --> 00:02:51.700]  我想我們活在這個世代的人,二十一世紀的人,
[00:02:51.700 --> 00:02:54.300]  從來沒有遇見過這樣一個疫情。
[00:02:54.300 --> 00:02:58.200]  可以說比任何世代的人都還要苦悶,還要不安。
