
[00:00:00.000 --> 00:00:10.680]  《若行福音》第六章六十到六十九
[00:00:10.680 --> 00:00:12.680]  剛才都聽到讀了一次
[00:00:12.680 --> 00:00:15.240]  我想我們一起再讀一次這段聖經
[00:00:15.240 --> 00:00:17.240]  讓你心快一點
[00:00:17.240 --> 00:00:21.240]  《若行福音》六章六十到六十九
[00:00:21.240 --> 00:00:25.000]  找到沒有?隔壁的可以幫我,如果沒找到
[00:00:25.000 --> 00:00:28.000]  我們一起去讀這段聖經
[00:00:28.000 --> 00:00:29.500]  一起讀,預備起
[00:00:29.500 --> 00:00:33.000]  他的門徒中有好些人聽見了
[00:00:33.000 --> 00:00:37.000]  就說這話很難,誰聽得進呢?
[00:00:37.000 --> 00:00:41.000]  耶穌心裡知道門徒為這話私下議論
[00:00:41.000 --> 00:00:43.000]  就對他們說
[00:00:43.000 --> 00:00:46.000]  這話成了你們的絆腳石嗎?
[00:00:46.000 --> 00:00:50.000]  如果你們看見人子升到他原來所在之處
[00:00:50.000 --> 00:00:52.000]  會怎麼樣呢?
[00:00:52.000 --> 00:00:56.000]  聖靈賜人生命,肉體毫無用處
[00:00:56.000 --> 00:01:00.000]  我對你們所說的話就是靈,就是生命
[00:01:00.000 --> 00:01:03.000]  可是你們中間有些人不信
[00:01:03.000 --> 00:01:06.000]  耶穌起初就知道那些人不信他
[00:01:06.000 --> 00:01:08.000]  哪一個要出賣他
[00:01:08.000 --> 00:01:10.000]  於是耶穌說
[00:01:10.000 --> 00:01:12.000]  所以我對你們說過
[00:01:12.000 --> 00:01:14.000]  若不是蒙我父的恩賜
[00:01:14.000 --> 00:01:17.000]  沒有人能到我這裡來
[00:01:17.000 --> 00:01:20.000]  從此他們途中有很多退卻了
[00:01:20.000 --> 00:01:22.000]  不再和他同行
[00:01:22.000 --> 00:01:24.000]  耶穌就對那十二使徒說
[00:01:24.000 --> 00:01:26.000]  你們也要離開嗎?
[00:01:26.000 --> 00:01:28.000]  西門彼得回答他
[00:01:28.000 --> 00:01:30.000]  主啊,你有永生之道
[00:01:30.000 --> 00:01:32.000]  我們還跟從誰呢?
[00:01:32.000 --> 00:01:34.000]  我們已經信了
[00:01:34.000 --> 00:01:38.000]  又知道你是上帝的聖者
[00:01:38.000 --> 00:01:41.000]  好,停在這裡就行了
