
[00:00:00.000 --> 00:00:02.000]  我們再一次同心禱告
[00:00:02.000 --> 00:00:04.000]  天父求祢
[00:00:04.000 --> 00:00:07.000]  讓我們有一個謙卑的心
[00:00:07.000 --> 00:00:09.000]  在這個話語裏面
[00:00:09.000 --> 00:00:11.000]  我們願意去學習
[00:00:11.000 --> 00:00:12.000]  去進行
[00:00:12.000 --> 00:00:14.000]  我們希望藉著這個話語
[00:00:14.000 --> 00:00:16.000]  在這個世界能夠去榮耀祢
[00:00:16.000 --> 00:00:19.000]  這樣禱告奉耶穌基督的聖名
[00:00:19.000 --> 00:00:20.000]  阿們
[00:00:20.000 --> 00:00:24.000]  其實人是很重視外表
[00:00:24.000 --> 00:00:27.000]  香港人也不例外
[00:00:27.000 --> 00:00:32.000]  每年香港人花在美容這些行業
[00:00:32.000 --> 00:00:35.000]  花費很驚人
[00:00:35.000 --> 00:00:39.000]  在2011年有一個市場調查
[00:00:39.000 --> 00:00:43.000]  訪問了1200個15到50歲的女性
[00:00:43.000 --> 00:00:47.000]  她每年用於護膚的消費
[00:00:47.000 --> 00:00:53.000]  原來平均每人是1029元
[00:00:53.000 --> 00:00:55.000]  我覺得這個可能會偏高
[00:00:55.000 --> 00:00:59.000]  可能訪問的那班是比較有錢的
[00:00:59.000 --> 00:01:01.000]  但原來這個數字
[00:01:01.000 --> 00:01:05.000]  這個金額會隨著你的年紀增長
[00:01:05.000 --> 00:01:10.000]  在30到39歲數的界別
[00:01:10.000 --> 00:01:13.000]  增長到每年11003元
[00:01:13.000 --> 00:01:15.000]  40歲以上
[00:01:15.000 --> 00:01:18.000]  平均每年13804元
[00:01:18.000 --> 00:01:20.000]  如果根據
[00:01:20.000 --> 00:01:22.000]  你知道2011年剛好有人口普查
[00:01:22.000 --> 00:01:24.000]  我上網看過
[00:01:24.000 --> 00:01:28.000]  原來15到50歲的香港女性有208萬
[00:01:28.000 --> 00:01:30.000]  如果你不計她的尾數
[00:01:30.000 --> 00:01:33.000]  200萬每人一萬元
[00:01:33.000 --> 00:01:37.000]  即是說香港15到50歲的女性
[00:01:37.000 --> 00:01:42.000]  每年會花200億在護膚這件事上
[00:01:42.000 --> 00:01:45.000]  只是護膚
[00:01:45.000 --> 00:01:47.000]  不計瘦身
[00:01:47.000 --> 00:01:48.000]  修甲
[00:01:48.000 --> 00:01:49.000]  整容
[00:01:49.000 --> 00:01:51.000]  髮型
