
[00:00:00.000 --> 00:00:06.460]  人生是不是就像旅遊一樣呢 是嗎 是嗎
[00:00:06.460 --> 00:00:12.920]  吃得好 住得好 睡得好 人生是如此嗎
[00:00:12.920 --> 00:00:15.000]  當然希望是如此
[00:00:15.000 --> 00:00:19.660]  所以今天我要跟他講福樂人生的秘訣
[00:00:19.660 --> 00:00:25.880]  跟你旁邊說 祝福你有一個福樂人生
[00:00:25.880 --> 00:00:34.200]  什麼是福啊 什麼是福啊
[00:00:34.200 --> 00:00:39.360]  中國的這個字福 大家看一下
[00:00:39.360 --> 00:00:44.840]  你看這個福的右手邊 右邊是什麼
[00:00:44.840 --> 00:00:50.040]  一口甜啊 是不是 一口甜
[00:00:50.040 --> 00:00:53.240]  那中國人很懂這件事情的 是不是
[00:00:53.240 --> 00:00:56.780]  在農業社會的時候 有田
[00:00:56.780 --> 00:01:01.080]  有田就代表什麼 有土地啊
[00:01:01.080 --> 00:01:03.200]  土地就是金啊 是不是
[00:01:03.200 --> 00:01:05.960]  有田就能夠吃飯了
[00:01:05.960 --> 00:01:12.400]  所以呢 這個一口福一口甜太重要了
[00:01:12.400 --> 00:01:16.200]  但是你注意看 福氣還不單單是你有田產
[00:01:16.200 --> 00:01:19.240]  還不單單是你有這些可吃的東西
[00:01:19.240 --> 00:01:27.840]  這個右邊是什麼 左邊是什麼
[00:01:27.840 --> 00:01:33.360]  左邊其實是一個"是" 這個字
[00:01:33.360 --> 00:01:37.760]  "是"是什麼呢 "是"其實就是祭祀
[00:01:37.760 --> 00:01:39.680]  代表的是什麼 祭祀誰啊
[00:01:39.680 --> 00:01:42.680]  祭祀神 祭祀天 是不是
[00:01:42.680 --> 00:01:51.560]  所以代表了這一口甜是有神在旁邊的
[00:01:51.560 --> 00:01:54.000]  如果沒有神的旁邊 沒有神在旁邊
[00:01:54.000 --> 00:01:57.400]  沒有神的保護 這不是福
[00:01:57.400 --> 00:02:00.040]  所以這一個中國字很有意思啊
[00:02:00.040 --> 00:02:02.520]  親愛的諸葳 這個字也說明了
[00:02:02.520 --> 00:02:04.680]  今天我們要講福樂人生
[00:02:04.680 --> 00:02:08.440]  也就是詩篇 詩六篇所要表達一個很重要的觀念
[00:02:08.440 --> 00:02:12.160]  就是福樂人生的關鍵是在哪裡呢
[00:02:12.160 --> 00:02:15.400]  就是有神 Amen
[00:02:15.400 --> 00:02:23.280]  跟你旁邊說 有神你就有福了
[00:02:23.280 --> 00:02:28.120]  詩篇、詩六篇我們來看
[00:02:28.120 --> 00:02:31.160]  詩篇、詩六篇是大衛的經詩
[00:02:31.160 --> 00:02:34.040]  但是你知道嗎 大衛寫詩篇、詩六篇的時候
[00:02:34.040 --> 00:02:36.320]  他的情況是什麼 他的背景是什麼
[00:02:36.320 --> 00:02:40.560]  大衛是在被掃羅追殺的情況之下
[00:02:40.560 --> 00:02:42.920]  親愛的諸葳
[00:02:42.920 --> 00:02:46.040]  如果你在被別人追殺的情況之下
[00:02:46.040 --> 00:02:51.240]  你看看詩篇、詩六篇他在講些什麼
