
[00:00:00.000 --> 00:00:07.000]  有很多教會在一年的統計數字裏有這樣的現象
[00:00:07.000 --> 00:00:11.000]  到了十二月份,無論是出席的數字
[00:00:11.000 --> 00:00:15.000]  或者是奉獻的數字,都是全年最高的
[00:00:15.000 --> 00:00:18.000]  大家知不知道原因是什麼?
[00:00:18.000 --> 00:00:20.000]  相信大家都知道了,為什麼呢?
[00:00:20.000 --> 00:00:22.000]  因為有聖誕節嘛
[00:00:22.000 --> 00:00:26.000]  聖誕節裏面特別多信徒一起回到教會裏面
[00:00:26.000 --> 00:00:31.000]  或者覺得聖誕節都是信徒應該要回去教會裏面
[00:00:31.000 --> 00:00:33.000]  最少如果我不是常常回去
[00:00:33.000 --> 00:00:36.000]  一年一次都要在聖誕節回去
[00:00:36.000 --> 00:00:40.000]  或者特別在日子裏面都要去參與
[00:00:40.000 --> 00:00:46.000]  所以在那時候發覺聖誕節教會都是特別多人
[00:00:46.000 --> 00:00:50.000]  當然是一個大的節期
[00:00:50.000 --> 00:00:53.000]  以致有這麼多人去參與
[00:00:53.000 --> 00:00:58.000]  但當然一個節期過後之後又如何呢?
[00:00:58.000 --> 00:01:01.000]  剛才我們讀了一節經文,很短的
[00:01:01.000 --> 00:01:03.000]  或者我們再讀一次,好嗎?
[00:01:03.000 --> 00:01:07.000]  《馬太福音》第二章第十二節
[00:01:07.000 --> 00:01:10.000]  因為在夢中得主的啟示
[00:01:10.000 --> 00:01:13.000]  這個我是新譯判,我先讀和盤
[00:01:13.000 --> 00:01:16.000]  博士因為在夢中被主指示
[00:01:16.000 --> 00:01:22.000]  不要回去見希律,就從別的路回去本地
[00:01:22.000 --> 00:01:25.000]  當然這個我們都知道
[00:01:25.000 --> 00:01:31.000]  是東方的博士去特內一個地方
[00:01:31.000 --> 00:01:34.000]  去敬拜英雄主耶穌
[00:01:34.000 --> 00:01:37.000]  見到之後他就回去了
[00:01:37.000 --> 00:01:41.000]  在他回去的時候有一段道程
[00:01:41.000 --> 00:01:44.000]  這段經文給我們很多的思想
[00:01:44.000 --> 00:01:46.000]  因為剛才我說
[00:01:46.000 --> 00:01:49.000]  究竟一個節慶之後
[00:01:49.000 --> 00:01:51.000]  究竟我們會得到些什麼呢?
[00:01:51.000 --> 00:01:57.000]  我們從博士遠道東方而來的地方
[00:01:57.000 --> 00:02:01.000]  去特內敬拜英雄主耶穌的時候
[00:02:01.000 --> 00:02:04.000]  他們有些什麼特徵呢?
[00:02:04.000 --> 00:02:06.000]  這裡說到博士見到耶穌基督之後
[00:02:06.000 --> 00:02:10.000]  他們在夢中得到一些指示
[00:02:10.000 --> 00:02:15.000]  要他們從另一條路回到他們的家鄉
[00:02:15.000 --> 00:02:17.000]  從地理上來說
[00:02:17.000 --> 00:02:23.000]  當然這些博士就從另一條路回到他們的家鄉
[00:02:23.000 --> 00:02:25.000]  不論他們今次怎樣去轉機
[00:02:25.000 --> 00:02:28.000]  怎樣去繞路,不理會他們
[00:02:28.000 --> 00:02:32.000]  總之又不是剛才來的那條路
[00:02:32.000 --> 00:02:36.000]  但是要去看的更加是屬靈的意義上
[00:02:36.000 --> 00:02:37.000]  這個屬靈的意義上是
[00:02:37.000 --> 00:02:40.000]  究竟他們回去的那條路
[00:02:40.000 --> 00:02:46.000]  是一條改變了他們人生方向的路
[00:02:46.000 --> 00:02:48.000]  一條又活又新的路
[00:02:48.000 --> 00:02:50.000]  所以今天和大家去思想
[00:02:50.000 --> 00:02:53.000]  究竟當他們敬拜耶穌基督之後
[00:02:53.000 --> 00:02:58.000]  或者我們今天說這個大節慶過了之後
[00:02:58.000 --> 00:03:00.000]  我們從這幾位博士身上
[00:03:00.000 --> 00:03:03.000]  有沒有得到一些學習
[00:03:03.000 --> 00:03:05.000]  就好像他們一樣
[00:03:05.000 --> 00:03:09.000]  從別的路回到他們的地方
[00:03:09.000 --> 00:03:10.000]  就是說屬靈的意義上
[00:03:10.000 --> 00:03:13.000]  我們有沒有一個新的方向
[00:03:13.000 --> 00:03:20.000]  或者我們有沒有一個不是回頭的路
[00:03:20.000 --> 00:03:24.000]  而是給我們帶著一個新的方向
[00:03:24.000 --> 00:03:32.000]  一個由神自己帶領給我們的前路呢?
[00:03:32.000 --> 00:03:37.000]  我怎樣去分享和大家去看
[00:03:37.000 --> 00:03:41.000]  今天說的博士他們回去的那條路呢?
[00:03:41.000 --> 00:03:45.000]  首先我覺得是一條成長的路
[00:03:45.000 --> 00:03:51.000]  博士是帶著一個甦醒的靈魂回到家裏
[00:03:51.000 --> 00:03:57.000]  經過了一次很興奮很滿足的經歷之後
[00:03:57.000 --> 00:04:00.000]  一般人的心情都很輕鬆很開心
[00:04:00.000 --> 00:04:03.000]  然後回到自己日常的崗位裏
[00:04:03.000 --> 00:04:06.000]  以致開始去工作
[00:04:06.000 --> 00:04:09.000]  可能很多學生明天就要上學了
[00:04:09.000 --> 00:04:12.000]  有一個很長的聖誕假新年假之後
[00:04:12.000 --> 00:04:15.000]  或者一些頂梓妹的朋友
[00:04:15.000 --> 00:04:18.000]  我們可能這幾天都拿了很多假期
[00:04:18.000 --> 00:04:23.000]  可能又要去面對上班工作的崗位
[00:04:23.000 --> 00:04:29.000]  有一個症狀叫做「折後綜合症狀」
[00:04:29.000 --> 00:04:30.000]  大家聽懂了嗎?
[00:04:30.000 --> 00:04:32.000]  叫做「折後綜合症狀」
[00:04:32.000 --> 00:04:33.000]  意思是什麼呢?
[00:04:33.000 --> 00:04:35.000]  當一些人拿了大假之後
[00:04:35.000 --> 00:04:40.000]  有各種心理的表現
[00:04:40.000 --> 00:04:46.000]  放假之後兩三天就發覺好像放完假了
[00:04:46.000 --> 00:04:49.000]  還很厭倦地提不起精神
[00:04:49.000 --> 00:04:52.000]  然後上班的工作效率很低
[00:04:52.000 --> 00:04:58.000]  甚至心理上出現一些問題
[00:04:58.000 --> 00:05:01.000]  好像總是很不舒服
[00:05:01.000 --> 00:05:06.000]  甚至有時候肚子又不舒服
[00:05:06.000 --> 00:05:09.000]  心又不舒服等等
[00:05:09.000 --> 00:05:12.000]  說來說去就好像不想上班一樣
[00:05:12.000 --> 00:05:15.000]  你有沒有發覺有些人連星期一都放假
[00:05:15.000 --> 00:05:17.000]  連星期一請病假都有
[00:05:17.000 --> 00:05:20.000]  放完假之後總是覺得還沒有放夠
[00:05:20.000 --> 00:05:22.000]  所以總是不舒服
[00:05:22.000 --> 00:05:25.000]  這種叫做「折後綜合症狀」
[00:05:25.000 --> 00:05:29.000]  當然這個情況有些人會出現
[00:05:29.000 --> 00:05:32.000]  因為太興奮太開心
[00:05:32.000 --> 00:05:36.000]  突然間又要恢復原狀
[00:05:36.000 --> 00:05:38.000]  一時適應不到過來
[00:05:38.000 --> 00:05:41.000]  尤其是在聖誕除夕過後
[00:05:41.000 --> 00:05:45.000]  我們都會有這樣的情況
[00:05:45.000 --> 00:05:47.000]  當然有這樣的情況
[00:05:47.000 --> 00:05:50.000]  都代表你在假期玩得很開心
[00:05:50.000 --> 00:05:53.000]  但是如果另一個情況
[00:05:53.000 --> 00:05:57.000]  我們從一個屬靈的角度去看
[00:05:57.000 --> 00:06:01.000]  在聖誕假期或者這種節慶之後
[00:06:01.000 --> 00:06:04.000]  究竟相反來說
[00:06:04.000 --> 00:06:08.000]  我們那個屬靈的生命有沒有得到提升呢?
[00:06:08.000 --> 00:06:11.000]  我相信博士他們很興奮
[00:06:11.000 --> 00:06:13.000]  經過一段很長的時間
[00:06:13.000 --> 00:06:16.000]  來到見到耶穌
[00:06:16.000 --> 00:06:19.000]  他們回去會不會很失落呢?
[00:06:19.000 --> 00:06:22.000]  我覺得他們是
[00:06:22.000 --> 00:06:27.000]  如我剛才所說,他們是帶著一個蘇醒的靈魂
[00:06:27.000 --> 00:06:31.000]  回到他們的家鄉
[00:06:31.000 --> 00:06:35.000]  就好像在詩篇23篇第三節說
[00:06:35.000 --> 00:06:37.000]  他使我的靈魂蘇醒
[00:06:37.000 --> 00:06:40.000]  為自己的名引導我走二路
[00:06:40.000 --> 00:06:44.000]  因為每當我們與神相遇的時候
[00:06:44.000 --> 00:06:47.000]  我覺得我們都是一個機會
[00:06:47.000 --> 00:06:51.000]  讓神去蘇醒我們的靈魂
[00:06:51.000 --> 00:06:53.000]  當然如果說到一個未信主的時候
[00:06:53.000 --> 00:06:55.000]  我們能夠信耶穌
[00:06:55.000 --> 00:07:00.000]  我們能夠得到一個靈命的復甦
[00:07:00.000 --> 00:07:02.000]  但其實對一個教徒來說
[00:07:02.000 --> 00:07:04.000]  每一次我們經歷神
[00:07:04.000 --> 00:07:08.000]  都能夠去提升我們屬靈的生命
[00:07:08.000 --> 00:07:11.000]  所以其實一個聖誕的假期裡面
[00:07:11.000 --> 00:07:13.000]  一個聖誕的節慶裡面
[00:07:13.000 --> 00:07:16.000]  當我們慶祝我們救主耶穌的降生
[00:07:16.000 --> 00:07:21.000]  當我們去慶祝新的一年來臨的時候
