
[00:00:00.000 --> 00:00:04.440]  今天是西方傳統宗教禮儀年曆的第一天
[00:00:04.440 --> 00:00:06.880]  通常來說很特別是十月初
[00:00:06.880 --> 00:00:12.240]  我們就開始為聖誕節做這個張琳琪
[00:00:12.240 --> 00:00:13.240]  Advan
[00:00:13.240 --> 00:00:16.560]  所以你看到我們有一個叫做Advan
[00:00:16.560 --> 00:00:19.040]  通常頭四個星期
[00:00:19.040 --> 00:00:20.720]  第一個星期點了蠟燭
[00:00:20.720 --> 00:00:23.520]  一二三四去到聖誕節那一天
[00:00:23.520 --> 00:00:27.040]  但是對於世界大部分來說
[00:00:27.040 --> 00:00:28.920]  聖誕節前後的日子
[00:00:28.920 --> 00:00:30.920]  就不是有什麼宗教氣氛
[00:00:30.920 --> 00:00:32.720]  只是親朋好友聚會
[00:00:32.720 --> 00:00:34.040]  休假的時間
[00:00:34.040 --> 00:00:35.840]  交換一下禮物的日子
[00:00:35.840 --> 00:00:37.680]  去購物
[00:00:37.680 --> 00:00:41.160]  所以經常有些虔誠的基督徒不滿
[00:00:41.160 --> 00:00:45.680]  說聖誕節商業氣氛比宗教的色彩還要濃厚
[00:00:45.680 --> 00:00:47.960]  主角變成了聖誕老人
[00:00:47.960 --> 00:00:49.600]  多過耶穌
[00:00:49.600 --> 00:00:51.680]  這種對聖誕節的不滿
[00:00:51.680 --> 00:00:54.680]  其實一開始就已經存在
[00:00:54.680 --> 00:00:55.920]  君士坦丁
[00:00:55.920 --> 00:00:58.720]  讓基督教成為羅馬國教之後
[00:00:58.720 --> 00:01:00.520]  羅馬教會很快
[00:01:00.520 --> 00:01:03.160]  就在三三六年選擇了
[00:01:03.160 --> 00:01:05.800]  統一用十二月二十五日
[00:01:05.800 --> 00:01:07.480]  來慶祝聖誕節
[00:01:07.480 --> 00:01:08.440]  但是其實早期
[00:01:08.440 --> 00:01:10.760]  這個就是他第一次用的時候
[00:01:10.760 --> 00:01:13.360]  特別有一個紀念的銀幣
[00:01:13.360 --> 00:01:16.280]  其實早期教會的文獻當中沒有證據
[00:01:16.280 --> 00:01:19.400]  耶穌是誕生於十二月二十五日
[00:01:19.400 --> 00:01:20.640]  有一位教父
[00:01:20.640 --> 00:01:23.440]  推算耶穌其實應該是四月出生的
[00:01:23.440 --> 00:01:25.600]  為什麼減了十二月二十五日呢
[00:01:25.600 --> 00:01:29.160]  傳統來說最流行的理論就是
[00:01:29.160 --> 00:01:31.480]  取代一個異教的節日
[00:01:31.480 --> 00:01:35.400]  為了同化更加多的人加入基督教
[00:01:35.400 --> 00:01:38.760]  教會就保留了一些異教節日的元素
[00:01:38.760 --> 00:01:40.360]  可以吃可以玩
[00:01:40.360 --> 00:01:43.720]  但是賦予它一個基督教的詮釋
[00:01:43.720 --> 00:01:46.560]  所以聖誕節的慶祝一開始
[00:01:46.560 --> 00:01:47.880]  都是多多少少說真的
[00:01:47.880 --> 00:01:49.520]  就是借宗教為名
[00:01:49.520 --> 00:01:52.160]  吃喝玩樂為實
[00:01:52.160 --> 00:01:54.320]  因此教會歷史裡面不少基督徒
[00:01:54.320 --> 00:01:57.640]  其實是拒絕慶祝聖誕節的
[00:01:57.640 --> 00:02:00.960]  不過當我們基督徒去批評
[00:02:00.960 --> 00:02:02.920]  聖誕節太過物質主義的時候
[00:02:02.920 --> 00:02:05.080]  我們首先應該問一個問題
[00:02:05.080 --> 00:02:08.160]  物質的事情是不是一定不好呢
[00:02:08.160 --> 00:02:10.360]  如果你看看創世紀第一章第一節
[00:02:10.360 --> 00:02:11.600]  一開始就說
[00:02:11.600 --> 00:02:14.080]  起初神創造天地
[00:02:14.080 --> 00:02:16.000]  在聖經裡面創世紀
[00:02:16.000 --> 00:02:18.360]  沒有開始講很多時間如何創造天
[00:02:18.360 --> 00:02:22.080]  一開始就講述神如何創造地
[00:02:22.080 --> 00:02:25.520]  很多人認為天這個字是指基督徒
[00:02:25.520 --> 00:02:27.600]  通常我們講靈界
[00:02:27.600 --> 00:02:30.120]  地其實是指整個物質宇宙
[00:02:30.120 --> 00:02:32.840]  所謂物界就不只是地球
[00:02:32.840 --> 00:02:36.160]  那麼神看著這個物質的宇宙說什麼呢
[00:02:36.160 --> 00:02:37.000]  哇
[00:02:37.000 --> 00:02:38.680]  很棒
[00:02:38.680 --> 00:02:40.480]  物質的事情
[00:02:40.480 --> 00:02:44.680]  可以用物理用化學用生物來描述的東西
[00:02:44.680 --> 00:02:47.520]  神的眼中都是非常之好的
[00:02:47.520 --> 00:02:50.400]  就好像神幫自己的手工一樣
[00:02:50.400 --> 00:02:51.560]  給一個評分
[00:02:51.560 --> 00:02:54.040]  A這個根性
[00:02:54.040 --> 00:02:56.400]  但是當神創造了人類
[00:02:56.400 --> 00:02:59.080]  在人的鼻孔裡面吹了口氣
[00:02:59.080 --> 00:03:03.240]  使他變成了有靈的活人之後
[00:03:03.240 --> 00:03:05.000]  神的評分就變成
[00:03:05.000 --> 00:03:06.040]  甚好
[00:03:06.040 --> 00:03:07.320]  非常之好
[00:03:07.320 --> 00:03:09.160]  A++
[00:03:09.160 --> 00:03:10.160]  為什麼呢
[00:03:10.160 --> 00:03:12.880]  因為人類和所有動物一樣
[00:03:12.880 --> 00:03:14.720]  雖然有一個好的身體
[00:03:14.720 --> 00:03:16.800]  但是當人有靈氣之後
[00:03:16.800 --> 00:03:20.440]  人就變成了天在地上的代表
[00:03:20.440 --> 00:03:24.600]  靈界和物界的中間人
[00:03:24.600 --> 00:03:26.080]  開始
[00:03:26.080 --> 00:03:28.880]  我們有個有獎問答遊戲
[00:03:28.880 --> 00:03:31.320]  今天準備了一份獎品
[00:03:31.320 --> 00:03:32.280]  聖誕貓
[00:03:32.280 --> 00:03:35.280]  Irene師母手工
[00:03:35.280 --> 00:03:41.240]  獎勵第一個舉手答對的朋友
[00:03:41.240 --> 00:03:42.200]  很簡單的問題
[00:03:42.200 --> 00:03:44.000]  鬥快一下
[00:03:44.000 --> 00:03:45.520]  擺擺給我舉手
[00:03:45.520 --> 00:03:47.680]  試問在神眼中
[00:03:47.680 --> 00:03:49.320]  他創造的東西當中
[00:03:49.320 --> 00:03:50.880]  哪一樣東西是最寶貴
[00:03:50.880 --> 00:03:53.160]  這麼快
[00:03:53.160 --> 00:03:54.640]  真的快
[00:03:54.640 --> 00:03:55.760]  還沒問完
[00:03:55.760 --> 00:04:00.160]  好了 給點掌聲
[00:04:00.160 --> 00:04:02.000]  快而準
[00:04:02.000 --> 00:04:04.080]  預備好了
[00:04:04.080 --> 00:04:06.960]  他真的沒有造會
[00:04:06.960 --> 00:04:07.840]  真的
[00:04:07.840 --> 00:04:08.920]  人
[00:04:08.920 --> 00:04:11.520]  你和我就是神的寶貝
[00:04:11.520 --> 00:04:14.040]  世上沒有東西比人更加寶貴
[00:04:14.040 --> 00:04:15.360]  更有尊嚴的
[00:04:15.360 --> 00:04:17.040]  所以《約翰福音》三章十六節
[00:04:17.040 --> 00:04:19.560]  是基督教信仰的核心真理
[00:04:19.560 --> 00:04:21.520]  因為神愛世人
[00:04:21.520 --> 00:04:24.320]  甚至將他的獨生子賜給他們
[00:04:24.320 --> 00:04:25.880]  叫一切信他的
[00:04:25.880 --> 00:04:28.360]  不自滅亡 返得永生
[00:04:28.360 --> 00:04:32.000]  神願意犧牲他的獨生兒子的身體
[00:04:32.000 --> 00:04:34.040]  來贖回人類的靈魂
[00:04:34.040 --> 00:04:37.040]  當然不是意味物質的身體沒有價值
[00:04:37.040 --> 00:04:39.560]  人的身體有極大的價值
[00:04:39.560 --> 00:04:43.360]  耶穌基督為我們犧牲的身體價值是無限的
[00:04:43.360 --> 00:04:48.840]  但是世人的靈魂在神眼中有更超然的價值
[00:04:48.840 --> 00:04:54.080]  我們讀聖經的時候要掌握神的價值觀作為背景
[00:04:54.080 --> 00:04:56.000]  才有時候看到經文的時候
[00:04:56.000 --> 00:05:01.360]  能夠更加掌握一個準確而且深層次的意義
[00:05:01.360 --> 00:05:03.200]  因為其實這個價值觀
[00:05:03.200 --> 00:05:04.640]  《創世紀》所說的
[00:05:04.640 --> 00:05:09.800]  已經是根深蒂固在原先的讀者當中
[00:05:09.800 --> 00:05:13.320]  所以我們要明白這一點才不會先入為主
[00:05:13.320 --> 00:05:18.000]  將我們的價值觀讀在聖經的字面之下
[00:05:18.000 --> 00:05:22.520]  今天經文耶穌在馬太方第六章十九至二十一節
[00:05:22.520 --> 00:05:25.800]  說的幾句話就是一個好的例子
[00:05:25.800 --> 00:05:28.520]  不要為自己在地上積蓄財寶
[00:05:28.520 --> 00:05:31.360]  地上有蟲子咬 能受壞
[00:05:31.360 --> 00:05:34.360]  也有賊挖洞來偷
[00:05:34.360 --> 00:05:36.520]  要在天上積蓄財寶
[00:05:36.520 --> 00:05:39.320]  天上沒有蟲子咬 不會受壞
[00:05:39.320 --> 00:05:42.080]  也沒有賊挖洞來偷
[00:05:42.080 --> 00:05:44.320]  因為你的財寶在那裡
[00:05:44.320 --> 00:05:48.040]  你的心也在那裡
[00:05:48.040 --> 00:05:49.880]  讀這段聖經 解釋這段經文
[00:05:49.880 --> 00:05:51.640]  有時候有些極端的看法
[00:05:51.640 --> 00:05:54.400]  認為地上的一切
[00:05:54.400 --> 00:05:58.560]  金錢 知識 財幹 肉體的享受
[00:05:58.560 --> 00:05:59.680]  都是沒有價值的
[00:05:59.680 --> 00:06:01.280]  甚至是邪惡的
[00:06:01.280 --> 00:06:03.600]  但這不是耶穌的意思
[00:06:03.600 --> 00:06:06.640]  如果地上所有的都是壞的 都是邪惡的
[00:06:06.640 --> 00:06:08.880]  那為何要叫它做財寶呢
[00:06:08.880 --> 00:06:10.000]  沒什麼好東西
[00:06:10.000 --> 00:06:12.080]  其實耶穌在這裏做一個比較
[00:06:12.080 --> 00:06:16.920]  他是說 雖然盡管地上有這麼多珍貴的東西
[00:06:16.920 --> 00:06:19.320]  和天上的珍寶相比
[00:06:19.320 --> 00:06:23.120]  它們不值得你花時間去收集
[00:06:23.120 --> 00:06:26.040]  你可以用你的亞馬遜的贈品買很多東西
[00:06:26.040 --> 00:06:29.680]  Black Friday在Walmart減價就買得更多
[00:06:29.680 --> 00:06:31.920]  但亞馬遜的贈品
[00:06:31.920 --> 00:06:35.000]  不能夠幫你買到天上的財寶
[00:06:35.000 --> 00:06:37.000]  天上的珍寶
[00:06:37.000 --> 00:06:39.000]  什麼是天上的珍寶呢
[00:06:39.000 --> 00:06:44.160]  它必須是天父眼中看為寶貝的東西
[00:06:44.160 --> 00:06:46.560]  所以什麼是天上的珍寶
[00:06:46.560 --> 00:06:48.080]  神的兒女
[00:06:48.080 --> 00:06:49.680]  好像你和我
[00:06:49.680 --> 00:06:51.320]  這些有靈的活人
[00:06:51.320 --> 00:06:53.320]  就是天上的珍寶
[00:06:53.320 --> 00:06:57.360]  因此我們要積蓄天上的財寶
[00:06:57.360 --> 00:07:00.880]  其實就是積蓄天父的寶貝
[00:07:00.880 --> 00:07:02.280]  積蓄天父的寶貝
[00:07:02.280 --> 00:07:06.400]  就是讓你自己更配得清為神的兒女
[00:07:06.400 --> 00:07:08.320]  積蓄天父的寶貝
[00:07:08.320 --> 00:07:12.800]  也是幫助更多人成為神的兒女
[00:07:12.800 --> 00:07:14.800]  那地上的財寶呢
[00:07:14.800 --> 00:07:18.600]  金錢 知識 財幹 肉體的享受
[00:07:18.600 --> 00:07:19.840]  有沒有價值
[00:07:19.840 --> 00:07:22.560]  都有的 有短暫的價值
[00:07:22.560 --> 00:07:25.440]  只是當你把地上的財寶
[00:07:25.440 --> 00:07:27.600]  看得比天上的寶貝
[00:07:27.600 --> 00:07:30.080]  天父的寶貝更加重要的時候
[00:07:30.080 --> 00:07:32.080]  就變成了本末倒置
[00:07:32.080 --> 00:07:34.200]  甚至會對你有害
[00:07:34.200 --> 00:07:36.040]  當你在乎自己的身體
[00:07:36.040 --> 00:07:37.480]  多於自己的靈魂
[00:07:37.480 --> 00:07:39.000]  當你為了吃些什麼
[00:07:39.000 --> 00:07:39.680]  穿些什麼
[00:07:39.680 --> 00:07:40.920]  出賣你的人格
[00:07:40.920 --> 00:07:42.560]  破壞你和神的關係
[00:07:42.560 --> 00:07:44.440]  這就是本末倒置
[00:07:44.440 --> 00:07:46.200]  為了那些會穿會爛的東西
[00:07:46.200 --> 00:07:50.320]  犧牲了一些永恆不留的珍寶
[00:07:50.320 --> 00:07:52.320]  耶穌基督血肉的支軀
[00:07:52.320 --> 00:07:53.840]  其實是寶貴的
