
[00:00:00.000 --> 00:00:03.420]  領袖們平安,我們一起祈禱
[00:00:03.420 --> 00:00:06.760]  我們感謝贊美尼智的恩典
[00:00:06.760 --> 00:00:11.760]  在主日的清晨,你讓我們一同有機會在這裡聚集
[00:00:11.760 --> 00:00:13.260]  詳師敬拜贊美尼
[00:00:13.260 --> 00:00:15.760]  又可以聆聽你自己的話語
[00:00:15.760 --> 00:00:18.760]  求聖靈在我們心裡幫助我們
[00:00:18.760 --> 00:00:25.260]  明白你的話語,並且在我們的生活中實踐你的話語
[00:00:25.260 --> 00:00:28.260]  奉主耶穌基督的名祈禱,阿們
[00:00:30.760 --> 00:00:35.260]  這個禮拜開始,我們開始一個新的系列講道
[00:00:35.260 --> 00:00:38.260]  主題是「恩典管道」
[00:00:38.260 --> 00:00:43.260]  意思是,上帝通過什麼管道
[00:00:43.260 --> 00:00:48.260]  讓我們可以得到祂為我們預備的恩典
[00:00:48.260 --> 00:00:52.260]  這次的系列講道會分為兩部份
[00:00:52.260 --> 00:00:55.260]  6月的四個主要是第一部份
[00:00:55.260 --> 00:00:57.260]  然後就暫停
[00:00:57.260 --> 00:01:02.260]  9月份第三個禮拜開始,就會有第二部份的三講
[00:01:02.260 --> 00:01:09.260]  上帝曾經向摩西宣告,在初一及三十四章六節
[00:01:09.260 --> 00:01:18.260]  耶穌啊!耶穌啊!有恩典,有憐憫,有恩惠的上帝
[00:01:18.260 --> 00:01:22.260]  上帝的性情是不會改變的
[00:01:22.260 --> 00:01:26.260]  上帝派遣主耶穌來到世上
[00:01:26.260 --> 00:01:30.260]  為世人的罪付出了祂的生命
[00:01:30.260 --> 00:01:32.260]  死在十字架上
[00:01:32.260 --> 00:01:35.260]  就是上帝恩典的表現
[00:01:35.260 --> 00:01:44.260]  但這是不是所有人都會得到上帝這份救贖的恩典呢?
[00:01:44.260 --> 00:01:47.260]  不是!不是!
[00:01:47.260 --> 00:01:52.260]  雖然上帝是盼望所有的人都會得到這份恩典
[00:01:52.260 --> 00:01:58.260]  不過只有對耶穌有信心的人才會得到這份恩典
[00:01:58.260 --> 00:02:02.260]  我們過去幾個禮拜
[00:02:02.260 --> 00:02:08.260]  曾經看過《路加福音》裡面幾段經文都提到主耶穌向人說
