
[00:00:00.000 --> 00:00:09.000]  今日好輕鬆,因為上個禮拜,我應該多謝Ken黃牧師,
[00:00:09.000 --> 00:00:14.000]  他已經將C編90篇已經要講的講哂,
[00:00:14.000 --> 00:00:20.000]  所以今日我只係會再同大家有一啲嘅分享。
[00:00:25.000 --> 00:00:30.000]  在去年九月的時候,我就出去玩,
[00:00:30.000 --> 00:00:35.000]  事實上不是出去玩,我有些懷舊的事情,
[00:00:35.000 --> 00:00:42.000]  我是坐船由大西洋這邊坐返去大西洋的東邊,
[00:00:42.000 --> 00:00:47.000]  如果大家知道大西洋坐船有一個好特別的事情,
[00:00:47.000 --> 00:00:55.000]  就是當日有一艘船從大西洋來美國的時候,
[00:00:55.000 --> 00:01:01.000]  第一次開航就沉了,詳細我應該不要講了,
[00:01:01.000 --> 00:01:09.000]  所以我覺得坐船過大西洋是人生一個挑戰,
[00:01:09.000 --> 00:01:17.000]  這些事情不是那麼重要,坐船的時候,
[00:01:17.000 --> 00:01:23.000]  大多數都是那些老人家給我從遙路,
[00:01:23.000 --> 00:01:32.000]  要拿walker上去,我不知道為什麼那些老人家要從遙坐船,
[00:01:32.000 --> 00:01:44.000]  我碰到一對稍微比較年青,我想未過六十歲那些,
[00:01:44.000 --> 00:01:51.000]  正在工作,因為搭枱食飯,認識到他們,
[00:01:51.000 --> 00:01:58.000]  發覺那個男人是和波音飛機公司工作的,
[00:01:58.000 --> 00:02:08.000]  他感嘆一下飛機公司最近幾年來很多事情,
[00:02:08.000 --> 00:02:15.000]  做的事情做到鬧得很厲害,飛機的窗戶門會掉下來,
[00:02:15.000 --> 00:02:19.000]  很多不應該有的事情就會發生,
[00:02:19.000 --> 00:02:34.000]  他覺得很辛苦感嘆,我做了一世人在飛機公司工作,
[00:02:34.000 --> 00:02:38.000]  他現在都不知道有沒有辦法退休,
[00:02:38.000 --> 00:02:47.000]  我和他小笑,他問我做什麼,
[00:02:47.000 --> 00:02:50.000]  我說我現在沒事做,
[00:02:50.000 --> 00:02:59.000]  我說我以前有些時間做一些事情是起船的,
[00:02:59.000 --> 00:03:06.000]  起船的時候最重要的是船不要沉,
[00:03:06.000 --> 00:03:19.000]  我和他說我現在已經沒做事了,我已經二十年之前退休了,
[00:03:19.000 --> 00:03:26.000]  他聽完之後瞪著眼睛看我,
[00:03:26.000 --> 00:03:30.000]  你怎麼可以退休,
[00:03:30.000 --> 00:03:33.000]  他說退休不要緊,我要退休就退休,
[00:03:33.000 --> 00:03:40.000]  他說你教我怎樣我就可以退休,
[00:03:40.000 --> 00:03:44.000]  我當時沒什麼特別的辦法,
[00:03:44.000 --> 00:03:53.000]  在我腦海裡我都想著詩篇九十篇的時候,
[00:03:53.000 --> 00:04:05.000]  詩篇九十篇在過去二十年裡,我跟大家分享過三次,
[00:04:05.000 --> 00:04:08.000]  我忘記有沒有在這裡,
[00:04:08.000 --> 00:04:12.000]  我第一次是用英文的,不是在我們教會,
[00:04:12.000 --> 00:04:22.000]  在洛杉磯唐人街要用英文在餐廳和他們翻譯廣東話,
[00:04:22.000 --> 00:04:24.000]  我不知道為什麼是這樣,
[00:04:24.000 --> 00:04:28.000]  我翻譯是用詩篇九十篇,
[00:04:28.000 --> 00:04:34.000]  另外有兩次應該是在我們教會分享九十篇,
[00:04:34.000 --> 00:04:42.000]  詩篇九十篇是因為在詩篇裡面,
[00:04:42.000 --> 00:04:49.000]  是一篇很舊很舊,我不知道他們怎樣決定那是最舊的一篇詩,
[00:04:49.000 --> 00:04:54.000]  不單在詩篇裡面,而且比起其他人寫的詩,
[00:04:54.000 --> 00:04:58.000]  比起我們中國有記錄的詩篇都要舊,
[00:04:58.000 --> 00:05:04.000]  還有九十篇是唯一一篇在詩篇裡面,
[00:05:04.000 --> 00:05:11.000]  那一百五十幾篇是唯一一篇用摩西來定名的,
[00:05:11.000 --> 00:05:18.000]  歸於他的名,可能不是每個字摩西會寫到有詩,
[00:05:18.000 --> 00:05:23.000]  但基本上是用他來定名,
[00:05:23.000 --> 00:05:29.000]  我想雖然他只有一首,但我們都不應該忘記,
[00:05:29.000 --> 00:05:37.000]  聖經一開始,還有五卷書都是用摩西來定名的,
[00:05:37.000 --> 00:05:40.000]  我們有些人叫他摩西五經,
[00:05:40.000 --> 00:05:47.000]  雖然可能那五本聖經不會每個字都完全是摩西自己寫,
[00:05:47.000 --> 00:05:56.000]  但是神給幾本書用摩西的名字來寫出來,
[00:05:56.000 --> 00:06:06.000]  所以詩篇九十篇可以說是摩西最後的日子裡面寫的一篇詩篇,
[00:06:06.000 --> 00:06:16.000]  可以說是他回顧一下他過去的日子裡面的事情,
[00:06:16.000 --> 00:06:28.000]  詩篇九十篇是屬於一篇他們叫哀悼的歌,
[00:06:28.000 --> 00:06:33.000]  寫詩的人有時是感嘆這篇詩,
[00:06:33.000 --> 00:06:37.000]  不是一篇很喜樂的詩,
[00:06:37.000 --> 00:06:48.000]  所以今早當我要選了九十篇的時候,有人問我,
[00:06:48.000 --> 00:06:52.000]  為什麼你今天要選這篇詩篇來繼續講,
[00:06:52.000 --> 00:06:55.000]  但是我可以告訴你,
[00:06:55.000 --> 00:07:03.000]  詩篇九十篇對我來說是很貼心的一篇詩篇,
