
[00:00:00.000 --> 00:00:04.000]  頂智慧,今天可能有很多教會的傳統
[00:00:04.000 --> 00:00:05.680]  是五旬節
[00:00:05.680 --> 00:00:09.120]  也有些教會會慶祝聖靈降臨節
[00:00:09.120 --> 00:00:13.520]  五旬節,聖靈降臨節是怎樣的呢?
[00:00:13.520 --> 00:00:16.400]  其實五旬節在舊約聖經裡面
[00:00:16.400 --> 00:00:22.200]  是當時以色列這個地方小麥豐收的時候
[00:00:22.200 --> 00:00:25.640]  所以在舊約聖經大家會見到修葛節
[00:00:25.640 --> 00:00:27.880]  其實也是五旬節的時間
[00:00:27.880 --> 00:00:30.880]  當時根據利未記的要求
[00:00:30.880 --> 00:00:35.080]  以色列人會獻一些新的掃祭
[00:00:35.080 --> 00:00:37.240]  掃祭就是這些麵餅
[00:00:37.240 --> 00:00:42.120]  在未有聖殿之前在侍羅的會幕獻祭
[00:00:42.120 --> 00:00:44.160]  後來耶路撒冷有聖殿
[00:00:44.160 --> 00:00:46.480]  就拿去聖殿獻祭
[00:00:46.480 --> 00:00:48.840]  以色列人當時在那個節日裡面
[00:00:48.840 --> 00:00:50.680]  無論你住在什麼地方
[00:00:50.680 --> 00:00:54.480]  都會去會幕或者後來的聖殿獻上祭
[00:00:54.480 --> 00:00:57.880]  那裡會把餅搖一搖,所以叫做「搖祭」
[00:00:57.880 --> 00:01:03.640]  這個是將大家初熟的土產獻上神
[00:01:03.640 --> 00:01:05.200]  那是怎樣計算的呢?
[00:01:05.200 --> 00:01:07.960]  其實跟預月節是有關係的
[00:01:07.960 --> 00:01:12.800]  由預月節的安息日的次日開始
[00:01:12.800 --> 00:01:17.520]  一直數七個安息日的次日
[00:01:17.520 --> 00:01:21.160]  即是第五十日就是五旬節
[00:01:21.160 --> 00:01:24.640]  所以在舊約聖經有「七七節」
[00:01:24.640 --> 00:01:31.840]  當希伯來文的聖經被翻譯為希臘文的時候
[00:01:31.840 --> 00:01:34.120]  希臘文有個「五十」這個詞
[00:01:34.120 --> 00:01:36.760]  Pentakos,叫做「五旬」
[00:01:36.760 --> 00:01:39.280]  所以後來就叫「五旬節」
[00:01:39.280 --> 00:01:41.880]  「五旬」這個意義本來就是
[00:01:41.880 --> 00:01:45.600]  農作物豐收的意思
[00:01:45.600 --> 00:01:47.480]  但是到了新約的時候
[00:01:47.480 --> 00:01:50.320]  《士道行傳》第二章五旬節的時候
[00:01:50.320 --> 00:01:54.120]  聖靈敲冠在耶路撒冷的地方
[00:01:54.120 --> 00:01:55.480]  很多人被聖靈操腕
[00:01:55.480 --> 00:01:57.040]  三千人選耶穌
[00:01:57.040 --> 00:02:00.760]  第一間教會,地球上的第一間教會就成立了
[00:02:00.760 --> 00:02:05.480]  所以那個時間又叫「聖靈降臨節」
[00:02:05.480 --> 00:02:07.800]  對於教會是非常重要的
