
[00:00:00.000 --> 00:00:04.000]  大家早晨,讓我們一起禱告
[00:00:04.000 --> 00:00:06.000]  希望我們去倚靠祢
[00:00:06.000 --> 00:00:10.000]  求祢的聖靈引導我們進入真理,改變我們的生命
[00:00:10.000 --> 00:00:12.000]  讓我們不再一樣
[00:00:12.000 --> 00:00:17.000]  讓我們全心全意按祢的差遣去侍奉祢
[00:00:17.000 --> 00:00:20.000]  奉耶穌基督的聖名,阿門
[00:00:20.000 --> 00:00:24.000]  最近有一個遊戲登陸香港,叫Pokemon Go
[00:00:24.000 --> 00:00:27.000]  其實我剛剛進了青年部,我就不知道是什麼
[00:00:27.000 --> 00:00:30.000]  我問了一個童工,究竟這是一個什麼遊戲呢?
[00:00:30.000 --> 00:00:33.000]  他就打了一個手機,讓我看見一個樣子
[00:00:33.000 --> 00:00:36.000]  一個圓圈,在畫畫
[00:00:36.000 --> 00:00:39.000]  我就認得這個就是Pokemon Go的遊戲
[00:00:39.000 --> 00:00:45.000]  在前幾天,三天前,我在教會侍奉完就回家
[00:00:45.000 --> 00:00:48.000]  當到家附近過馬路
[00:00:48.000 --> 00:00:51.000]  一看見旁邊應該是一對情侶
[00:00:51.000 --> 00:00:54.000]  很沉迷在玩這個遊戲
[00:00:54.000 --> 00:00:58.000]  看見手機的樣子,就是這個遊戲的版面
[00:00:58.000 --> 00:01:02.000]  在馬路邊,我心想要小心一點
[00:01:02.000 --> 00:01:06.000]  又很沉迷在尋找
[00:01:06.000 --> 00:01:12.000]  我發覺現在好像是全城啟動,在追尋一些精靈
[00:01:12.000 --> 00:01:17.000]  我當時就想,如果能夠全城啟動追求聖靈,會不會更加好?
[00:01:17.000 --> 00:01:22.000]  什麼精靈這麼吸引呢?
[00:01:22.000 --> 00:01:25.000]  但聖靈好像沒有這麼大的吸引力
[00:01:25.000 --> 00:01:29.000]  讓我想起這段經文
[00:01:29.000 --> 00:01:33.000]  這段經文是講侍奉,主差要我們去侍奉
[00:01:33.000 --> 00:01:36.000]  而侍奉必須有聖靈的引導
[00:01:36.000 --> 00:01:40.000]  如果不是聖靈的引導,我們是做自己想做的事
[00:01:40.000 --> 00:01:44.000]  而不是做神想我們做的事,這個不是侍奉
[00:01:44.000 --> 00:01:50.000]  我自己在2009年8月1日加入窩福侍奉
[00:01:50.000 --> 00:01:54.000]  過了十多個小時,我就剛剛完成七年
[00:01:54.000 --> 00:02:01.000]  我回望過往的七年,我發覺日月如梭
[00:02:01.000 --> 00:02:04.000]  這七年過得很快很快
[00:02:04.000 --> 00:02:10.000]  轉眼間過了七年,也反映這七年很充實
[00:02:10.000 --> 00:02:16.000]  我安靜下來回望過往的七年,我是充滿感恩的
[00:02:16.000 --> 00:02:19.000]  不是說在這裡侍奉沒有困難沒有壓力
