
[00:00:00.000 --> 00:00:02.000]  感謝主有機會
[00:00:02.000 --> 00:00:04.820]  在跟弟兄姊妹一同崇拜
[00:00:04.820 --> 00:00:06.660]  領受神的話語
[00:00:06.660 --> 00:00:08.360]  剛才我們念的那個聖經
[00:00:08.360 --> 00:00:10.820]  就是今天我們特別要看
[00:00:10.820 --> 00:00:14.160]  要研究、要聆聽的一段神的說話
[00:00:14.160 --> 00:00:17.360]  所以我請大家重新再打開
[00:00:17.360 --> 00:00:19.100]  啟示錄的第二章
[00:00:19.100 --> 00:00:21.460]  今天我們看啟示錄裏面
[00:00:21.460 --> 00:00:23.360]  七個教會裏面的
[00:00:23.360 --> 00:00:25.860]  一個可能很多弟兄姊妹
[00:00:25.860 --> 00:00:28.160]  還不太熟悉的一個教會
[00:00:28.160 --> 00:00:30.220]  叫做別加摩的教會
[00:00:30.220 --> 00:00:33.260]  別加摩的教會是記載在
[00:00:33.260 --> 00:00:37.560]  啟示錄的第二章十二到十七節
[00:00:37.560 --> 00:00:40.360]  那裏只有六節的聖經
[00:00:40.360 --> 00:00:42.020]  在我們唐用的聖經裏面
[00:00:42.020 --> 00:00:43.060]  如果你打開的話
[00:00:43.060 --> 00:00:47.860]  就一千八百七十一頁
[00:00:47.860 --> 00:00:50.220]  別加摩的教會
[00:00:50.220 --> 00:00:52.320]  那麼這個別加摩的教會
[00:00:52.320 --> 00:00:56.620]  我給了它一個名次、一個名稱
[00:00:56.620 --> 00:00:58.760]  最後我們講到這個題目就是
[00:00:58.760 --> 00:01:01.420]  這個教會是一個堅持信仰
[00:01:01.420 --> 00:01:03.420]  但是仍然墮落的教會
[00:01:03.420 --> 00:01:06.060]  那個很矛盾的一個教會
[00:01:06.060 --> 00:01:09.260]  這個教會我們看到我們的符合的主
[00:01:09.260 --> 00:01:13.500]  給他的評價是一個心、兩個feel
[00:01:13.500 --> 00:01:17.300]  就是說他有值得稱讚的地方
[00:01:17.300 --> 00:01:21.660]  但是他有很嚴重的錯誤
[00:01:21.660 --> 00:01:24.960]  這個教會的特色
[00:01:24.960 --> 00:01:30.060]  是他對外認負了很難的挑戰
[00:01:30.060 --> 00:01:31.960]  而是將你丟魂
[00:01:31.960 --> 00:01:36.260]  但是勝過了外面的敵人
[00:01:36.260 --> 00:01:38.860]  勝不過內在的敵人
[00:01:38.860 --> 00:01:42.360]  這個才是一個可怕的失敗
[00:01:42.360 --> 00:01:44.160]  究竟這個別加摩的教會
[00:01:44.160 --> 00:01:45.660]  是有什麼問題呢?
[00:01:45.660 --> 00:01:48.160]  我們就看看這段聖經
[00:01:48.160 --> 00:01:49.560]  那麼這段聖經裏面
[00:01:49.560 --> 00:01:51.860]  我們看到有三個
[00:01:51.860 --> 00:01:55.860]  出現了三次「持守」這個字
[00:01:55.860 --> 00:01:57.260]  「持守」這個字
[00:01:57.260 --> 00:01:59.460]  希臘原文就是kratio
[00:01:59.460 --> 00:02:02.160]  這個字可以反而翻譯成「持守」
[00:02:02.160 --> 00:02:04.060]  也可以翻譯成「堅持」
[00:02:04.060 --> 00:02:06.460]  也可以翻譯成「順從」
[00:02:06.460 --> 00:02:08.360]  「聽話」就這個意思了
[00:02:08.360 --> 00:02:10.660]  跟著去、聽著話
[00:02:10.660 --> 00:02:15.460]  那麼這三個的「持守」
[00:02:15.460 --> 00:02:19.460]  我們說你看第十三節出現一次
[00:02:19.460 --> 00:02:21.560]  第十四節出現一次
[00:02:21.560 --> 00:02:24.260]  第十五節也出現一次
[00:02:24.260 --> 00:02:26.360]  這三次表現
[00:02:26.360 --> 00:02:30.460]  別加摩教會有三個不同的「持守」
[00:02:30.460 --> 00:02:32.460]  第一個「持守」是好的
[00:02:32.460 --> 00:02:37.060]  因為它是面對外面很大的信仰上的挑戰
[00:02:37.060 --> 00:02:38.460]  外面來的敵人
[00:02:38.460 --> 00:02:39.960]  他佔你的住
[00:02:39.960 --> 00:02:43.160]  而且我們的主給他一個很好的評價
[00:02:43.160 --> 00:02:46.360]  說你「持守我的名」
[00:02:46.360 --> 00:02:47.860]  「堅持我的名」
[00:02:47.860 --> 00:02:51.760]  「沒有否認我的信仰」這個是很好的
[00:02:51.760 --> 00:02:53.660]  但是很可惜
[00:02:53.660 --> 00:02:55.460]  十四節、十五節說
[00:02:55.460 --> 00:02:57.660]  但是你也仍然堅持
[00:02:57.660 --> 00:03:00.060]  但是堅持另外錯的事情
[00:03:00.060 --> 00:03:03.160]  你堅持順從巴蘭的教訓
[00:03:03.160 --> 00:03:04.860]  這個十四節說
[00:03:04.860 --> 00:03:06.560]  第十五節又錯
[00:03:06.560 --> 00:03:09.260]  就是說你當中有些人也堅持
[00:03:09.260 --> 00:03:12.860]  順從尼戈拉黨的教訓
