
[00:00:00.000 --> 00:00:05.200]  好 今天我們看復活節的崇拜
[00:00:05.200 --> 00:00:11.600]  在思想選擇哪一段經文去宣講今天的訊息的時候
[00:00:11.600 --> 00:00:14.840]  在想過去我們復活節的崇拜裏面
[00:00:14.840 --> 00:00:18.080]  我們都會選擇一些耶穌復活的經文
[00:00:18.080 --> 00:00:24.240]  或者是我們很著名的哥林多前書裏面講到的復活的訊息
[00:00:24.240 --> 00:00:31.040]  今天我們選了一段聖經從另一個側面去看一下
[00:00:31.040 --> 00:00:35.680]  耶穌基督復活的大能在信徒的生命裏面
[00:00:35.680 --> 00:00:38.440]  到底是怎樣產生轉化的工作
[00:00:38.440 --> 00:00:40.960]  當然我們知道今天的經文剛才讀完了
[00:00:40.960 --> 00:00:43.600]  是講到保羅的一個經歷
[00:00:43.600 --> 00:00:49.840]  我給這段經文的題目就是《癲狂的自辯》
[00:00:49.840 --> 00:00:55.640]  今天經文裏面記載了保羅在瓦潔克王面前的自辯
[00:00:55.640 --> 00:00:59.640]  當然我們知道在史徒行傳裏面
[00:00:59.640 --> 00:01:02.240]  其實這個是最後一次的申訴
[00:01:02.240 --> 00:01:04.280]  前面還有三次的申訴
[00:01:04.280 --> 00:01:09.000]  都講到保羅被審問的時候他怎樣去回應
[00:01:09.000 --> 00:01:11.480]  包括在聖殿裏面被捕
[00:01:11.480 --> 00:01:14.680]  還有面對猶太的議會
[00:01:14.680 --> 00:01:21.400]  第三次是面對一個巡撫菲歷斯的面前 怎樣去申訴自己
[00:01:21.400 --> 00:01:27.000]  首先我想介紹一下今天裏面除了保羅以外兩個很重要的角色
[00:01:27.000 --> 00:01:30.040]  一個就是猶太王 瓦基柏王
[00:01:30.040 --> 00:01:32.720]  還有一個就是巡撫菲都斯
[00:01:32.720 --> 00:01:35.840]  到底這兩個人 一個是猶太王 一個是巡撫
[00:01:35.840 --> 00:01:39.400]  到底他們之間有什麼關係呢?
[00:01:39.400 --> 00:01:43.360]  羅馬帝國分了很多個省
[00:01:43.360 --> 00:01:46.600]  當羅馬去佔領每個國家的時候
[00:01:46.600 --> 00:01:50.440]  他基本上都使得那個國家成為羅馬一個省
[00:01:50.440 --> 00:01:56.680]  羅馬的皇帝凱撒就會親自委派一位巡撫
[00:01:56.680 --> 00:01:59.640]  去管理那裏的百姓
[00:01:59.640 --> 00:02:03.360]  不過都有一些的省 有小部分的省份
[00:02:03.360 --> 00:02:06.600]  他會特殊給一些通用的
[00:02:06.600 --> 00:02:10.080]  由當地的一些君王去治理
[00:02:10.080 --> 00:02:13.840]  就好像我們知道的希律 曾經是一個猶太王
