
[00:00:00.000 --> 00:00:03.680]  我們每一年的復活節都會思考這個問題
[00:00:03.680 --> 00:00:06.340]  究竟復活的意義是什麼呢?
[00:00:06.340 --> 00:00:11.200]  我們知道基督教的復活節的意義比聖誕節的意義更加重要
[00:00:11.200 --> 00:00:13.800]  所以我們會從《銅聖經》裡面所說的
[00:00:13.800 --> 00:00:17.080]  有一個人物他遇見復活的主之後
[00:00:17.080 --> 00:00:19.580]  他整個人生都改變了
[00:00:19.580 --> 00:00:23.620]  他寫了一段經文在《哥倫多前書》15章第三節
[00:00:23.620 --> 00:00:25.800]  如果找到請跟銅聖讀出
[00:00:25.800 --> 00:00:28.760]  我當日所領受的尤傳給你們的
[00:00:28.760 --> 00:00:31.360]  第一,就是基督照聖經所說
[00:00:31.360 --> 00:00:34.800]  第三天復活了,並且顯給基法漢
[00:00:34.800 --> 00:00:37.160]  然後顯給十二使徒漢
[00:00:37.160 --> 00:00:39.260]  保羅寫書信很特別的
[00:00:39.260 --> 00:00:43.080]  他的特別之處是他有個口頭禪叫做第一
[00:00:43.080 --> 00:00:46.080]  然後找不到第二的
[00:00:46.080 --> 00:00:47.880]  因為在希臘文裡面
[00:00:47.880 --> 00:00:51.840]  第一是在說首要,很重要
[00:00:51.840 --> 00:00:54.400]  但是不代表有第二個重要
[00:00:54.400 --> 00:00:55.880]  第二,在這段經文裡面
[00:00:55.880 --> 00:00:58.880]  保羅提到是耶穌一生,甚至復活
[00:00:58.880 --> 00:01:01.400]  按照聖經所說的
[00:01:01.400 --> 00:01:06.920]  大部分耶穌一生都根據《耳塞亞書》的預言應驗了
[00:01:06.920 --> 00:01:11.600]  但是在《耳塞亞書》的死去古卷未發現之前
[00:01:11.600 --> 00:01:15.120]  很多舊約的聖經學者
[00:01:15.120 --> 00:01:18.400]  認為《耳塞亞書》的預言這麼準確
[00:01:18.400 --> 00:01:21.400]  因為它是在主耶穌降生之後
[00:01:21.400 --> 00:01:24.000]  死了之後才成書的
[00:01:24.000 --> 00:01:27.640]  就是說《耳塞亞書》的預言不是預言
[00:01:27.640 --> 00:01:30.080]  是一個假作的預言
[00:01:30.080 --> 00:01:31.680]  第一次會請你記住
[00:01:31.680 --> 00:01:36.280]  聖經學者、神學家不一定是信耶穌的
[00:01:36.280 --> 00:01:40.600]  聖經學者、神學家不一定相信神蹟的
[00:01:40.600 --> 00:01:46.880]  聖經學者、神學家不一定相信聖經是無謬誤的
[00:01:46.880 --> 00:01:49.800]  所以當你面對一個聖經學者
[00:01:49.800 --> 00:01:53.000]  或者一個神學家,甚至是神學院的老師
[00:01:53.000 --> 00:01:54.520]  你必須要問問他
[00:01:54.520 --> 00:01:58.320]  他相不相信聖經的話是真實的呢?
[00:01:58.320 --> 00:02:02.800]  他相不相信耶穌基督真是從死裡復活的呢?
[00:02:02.800 --> 00:02:08.800]  有些神學家、聖經學者、神學院的教授是不相信的
[00:02:08.800 --> 00:02:11.040]  直至到死去古卷發現
[00:02:11.040 --> 00:02:13.360]  在昆蘭這個地方
[00:02:13.360 --> 00:02:18.040]  發現了完整的66張的《耳塞亞書》
[00:02:18.040 --> 00:02:23.280]  現在今天在以色列的社會古卷博物館裏面
[00:02:23.280 --> 00:02:25.760]  整個《耳塞亞書》張貼了出來
[00:02:25.760 --> 00:02:28.320]  讓所有的世人看到
[00:02:28.320 --> 00:02:32.320]  在昆蘭這個地區裏面
[00:02:32.320 --> 00:02:37.240]  這班人物是和施浸約翰同年代的人
[00:02:37.240 --> 00:02:40.400]  也是和耶穌很接近的年代的人
[00:02:40.400 --> 00:02:44.240]  這班人已經抄寫了整卷的《耳塞亞書》
[00:02:44.240 --> 00:02:49.880]  即是證明了《耳塞亞書》是在耶穌之前已經成書的
[00:02:49.880 --> 00:02:50.960]  換句話說
[00:02:50.960 --> 00:02:54.360]  《耳塞亞書》的預言真是預言
[00:02:54.360 --> 00:02:57.800]  它預言了耶穌的一生包括第三天復活
[00:02:57.800 --> 00:03:01.680]  顯給基法漢基法就是彼得的另一個名字
[00:03:01.680 --> 00:03:04.320]  也顯給十二使徒漢
[00:03:04.320 --> 00:03:07.440]  我們看到人人都會有一死
[00:03:07.440 --> 00:03:10.880]  但是我們中國人很避諱死這個字
[00:03:10.880 --> 00:03:12.240]  希伯來書說
[00:03:12.240 --> 00:03:15.720]  人人都會有一死,死後且有審判
[00:03:15.720 --> 00:03:17.720]  希伯來書第九章二十七節
[00:03:17.720 --> 00:03:19.200]  跟你教弟兄說一聲
[00:03:19.200 --> 00:03:22.320]  你怎樣都會死的
[00:03:22.320 --> 00:03:25.760]  雖然很難聽,但是是事實
[00:03:25.760 --> 00:03:27.760]  我們想逃避這件事
[00:03:27.760 --> 00:03:29.920]  但是似乎是無法逃避的
[00:03:29.920 --> 00:03:33.280]  我們不想面對,因為死亡是很殘酷的
[00:03:33.280 --> 00:03:41.440]  因為它將人和人和親人和世界完全的隔絕
[00:03:41.440 --> 00:03:49.440]  沒有任何東西會將人和人和親人和世界完全的隔絕
[00:03:49.440 --> 00:03:50.880]  唯有死亡
[00:03:50.880 --> 00:03:52.880]  所以死亡是很殘酷的
[00:03:52.880 --> 00:03:56.160]  當你有親人或者朋友離世之後
[00:03:56.160 --> 00:04:02.960]  我們沒有任何的方法再可以跟這個人有任何的聯絡
[00:04:02.960 --> 00:04:04.960]  殘酷的地方就在這裡
[00:04:04.960 --> 00:04:10.480]  死亡是帶來了絕望、哀傷和恐懼
[00:04:10.480 --> 00:04:13.680]  我們只能夠無奈的面對死亡
[00:04:13.680 --> 00:04:17.840]  面對死亡我們只能夠接受
[00:04:17.840 --> 00:04:20.400]  不接受也要接受
[00:04:20.400 --> 00:04:23.120]  無奈地也要接受
[00:04:23.120 --> 00:04:26.560]  不甘心情願地也要接受
[00:04:26.560 --> 00:04:28.560]  別無選擇
[00:04:28.560 --> 00:04:30.560]  我記得我媽媽死的時候
[00:04:30.560 --> 00:04:32.560]  我醫療了半年
[00:04:32.560 --> 00:04:34.160]  在那半年裡面
[00:04:34.160 --> 00:04:37.360]  我偶爾會嘗試打電話給她
[00:04:37.360 --> 00:04:40.240]  但是想想打什麼電話呢
[00:04:40.240 --> 00:04:42.240]  打什麼電話可以找到她呢
[00:04:42.240 --> 00:04:46.240]  半年後你很無奈地也要接受這個事實
[00:04:46.240 --> 00:04:48.240]  當你有親人離世的時候
[00:04:48.240 --> 00:04:50.240]  我們也無法只接受
[00:04:50.240 --> 00:04:55.280]  但是到最後是無奈地必須要接受
[00:04:55.280 --> 00:04:57.280]  死亡就是這麼殘忍的
[00:04:57.280 --> 00:05:01.280]  死亡是不能夠預備的
[00:05:01.280 --> 00:05:03.280]  很簡單
[00:05:03.280 --> 00:05:05.280]  我們說的生死教育
[00:05:05.280 --> 00:05:07.280]  基本上
[00:05:07.280 --> 00:05:09.280]  是不能夠預備的
[00:05:09.280 --> 00:05:11.280]  我要問你
[00:05:11.280 --> 00:05:13.280]  你預備好明天去旅行了嗎
[00:05:13.280 --> 00:05:15.280]  預備好了
[00:05:15.280 --> 00:05:17.280]  預備好考試了嗎
[00:05:17.280 --> 00:05:19.280]  預備好了
[00:05:19.280 --> 00:05:21.280]  但是如果問你
[00:05:21.280 --> 00:05:23.280]  你預備好了死了嗎
[00:05:23.280 --> 00:05:25.280]  不懂得回答
[00:05:25.280 --> 00:05:27.280]  第一我不知道我什麼時候死
[00:05:27.280 --> 00:05:29.280]  第二
[00:05:29.280 --> 00:05:31.280]  怎樣才算是預備好
[00:05:31.280 --> 00:05:33.280]  怎樣才算是未預備好
[00:05:33.280 --> 00:05:35.280]  預備好也好
[00:05:35.280 --> 00:05:37.280]  未預備好也好
[00:05:37.280 --> 00:05:39.280]  沒得預備的
[00:05:39.280 --> 00:05:41.280]  我們最近也聽到很多新聞
[00:05:41.280 --> 00:05:43.280]  防衛新聞也聽到
[00:05:43.280 --> 00:05:45.280]  有很多人突然死亡
[00:05:45.280 --> 00:05:47.280]  明明去台灣拍婚紗照
[00:05:47.280 --> 00:05:49.280]  都可以死了
[00:05:49.280 --> 00:05:51.280]  怎會有人預備拍婚紗照
[00:05:51.280 --> 00:05:53.280]  預備死了呢
[00:05:53.280 --> 00:05:55.280]  從來沒有這件事
[00:05:55.280 --> 00:05:57.280]  誰想到比利時在機場裡面
[00:05:57.280 --> 00:05:59.280]  有人突然放炸彈
[00:05:59.280 --> 00:06:01.280]  會炸死自己
[00:06:01.280 --> 00:06:03.280]  沒有人預備好這件事
[00:06:03.280 --> 00:06:05.280]  死亡帶來了哀傷
[00:06:05.280 --> 00:06:07.280]  死亡帶來了哀傷
[00:06:07.280 --> 00:06:09.280]  有一個婆婆
[00:06:09.280 --> 00:06:11.280]  當她丈夫離世的時候
[00:06:11.280 --> 00:06:13.280]  她整天茶飯不思
[00:06:13.280 --> 00:06:15.280]  睡都睡不到
[00:06:15.280 --> 00:06:17.280]  在安老院的職員
[00:06:17.280 --> 00:06:19.280]  用盡所有方法哄這個婆婆
[00:06:19.280 --> 00:06:21.280]  嘗試吃一口粥
[00:06:21.280 --> 00:06:23.280]  都不能夠吞煙
[00:06:23.280 --> 00:06:25.280]  整晚都失眠
[00:06:25.280 --> 00:06:27.280]  整晚都失眠
[00:06:27.280 --> 00:06:29.280]  人開始很憔悴
[00:06:29.280 --> 00:06:31.280]  整個人進入了抑鬱的狀態
[00:06:31.280 --> 00:06:33.280]  在這裡
[00:06:33.280 --> 00:06:35.280]  所有已婚的人
[00:06:35.280 --> 00:06:37.280]  請舉手
