
[00:00:00.000 --> 00:00:04.480]  今天不知大家心情如何
[00:00:04.480 --> 00:00:12.320]  即是社會整個世界都好動蕩
[00:00:12.320 --> 00:00:17.920]  我想開始一陣我們都為到我們自己所身處
[00:00:17.920 --> 00:00:26.240]  這個咁複雜咁多受苦嘅嘅人嘅世界去禱告
[00:00:26.240 --> 00:00:31.360]  晚啲完咗崇拜我哋都有個簡短嘅祈禱會
[00:00:31.360 --> 00:00:38.000]  我想講今日我哋專家話啲病毒會停喺個地下嘅
[00:00:38.000 --> 00:00:38.560]  即係會跌咗
[00:00:38.560 --> 00:00:40.720]  所以我哋今日唔會用跪墊
[00:00:40.720 --> 00:00:46.720]  所以如果你今日好想好很懇切為世界為受苦嘅人禱告
[00:00:46.720 --> 00:00:48.480]  為疫情禱告
[00:00:48.480 --> 00:00:52.480]  咁但係我哋就坐喺度我哋一齊禱告
[00:00:52.480 --> 00:00:59.360]  天下上帝我哋單單學習仰望你
[00:00:59.360 --> 00:01:01.680]  因為一切都在你手中
[00:01:01.680 --> 00:01:08.000]  我哋知道我哋要學習敬畏你
[00:01:08.000 --> 00:01:12.000]  我哋就唔需要懼怕任何人生嘅變幻
[00:01:12.000 --> 00:01:14.080]  任何嘅權勢
[00:01:14.080 --> 00:01:16.080]  甚至任何嘅病毒
[00:01:16.080 --> 00:01:18.720]  或者任何嘅天災
[00:01:18.720 --> 00:01:20.080]  任何嘅人禍
[00:01:20.080 --> 00:01:24.480]  主我求你憐憫我哋成個國家
[00:01:24.480 --> 00:01:26.480]  我哋成個香港
[00:01:26.480 --> 00:01:28.640]  我哋特別我哋紀念武漢
[00:01:28.640 --> 00:01:32.880]  湖北省好多地方都有好多人受災
[00:01:32.880 --> 00:01:35.120]  唔單止係啲市民
[00:01:35.120 --> 00:01:36.640]  特別係嗰啲醫護人員
[00:01:36.640 --> 00:01:41.200]  我哋好知道佢哋喺水深火熱裏面
[00:01:41.200 --> 00:01:45.520]  我哋求你真係你托住你嘅恩典保守
[00:01:45.520 --> 00:01:48.000]  主我哋唔知道要死幾多人
[00:01:48.000 --> 00:01:52.480]  但係我哋知道你嘅恩典
[00:01:52.480 --> 00:01:54.480]  你常常都喺度
[00:01:54.480 --> 00:01:57.200]  求你幫助我哋更加睇到救恩
[00:01:57.200 --> 00:02:00.240]  係何等重要嘅一樣嘢
[00:02:00.240 --> 00:02:02.240]  好似剛才上嘅詩歌
[00:02:02.240 --> 00:02:07.360]  咁多年歷代你嘅福音都係一路喺度講住
[00:02:07.360 --> 00:02:09.360]  求你俾我哋有醒覺
[00:02:09.360 --> 00:02:14.240]  更加明白你點樣用福音去搞亂天下
[00:02:14.240 --> 00:02:16.800]  多謝你聽我哋祈禱奉耶穌嘅聖名
[00:02:18.880 --> 00:02:20.880]  講到之前
[00:02:20.880 --> 00:02:28.720]  我都有三樣嘢關於疫情嘅一啲提醒或者回應
[00:02:28.720 --> 00:02:35.360]  我唔會好仔細去列舉聖經去講解
[00:02:35.360 --> 00:02:36.320]  但係我想回應
[00:02:36.320 --> 00:02:36.800]  第一
[00:02:36.800 --> 00:02:38.800]  我喺網上見到有啲教導
[00:02:38.800 --> 00:02:40.800]  有啲嘅基督徒講
