
[00:00:00.000 --> 00:00:03.040]  好 今天講的是星哥恐懼的弱時
[00:00:03.040 --> 00:00:05.240]  去到第17章是關於我們很熟悉的
[00:00:05.240 --> 00:00:09.480]  信不信主都很熟悉一個故事 一個事件
[00:00:09.480 --> 00:00:10.880]  那個事件叫做巨人
[00:00:10.880 --> 00:00:13.280]  什麼來的 過來啊
[00:00:13.280 --> 00:00:14.720]  今天我用另一個角度
[00:00:14.720 --> 00:00:18.880]  怎樣去性過恐懼來看這件事
[00:00:18.880 --> 00:00:22.360]  在2020年BBC1月18日開始
[00:00:22.360 --> 00:00:26.000]  有一個秀叫Don't Scream
[00:00:26.000 --> 00:00:28.120]  不要尖叫
[00:00:28.120 --> 00:00:32.800]  裡面挺好玩的 遊戲有一個歷程
[00:00:32.800 --> 00:00:36.480]  邀請你和你兩位朋友一起參與
[00:00:36.480 --> 00:00:41.240]  在裡面他先給你五千鎊
[00:00:41.240 --> 00:00:43.920]  哇 五千鎊 想不想要
[00:00:43.920 --> 00:00:45.440]  不想你給我
[00:00:45.440 --> 00:00:49.000]  在這個歷程裡面你每叫一聲尖叫
[00:00:49.000 --> 00:00:51.080]  他就拿走你一百鎊
[00:00:51.080 --> 00:00:53.640]  即是你很害怕你都會不叫
[00:00:53.640 --> 00:00:58.360]  有些人在說笑 即是吃辣椒 毒一下自己
[00:00:58.360 --> 00:01:01.240]  很害怕都會有聲音
[00:01:01.240 --> 00:01:03.120]  還有很特別的這個遊戲是
[00:01:03.120 --> 00:01:06.040]  因為你會和兩個朋友三個一起
[00:01:06.040 --> 00:01:08.960]  你不叫 他叫 都靠你 行不行
[00:01:08.960 --> 00:01:12.000]  看看最後你還是不是成為朋友
[00:01:12.000 --> 00:01:13.200]  這樣很有趣
[00:01:13.200 --> 00:01:16.320]  當然這個遊戲不單止這麼簡單
[00:01:16.320 --> 00:01:20.400]  我們也知道當我們玩遊戲可能短暫
[00:01:20.400 --> 00:01:24.640]  因為想有錢壓抑恐懼不叫都有可能
[00:01:24.640 --> 00:01:27.440]  不過我們人生實在太多恐懼
[00:01:27.440 --> 00:01:31.480]  錢根本沒有可能解決我們的恐懼
[00:01:31.480 --> 00:01:34.240]  所以其實在這個節目裡面
[00:01:34.240 --> 00:01:37.160]  還有請來專家解讀
[00:01:37.160 --> 00:01:39.800]  什麼是恐懼
[00:01:39.800 --> 00:01:42.560]  什麼是怎樣的原因
[00:01:42.560 --> 00:01:44.000]  怎樣戰勝
[00:01:44.000 --> 00:01:46.880]  並且可以勝過
[00:01:46.880 --> 00:01:49.480]  當然我們在輔導或者心理學都知道
[00:01:49.480 --> 00:01:52.240]  當我們面對突然期待的恐懼的時候
[00:01:52.240 --> 00:01:57.960]  或者憂心重重不可以駕馭的事情
[00:01:57.960 --> 00:02:01.120]  我們的身體都會進入一個狀態
[00:02:01.120 --> 00:02:04.480]  這個狀態我們會選擇應戰
[00:02:04.480 --> 00:02:08.040]  Fight or flight 逃跑
[00:02:08.040 --> 00:02:10.280]  應戰還是逃跑
[00:02:10.280 --> 00:02:12.000]  今天我們的歌禮的故事都是
[00:02:12.000 --> 00:02:13.560]  有兩種人
[00:02:13.560 --> 00:02:16.280]  一種逃跑 一種應戰
[00:02:16.280 --> 00:02:17.960]  究竟他們的分別是什麼呢
[00:02:17.960 --> 00:02:20.880]  我不知道大家的生命有什麼恐懼
[00:02:20.880 --> 00:02:23.840]  有些人可能恐懼蛇
[00:02:23.840 --> 00:02:27.040]  有些人恐懼貓
[00:02:27.040 --> 00:02:28.840]  有些人很喜歡貓
[00:02:28.840 --> 00:02:31.000]  當我講完三篇
[00:02:31.000 --> 00:02:32.400]  有些人都回應了
[00:02:32.400 --> 00:02:35.560]  其實陳牧師我最怕是貓
[00:02:35.560 --> 00:02:37.720]  希望你不是最怕是爸爸
[00:02:37.720 --> 00:02:39.640]  或者最怕是病等等
[00:02:39.640 --> 00:02:43.320]  我們知道我們不同的人都有不同的巨人
[00:02:43.320 --> 00:02:45.360]  這些恐懼好像巨人一樣
[00:02:45.360 --> 00:02:49.360]  籠罩著我們好像我們走不動一樣
[00:02:49.360 --> 00:02:51.000]  每個人我們知道都不同
[00:02:51.000 --> 00:02:54.400]  重點是我們怎樣有對策
[00:02:54.400 --> 00:02:57.600]  讓人可以戰勝這種恐懼
[00:02:57.600 --> 00:02:59.680]  這種巨人
[00:02:59.680 --> 00:03:01.320]  我們知道從心理學闊度
[00:03:01.320 --> 00:03:03.040]  我們都有很多不同的看法
[00:03:03.040 --> 00:03:04.120]  亦都很重要
[00:03:04.120 --> 00:03:06.640]  但是我們今天用一個更高的權威
[00:03:06.640 --> 00:03:08.640]  就是用聖經來看
[00:03:08.640 --> 00:03:09.720]  在第十六章
[00:03:09.720 --> 00:03:11.160]  我們知道剛才都有講到
[00:03:11.160 --> 00:03:14.640]  大衛是在十六章被尋找
[00:03:14.640 --> 00:03:16.000]  一個新的領導人
[00:03:16.000 --> 00:03:20.400]  十七章就講到他怎樣戰勝這個巨人
[00:03:20.400 --> 00:03:23.440]  在人體有一個很大的恐懼
[00:03:23.440 --> 00:03:26.160]  究竟他做了些甚麼呢
[00:03:26.160 --> 00:03:29.200]  今天我上個星期已經預告了
[00:03:29.200 --> 00:03:31.760]  今天總共有幾點學習
[00:03:31.760 --> 00:03:33.760]  有六點可以嗎
[00:03:33.760 --> 00:03:35.520]  所以現在十二點而已
[00:03:35.520 --> 00:03:37.680]  我們就學到六點
[00:03:37.680 --> 00:03:38.600]  好不好
[00:03:38.600 --> 00:03:40.240]  有人說不好
[00:03:40.240 --> 00:03:41.280]  有人說好
[00:03:41.280 --> 00:03:42.480]  好還是不好
[00:03:42.480 --> 00:03:42.960]  好
[00:03:42.960 --> 00:03:45.400]  好 好 這樣吧
[00:03:45.400 --> 00:03:48.000]  一會兒一點的酒先喝吧
[00:03:48.000 --> 00:03:49.000]  我們聽下去
[00:03:49.000 --> 00:03:50.320]  我們很緊湊
[00:03:50.320 --> 00:03:53.040]  立即看背景究竟發生甚麼事
[00:03:53.040 --> 00:03:55.520]  一個很特別的時刻
[00:03:55.520 --> 00:03:58.400]  哥利亞這個巨人
[00:03:58.400 --> 00:04:01.880]  怎樣狂言討戰
[00:04:01.880 --> 00:04:03.000]  先看背景
[00:04:03.000 --> 00:04:04.400]  當時的背景就是
[00:04:04.400 --> 00:04:05.800]  菲利士人一族人
[00:04:05.800 --> 00:04:07.600]  又挑釁以色列人
[00:04:07.600 --> 00:04:08.520]  背景是這樣
[00:04:08.520 --> 00:04:09.320]  我們一起讀吧
[00:04:09.320 --> 00:04:11.240]  十七章 一到二節
[00:04:11.240 --> 00:04:12.480]  預備起
[00:04:12.480 --> 00:04:14.720]  菲利士人招聚
[00:04:14.720 --> 00:04:16.600]  他們的軍旅
[00:04:16.600 --> 00:04:18.280]  要來爭智
[00:04:18.280 --> 00:04:21.640]  聚集在屬猶太的疏忽
[00:04:21.640 --> 00:04:23.760]  安寧在疏忽
[00:04:23.760 --> 00:04:26.000]  擺脹在家中的敵人
[00:04:26.000 --> 00:04:27.720]  以忽大敏
[00:04:27.720 --> 00:04:31.160]  騷擾和以色列人的敵人
[00:04:31.160 --> 00:04:33.520]  在以拉谷安寧
[00:04:33.520 --> 00:04:37.800]  擺列隊伍與菲利士人打仗
[00:04:37.800 --> 00:04:40.040]  擺列隊伍與菲利士人打仗
[00:04:40.040 --> 00:04:42.040]  你看到疏忽在右下角
[00:04:42.040 --> 00:04:44.160]  現在我們看回東南邊
[00:04:44.160 --> 00:04:47.680]  接著亞西加在左上角
[00:04:47.680 --> 00:04:48.840]  中間有個以拉谷
[00:04:48.840 --> 00:04:50.040]  兩邊對著
[00:04:50.040 --> 00:04:52.080]  這個情況很緊張
[00:04:52.080 --> 00:04:52.960]  為甚麼緊張
[00:04:52.960 --> 00:04:55.240]  因為這個地方
[00:04:55.240 --> 00:04:56.360]  兩邊
