
[00:00:00.000 --> 00:00:03.600]  我相信大家都會不斷的體會
[00:00:03.600 --> 00:00:06.800]  屬於主是一件何等大的福氣
[00:00:06.800 --> 00:00:09.300]  生命不屬於這個世界
[00:00:09.300 --> 00:00:11.000]  不屬於自己
[00:00:11.000 --> 00:00:14.400]  而是屬於那位創造生命永恆的上帝
[00:00:14.400 --> 00:00:16.800]  這種相屬的關係
[00:00:16.800 --> 00:00:20.000]  正是我們每一天感恩的事情
[00:00:20.000 --> 00:00:21.600]  我們繼續我們的敬拜
[00:00:21.600 --> 00:00:23.600]  我們會繼續思想聖經的說話
[00:00:23.600 --> 00:00:25.500]  表達我們對神的敬拜
[00:00:25.500 --> 00:00:28.000]  現在大家再請你一起跟我祈禱
[00:00:31.000 --> 00:00:35.000]  天父我們再一次在祢面前感謝祢
[00:00:35.000 --> 00:00:37.000]  我們尊崇祢
[00:00:37.000 --> 00:00:39.000]  永恆的上帝
[00:00:39.000 --> 00:00:42.000]  我們親愛的主
[00:00:42.000 --> 00:00:45.000]  每時每刻引領我們走人生的路
[00:00:45.000 --> 00:00:48.000]  每時每刻與我們同在
[00:00:48.000 --> 00:00:50.000]  主這次我們同心感謝祢
[00:00:50.000 --> 00:00:53.000]  讓我們有祢自己聖經的真理
[00:00:53.000 --> 00:00:55.000]  我們很渴望這個時候
[00:00:55.000 --> 00:00:57.000]  在我們敬拜祢的時刻
[00:00:57.000 --> 00:01:01.000]  祢再次施下祢自己的恩賢
[00:01:01.000 --> 00:01:04.000]  主不單是一種好像投入的知識
[00:01:04.000 --> 00:01:08.000]  而是主讓祢開啟我們的心竅
[00:01:08.000 --> 00:01:10.000]  讓我們的心靈領受
[00:01:10.000 --> 00:01:12.000]  也讓祢的道
[00:01:12.000 --> 00:01:15.000]  在我們生命當中結出果子
[00:01:15.000 --> 00:01:18.000]  讓我們得著要給我們的恩惠
[00:01:18.000 --> 00:01:21.000]  求主施恩帶領我們
[00:01:21.000 --> 00:01:24.000]  繼續思想祢聖經說話的時間
[00:01:24.000 --> 00:01:26.000]  奉耶穌成名祈禱
[00:01:26.000 --> 00:01:29.000]  我們繼續思想
[00:01:29.000 --> 00:01:33.000]  聖經教導我們有關於信仰實踐的經文
[00:01:33.000 --> 00:01:35.000]  大家再看光彩第七章
[00:01:35.000 --> 00:01:38.000]  馬太福音其中的第十五節
[00:01:38.000 --> 00:01:46.000]  當我們想到聽主的話的時候
[00:01:46.000 --> 00:01:49.000]  我很快就想起一節的經文
[00:01:49.000 --> 00:01:51.000]  可能大家都會想起
[00:01:51.000 --> 00:01:53.000]  我們上上讀到聖經的真言
[00:01:53.000 --> 00:01:55.000]  其中的第四章
[00:01:55.000 --> 00:01:57.000]  第十三節
[00:01:57.000 --> 00:01:58.000]  聖經說
