
[00:00:00.000 --> 00:00:05.000]  在傳統上,我們常說男主外,女主內的傳統
[00:00:05.000 --> 00:00:09.000]  其實我們很多時候對媽媽的歌頌是比較多的
[00:00:09.000 --> 00:00:12.000]  以致過去一段很長的時間
[00:00:12.000 --> 00:00:16.000]  對媽媽的感謝、對媽媽的心
[00:00:16.000 --> 00:00:20.000]  甚至在相機裏,母親節的相機
[00:00:20.000 --> 00:00:23.000]  必然是多過父親節
[00:00:23.000 --> 00:00:26.000]  但另一方面,我們發覺這幾年裏
[00:00:26.000 --> 00:00:30.000]  慢慢地,父親的形象,正面的形象
[00:00:30.000 --> 00:00:32.000]  就開始慢慢地出來
[00:00:32.000 --> 00:00:35.000]  我們看到新聞裏面,有一些很好的父親
[00:00:35.000 --> 00:00:39.000]  怎樣在百忙當中,仍然鼓勵他自己的兒子
[00:00:39.000 --> 00:00:40.000]  要做一個君子
[00:00:40.000 --> 00:00:42.000]  甚至在很貧窮的爸爸裏面
[00:00:42.000 --> 00:00:46.000]  他同樣帶女兒去吃炸雞
[00:00:46.000 --> 00:00:51.000]  他自己不吃,付錢去買炸雞給自己女兒吃
[00:00:51.000 --> 00:00:53.000]  以致感動到那間炸雞的店
[00:00:53.000 --> 00:00:57.000]  免費請爸爸去吃炸雞
[00:00:57.000 --> 00:01:02.000]  我們明白,過去對媽媽的尊重,絕對是對的
[00:01:02.000 --> 00:01:04.000]  慈母走手中線
[00:01:04.000 --> 00:01:07.000]  這些傳統的觀點,一定是有的
[00:01:07.000 --> 00:01:10.000]  但慢慢地,我們看到這個世代開始轉變
[00:01:10.000 --> 00:01:13.000]  很多的媽媽,今天都是一些雙職的母親
[00:01:13.000 --> 00:01:15.000]  我們面對很多的母親
[00:01:15.000 --> 00:01:17.000]  一方面工作,一方面回到家
[00:01:17.000 --> 00:01:22.000]  另一方面,爸爸也開始慢慢地變成雙職
[00:01:22.000 --> 00:01:26.000]  以致過去我跟師母出去談婚姻
[00:01:26.000 --> 00:01:29.000]  談親子,絕少爸爸去聽
[00:01:29.000 --> 00:01:33.000]  因為他覺得這永遠是太太,永遠是媽媽的工作
[00:01:33.000 --> 00:01:36.000]  但另一方面,這幾年我們發覺
[00:01:36.000 --> 00:01:40.000]  越來越多爸爸來聽這個講座
[00:01:40.000 --> 00:01:46.000]  以致爸爸也開始改變在家庭裏面的形象
[00:01:46.000 --> 00:01:50.000]  縱然今天仍然有很多調查
[00:01:50.000 --> 00:01:52.000]  因為爸爸因為工作忙碌
[00:01:52.000 --> 00:01:57.000]  仍然很少時間在家陪伴自己的下一代
[00:01:57.000 --> 00:02:00.000]  但另一方面,我深信現在的爸爸
[00:02:00.000 --> 00:02:02.000]  就算很少時間
[00:02:02.000 --> 00:02:05.000]  但我覺得最重要,陪伴的裏面
[00:02:05.000 --> 00:02:09.000]  不單單是時間長或短
[00:02:09.000 --> 00:02:12.000]  而是最重要的,其實是一個英文字
[00:02:12.000 --> 00:02:14.000]  Presence,你是不是在這裏
[00:02:14.000 --> 00:02:17.000]  今天就算你有三個小時在家做爸爸
[00:02:17.000 --> 00:02:20.000]  三個小時也去看報紙,其實意義不大
[00:02:20.000 --> 00:02:22.000]  雖然這個月比較麻煩
[00:02:22.000 --> 00:02:25.000]  四人分四個小時,看四個小時的報紙
[00:02:25.000 --> 00:02:29.000]  但我覺得你心裏不要這樣
[00:02:29.000 --> 00:02:32.000]  一個月而已,一個月之後不要這樣
[00:02:32.000 --> 00:02:35.000]  所以我們都要學怎樣去調教我們的平衡
[00:02:35.000 --> 00:02:37.000]  我們的時間
[00:02:37.000 --> 00:02:40.000]  所以祈求天父,藉著今天這篇講道
[00:02:40.000 --> 00:02:43.000]  用天上的父,地上的父這篇講章
[00:02:43.000 --> 00:02:49.000]  來再一次幫助我們,來認識我們的爸爸
[00:02:49.000 --> 00:02:51.000]  來接納我們的爸爸
[00:02:51.000 --> 00:02:58.000]  來讓我們明白,其實我們的爸爸也是很偉大的
[00:02:58.000 --> 00:03:01.000]  所以如果剛好旁邊有個爸爸
[00:03:01.000 --> 00:03:04.000]  你稱讚一下他,你也很偉大的
[00:03:04.000 --> 00:03:08.000]  雖然你沒有前母手中線,你也是前父
[00:03:08.000 --> 00:03:12.000]  所以我們很深信這首詩歌再一次提醒我們
[00:03:12.000 --> 00:03:16.000]  我們天上的爸爸認了我們是他的子女
[00:03:16.000 --> 00:03:21.000]  但我們也要認他是他的子女
[00:03:21.000 --> 00:03:23.000]  再用這首詩歌敬拜
[00:03:23.000 --> 00:03:26.000]  祈求你幫助我們,了解怎樣做一位爸爸
[00:03:26.000 --> 00:03:29.000]  怎樣做一位媽媽,怎樣做子女
[00:03:29.000 --> 00:03:31.000]  聖經裏面有很多教導
[00:03:31.000 --> 00:03:36.000]  讓我們今天,縱然我們是一個父親節的主日
[00:03:36.000 --> 00:03:40.000]  或許我們的專注在爸爸的身上
[00:03:40.000 --> 00:03:43.000]  但卻不能忽略我們的媽媽
[00:03:43.000 --> 00:03:47.000]  也不能忽略我們作為子女的責任
[00:03:47.000 --> 00:03:50.000]  因為家庭是一個互為的責任
[00:03:50.000 --> 00:03:53.000]  祈求天父繼續在我們當中帶著我們
[00:03:53.000 --> 00:03:57.000]  讓你的話語藏在我們心裏邊
[00:03:57.000 --> 00:04:00.000]  讓我們一生都不會偏離左右
[00:04:00.000 --> 00:04:04.000]  聽我們的禱告奉主明求,Amen
[00:04:04.000 --> 00:04:06.000]  你們清楚嗎?
[00:04:06.000 --> 00:04:08.000]  其實我和師母開始預備這篇講章的時候
[00:04:08.000 --> 00:04:10.000]  是因為一節聖經
[00:04:10.000 --> 00:04:13.000]  這節聖經提到在《瑪雅基書》
[00:04:13.000 --> 00:04:14.000]  我們過去幾年
[00:04:14.000 --> 00:04:18.000]  很多時候也有很多人提到這節聖經
[00:04:18.000 --> 00:04:21.000]  就是說他必使父親的心轉向兒女
[00:04:21.000 --> 00:04:24.000]  兒女的心轉向父親
[00:04:24.000 --> 00:04:27.000]  免得我們要就坐遍地
