
[00:00:00.000 --> 00:00:04.500]  我們感謝上帝透過獅班剛才代表我們匯眾
[00:00:04.500 --> 00:00:08.000]  將一首很美麗的詩歌我們呈獻給神
[00:00:08.000 --> 00:00:12.000]  剛才大家有沒有留意他們所唱的這首詩
[00:00:12.000 --> 00:00:14.000]  一首很優美的詩
[00:00:14.000 --> 00:00:16.000]  一首很經典的詩
[00:00:16.000 --> 00:00:21.000]  我相信很多或許在教會成長的弟兄姊妹
[00:00:21.000 --> 00:00:24.000]  你都可能很多年前已經唱過
[00:00:24.000 --> 00:00:27.000]  如鹿涉無溪水一樣
[00:00:27.000 --> 00:00:31.000]  我們是不是每天都看到這個就是我們生命的需要
[00:00:31.000 --> 00:00:34.000]  其實我們人生我們每一天
[00:00:34.000 --> 00:00:37.000]  我們活在地上的意義是什麼呢
[00:00:37.000 --> 00:00:40.000]  西敏寺的一個認訊就是說
[00:00:40.000 --> 00:00:42.000]  我們生存在這個地上
[00:00:42.000 --> 00:00:46.000]  就是要來去享受神和去榮耀上帝
[00:00:46.000 --> 00:00:50.000]  今天如果我們明白這個意義的所在
[00:00:50.000 --> 00:00:53.000]  你就知道你的生命是有目標
[00:00:53.000 --> 00:00:57.000]  是為一個更高的價值和目的你來生活
[00:00:57.000 --> 00:01:00.000]  頂姐妹讓我們今天不要
[00:01:00.000 --> 00:01:05.000]  來到被其他的東西分了我們那個專注
[00:01:05.000 --> 00:01:10.000]  當我們的人生是看見什麼是最高的榮耀和價值
[00:01:10.000 --> 00:01:15.000]  你願意是完全的降服在上主的根前
[00:01:15.000 --> 00:01:17.000]  被祂拆牌
[00:01:17.000 --> 00:01:19.000]  被祂使用
[00:01:19.000 --> 00:01:25.000]  放你在一個祂要命定的位置上去榮耀祂
[00:01:25.000 --> 00:01:30.000]  所以今天你的人生究竟是為了什麼來生活呢
[00:01:30.000 --> 00:01:32.000]  這個很重要
[00:01:32.000 --> 00:01:37.000]  這個亦是我們過去那五堂在這個全人健康系列裏面
[00:01:37.000 --> 00:01:38.000]  我們所提及的
[00:01:38.000 --> 00:01:43.000]  華麗黑牧師在多年前他們教會推動這個但義理計劃
[00:01:43.000 --> 00:01:45.000]  用了四十天的時間
[00:01:45.000 --> 00:01:52.000]  讓全教會的會眾一起在這五個題目上他們去留心
[00:01:52.000 --> 00:01:57.000]  上帝是愛和關心我們每一個人的需要
[00:01:57.000 --> 00:02:01.000]  但上帝不是將我們的生命切割
[00:02:01.000 --> 00:02:05.000]  或者變成一個好像department store那樣
[00:02:05.000 --> 00:02:08.000]  大家知道什麼是department store嗎
[00:02:08.000 --> 00:02:12.000]  銅鑼灣有一棟十幾層高的department store
[00:02:12.000 --> 00:02:16.000]  每一天由早到晚都有人 我都不明白為什麼
[00:02:16.000 --> 00:02:19.000]  當然有些人不用上班
[00:02:19.000 --> 00:02:20.000]  有些是遊客
[00:02:20.000 --> 00:02:23.000]  或者有些是內地來的同胞
[00:02:23.000 --> 00:02:27.000]  如果我們的人生就好像department store
[00:02:27.000 --> 00:02:29.000]  我去一樓就拿什麼
[00:02:29.000 --> 00:02:33.000]  我去二樓就其他某些範圍
[00:02:33.000 --> 00:02:36.000]  有些人看我們基督徒的生活就好像這樣
[00:02:36.000 --> 00:02:38.000]  禮拜六 禮拜日我們回來教會
[00:02:38.000 --> 00:02:40.000]  這個就是屬靈的敬拜
[00:02:40.000 --> 00:02:42.000]  明天上班
[00:02:42.000 --> 00:02:46.000]  上帝你不要管我的事
[00:02:46.000 --> 00:02:49.000]  上帝這些事你不能看的
[00:02:49.000 --> 00:02:52.000]  上帝或者我和人的關係
[00:02:52.000 --> 00:02:56.000]  主人你不要來騷擾我
[00:02:56.000 --> 00:02:59.000]  當我們的生命是切割式的時候
[00:02:59.000 --> 00:03:03.000]  不是整個人放在上帝的主權面前
[00:03:03.000 --> 00:03:06.000]  你的人生會出現亂子
[00:03:06.000 --> 00:03:08.000]  我們的生命是彼此關連的
[00:03:08.000 --> 00:03:12.000]  所以 華里克牧師透過這個蛋意理計劃
[00:03:12.000 --> 00:03:14.000]  很清楚要我們明白
[00:03:14.000 --> 00:03:16.000]  全人的健康是重要的
[00:03:16.000 --> 00:03:20.000]  不是說只有靈修祈禱 讀經而已
[00:03:20.000 --> 00:03:24.000]  你今天你怎樣選擇吃什麼
[00:03:24.000 --> 00:03:28.000]  都是一個有屬靈的意義目的
[00:03:28.000 --> 00:03:30.000]  你說這樣都可以
[00:03:30.000 --> 00:03:32.000]  當然了
[00:03:32.000 --> 00:03:34.000]  我以前不是很懂
[00:03:34.000 --> 00:03:37.000]  我年輕的時候可能會隨意就吃
[00:03:37.000 --> 00:03:40.000]  特別是師母不在我旁邊的時候
[00:03:40.000 --> 00:03:42.000]  我就會比較不檢點
[00:03:42.000 --> 00:03:44.000]  但是年紀再大一點的時候
[00:03:44.000 --> 00:03:46.000]  有一些智慧
[00:03:46.000 --> 00:03:50.000]  發覺以前年輕做工程的時候
[00:03:50.000 --> 00:03:53.000]  去到地盤要視察工程
[00:03:53.000 --> 00:03:54.000]  哇 到tea break
