
[00:00:00.000 --> 00:00:04.400]  保羅一開始說那麼多前書的時候
[00:00:04.400 --> 00:00:10.000]  就看到教會中有一些紛爭、分裂的現象
[00:00:10.000 --> 00:00:14.000]  保羅就說一個很重要的核心的真理
[00:00:14.000 --> 00:00:17.000]  來將我們的注定放回一個
[00:00:17.000 --> 00:00:21.000]  我們叫做蒙因的基礎上面
[00:00:21.000 --> 00:00:24.000]  這個就是十字架的真理
[00:00:24.000 --> 00:00:29.800]  十字架的道理在世人來看是愚蠢的
[00:00:29.800 --> 00:00:33.000]  但對我們作為一群讀神的兒女來說
[00:00:33.000 --> 00:00:37.000]  這個是一個神的異位
[00:00:37.000 --> 00:00:42.000]  所以當我們越去明白這個十字架的道理的時候
[00:00:42.000 --> 00:00:44.000]  我們就能夠越活出耶穌基督
[00:00:44.000 --> 00:00:47.000]  祂自己在世上的樣式
[00:00:47.000 --> 00:00:51.000]  我們人生到最後的階段裡面
[00:00:51.000 --> 00:00:56.000]  並不是好像盼望就是眾人都很擁戴著我們
[00:00:56.000 --> 00:00:59.000]  為我們的生命來歡呼
[00:00:59.000 --> 00:01:02.000]  人長大了我們經常都會記得一句話
[00:01:02.000 --> 00:01:06.000]  就是你欽註最後那幾年
[00:01:06.000 --> 00:01:12.000]  雖然最後是很差勁的事情
[00:01:12.000 --> 00:01:15.000]  所以我們一定要跑人生的路途
[00:01:15.000 --> 00:01:17.000]  之前怎麼跑
[00:01:17.000 --> 00:01:19.000]  跑到很討人厭也好
[00:01:19.000 --> 00:01:21.000]  只要你最後跑得好
[00:01:21.000 --> 00:01:23.000]  那些人都會鼓掌的
[00:01:23.000 --> 00:01:26.000]  你看賽跑也是
[00:01:26.000 --> 00:01:29.000]  那些可能不是跑得很快的
[00:01:29.000 --> 00:01:31.000]  不是那些人一直喝彩的
[00:01:31.000 --> 00:01:33.000]  是那些跑馬拉松跑到最後
[00:01:33.000 --> 00:01:34.000]  快不夠時間了
[00:01:34.000 --> 00:01:35.000]  但那些人就走著走著
[00:01:35.000 --> 00:01:37.000]  拖著拖著拖著到終點
[00:01:37.000 --> 00:01:39.000]  但他都堅持地跑的人
[00:01:39.000 --> 00:01:45.000]  全場都哄動來拍手掌讚賞他
[00:01:45.000 --> 00:01:49.000]  你說這樣就好像阿Q精神一樣
[00:01:49.000 --> 00:01:52.000]  但這個就是人生的一些啟迪
[00:01:52.000 --> 00:01:55.000]  我們去比賽我們人生的時候
[00:01:55.000 --> 00:02:00.000]  並不是我們要放出一大個圈就可以
[00:02:00.000 --> 00:02:02.000]  我由中學階段裏面
[00:02:02.000 --> 00:02:04.000]  我都很少去玩運動會
[00:02:04.000 --> 00:02:06.000]  因為我知道我自己學校的運動會
[00:02:06.000 --> 00:02:08.000]  都是一些比較精英的人
[00:02:08.000 --> 00:02:10.000]  所以我都是多數做啦啦隊
[00:02:10.000 --> 00:02:13.000]  到我離開了中學
[00:02:13.000 --> 00:02:16.000]  去到讀中六或中七的時候
[00:02:16.000 --> 00:02:17.000]  我離開了自己的學校
