
[00:00:00.000 --> 00:00:03.480]  我們今天要去看的經文裏面
[00:00:03.480 --> 00:00:07.340]  同樣是十二門徒裏面其中的雅各和約翰
[00:00:07.340 --> 00:00:09.380]  他們都來到耶穌的面前
[00:00:09.380 --> 00:00:11.720]  他們都有一個祈求
[00:00:11.720 --> 00:00:14.920]  希望耶穌都能夠幫他們去實現
[00:00:14.920 --> 00:00:16.920]  今天進入講到之前
[00:00:16.920 --> 00:00:18.920]  我們都一起去祈禱
[00:00:18.920 --> 00:00:21.960]  天父上帝多謝你
[00:00:21.960 --> 00:00:23.960]  讓你的孩子能夠站在港台上面
[00:00:23.960 --> 00:00:25.500]  能夠宣講你的話語
[00:00:25.500 --> 00:00:28.500]  求你幫助孩子能夠解釋清楚
[00:00:28.500 --> 00:00:30.500]  亦都幫助台系的弟兄姊妹
[00:00:30.500 --> 00:00:32.500]  能夠真是明白你
[00:00:32.500 --> 00:00:34.500]  聖經裏面所講的真理
[00:00:34.500 --> 00:00:36.500]  願聖靈跟我們一起
[00:00:36.500 --> 00:00:38.500]  給個時間跟我們一起
[00:00:38.500 --> 00:00:40.500]  閱讀上帝的話語
[00:00:40.500 --> 00:00:42.500]  讓我們更加明白上帝
[00:00:42.500 --> 00:00:44.500]  多謝上帝聽孩子的禱告奉尊名求
[00:00:44.500 --> 00:00:46.500]  阿們
[00:00:46.500 --> 00:00:50.500]  馬赫福音
[00:00:50.500 --> 00:00:52.500]  在第八章到第十章
[00:00:52.500 --> 00:00:54.500]  我們為之一個大的段落
[00:00:54.500 --> 00:00:56.500]  在裏面其實
[00:00:56.500 --> 00:00:58.500]  在記載著耶穌和門徒
[00:00:58.500 --> 00:01:00.500]  去耶路撒冷路上的旅程
[00:01:00.500 --> 00:01:02.500]  而在這個段落裏面
[00:01:02.500 --> 00:01:04.500]  其實耶穌分別
[00:01:04.500 --> 00:01:06.500]  在三次裏面講了自己
[00:01:06.500 --> 00:01:08.500]  將會預言受難
[00:01:08.500 --> 00:01:10.500]  正所謂重要的事
[00:01:10.500 --> 00:01:12.500]  就要講三次
[00:01:12.500 --> 00:01:14.500]  不過這三次的預言
[00:01:14.500 --> 00:01:16.500]  這班門徒是不明白
[00:01:16.500 --> 00:01:18.500]  上帝究竟在講什麼
[00:01:18.500 --> 00:01:20.500]  甚至每一次
[00:01:20.500 --> 00:01:22.500]  每一次耶穌去講自己
[00:01:22.500 --> 00:01:24.500]  預言受難的時候
[00:01:24.500 --> 00:01:26.500]  這班門徒之間
[00:01:26.500 --> 00:01:28.500]  都會發生一些不同的事
[00:01:28.500 --> 00:01:30.500]  好像第一次耶穌預言自己
[00:01:30.500 --> 00:01:32.500]  受難的時候
[00:01:32.500 --> 00:01:34.500]  比特就拉著耶穌
[00:01:34.500 --> 00:01:36.500]  去擲避耶穌
[00:01:36.500 --> 00:01:38.500]  說為什麼要這樣
[00:01:38.500 --> 00:01:40.500]  或者對於這班門徒來說
[00:01:40.500 --> 00:01:42.500]  耶穌要去受難
[00:01:42.500 --> 00:01:44.500]  對他們來說是一件
[00:01:44.500 --> 00:01:46.500]  晴天霹靂的事
[00:01:46.500 --> 00:01:48.500]  可能他們想著
[00:01:48.500 --> 00:01:50.500]  耶穌你不是要來做
[00:01:50.500 --> 00:01:52.500]  地上的君王嗎
[00:01:52.500 --> 00:01:54.500]  但是這班門徒
[00:01:54.500 --> 00:01:56.500]  在自己受難的時候
[00:01:56.500 --> 00:01:58.500]  這班門徒聽不明白
[00:01:58.500 --> 00:02:00.500]  又不問
[00:02:00.500 --> 00:02:02.500]  還在路上問
[00:02:02.500 --> 00:02:04.500]  究竟我們中間
[00:02:04.500 --> 00:02:06.500]  誰是最大呢
[00:02:06.500 --> 00:02:08.500]  但是為什麼門徒
[00:02:08.500 --> 00:02:10.500]  在這個時候才會去討論
[00:02:10.500 --> 00:02:12.500]  我們中間誰是最大呢
[00:02:12.500 --> 00:02:14.500]  其實是因為
[00:02:14.500 --> 00:02:16.500]  其實剛剛比特
[00:02:16.500 --> 00:02:18.500]  才被耶穌罵完
[00:02:18.500 --> 00:02:20.500]  似乎最大的位置
[00:02:20.500 --> 00:02:22.500]  開始有野心
[00:02:22.500 --> 00:02:24.500]  會不會這個位置是我坐的呢
[00:02:24.500 --> 00:02:26.500]  而到了第三次預言的時候
[00:02:26.500 --> 00:02:28.500]  就發生了今天這個故事
[00:02:28.500 --> 00:02:30.500]  就是亞葛和約翰
