
[00:00:00.000 --> 00:00:03.000]  令姊妹主內平安
[00:00:03.000 --> 00:00:08.000]  讓我們一齊同心禱告
[00:00:08.000 --> 00:00:12.000]  天王感謝您藉著施班的師哥提醒我們
[00:00:12.000 --> 00:00:16.000]  無論在我們生命裏面有任何的困難
[00:00:16.000 --> 00:00:19.000]  遭遇到任何的苦楚
[00:00:19.000 --> 00:00:24.000]  當我們去將一切交託的時候
[00:00:24.000 --> 00:00:29.000]  主啊,祢必讓我們能夠得勝
[00:00:29.000 --> 00:00:32.000]  主啊就讓我們在不同的光景裏面
[00:00:32.000 --> 00:00:35.000]  我們都學習這個信心的功課
[00:00:35.000 --> 00:00:39.000]  將一切帶到黎主您的面前
[00:00:39.000 --> 00:00:42.000]  將重擔交給您
[00:00:42.000 --> 00:00:45.000]  以上我告奉主耶穌基督的聖名祈求
[00:00:45.000 --> 00:00:48.000]  阿們
[00:00:48.000 --> 00:00:51.000]  相信都講到天國的時候
[00:00:51.000 --> 00:00:54.000]  大家心裏面的圖畫就是覺得
[00:00:54.000 --> 00:00:57.000]  天國是一個好得無比的地方
[00:00:57.000 --> 00:01:02.000]  所以耶穌曾經講到天國好像寶貝
[00:01:02.000 --> 00:01:06.000]  人人都一切不惜一切來希望得到這個寶貝
[00:01:06.000 --> 00:01:10.000]  正如好像在《馬太福音》十三章四十四節那裏說
[00:01:10.000 --> 00:01:13.000]  天國好像寶貝藏在地裏
[00:01:13.000 --> 00:01:16.000]  人遇見了就把它藏起來
[00:01:16.000 --> 00:01:19.000]  歡歡喜喜的去變賣一切
[00:01:19.000 --> 00:01:23.000]  所有的賣這塊地
[00:01:23.000 --> 00:01:27.000]  耶穌在拜子的比喻裏面為我們繪畫了另外一幅
[00:01:27.000 --> 00:01:30.000]  形容天國的圖畫
[00:01:30.000 --> 00:01:36.000]  帶給我們一個另外一個有關天國的重點和教導
[00:01:36.000 --> 00:01:38.000]  墨子和拜子的比喻
[00:01:38.000 --> 00:01:42.000]  只是記載在《馬太福音》第十三章
[00:01:42.000 --> 00:01:45.000]  在其他的福音書裏面我們找不到這個比喻
[00:01:45.000 --> 00:01:48.000]  這個比喻分為兩部分
[00:01:48.000 --> 00:01:51.000]  第一部分就是比喻的本身
[00:01:51.000 --> 00:01:55.000]  記載在十三章二十四到三十節
[00:01:55.000 --> 00:01:58.000]  而比喻的解釋就記載在
[00:01:58.000 --> 00:02:02.000]  第三十六節到四十三節
[00:02:02.000 --> 00:02:04.000]  今天我希望藉著這個比喻
[00:02:04.000 --> 00:02:07.000]  和大家有四方面的思想
[00:02:07.000 --> 00:02:12.000]  究竟這個比喻帶給我們有什麼的提醒和教導呢
[00:02:12.000 --> 00:02:16.000]  請我們一起打開《馬太福音》第十三章
[00:02:16.000 --> 00:02:19.000]  二十四到三十節
[00:02:19.000 --> 00:02:22.000]  教會的《聖經》第二十頁
[00:02:22.000 --> 00:02:24.000]  新約部分第二十頁
[00:02:24.000 --> 00:02:33.000]  我們打開了就可以一路打開它
[00:02:33.000 --> 00:02:36.000]  請聽我說這個比喻
[00:02:36.000 --> 00:02:39.000]  這個比喻說天國好像一個農夫
[00:02:39.000 --> 00:02:42.000]  將好的種子散在田裏面
[00:02:42.000 --> 00:02:45.000]  但是晚上僕人睡覺的時候
[00:02:45.000 --> 00:02:50.000]  他的敵人就將敗子殺了在麥子中間
[00:02:50.000 --> 00:02:53.000]  之後就靜靜的走了
[00:02:53.000 --> 00:02:57.000]  後來當麥子長苗吐碎的時候
[00:02:57.000 --> 00:03:00.000]  敗子同時間也都生出來
[00:03:00.000 --> 00:03:03.000]  農夫的僕人來問他
