
[00:00:00.000 --> 00:00:07.600]  讓我們讀一段聖經,在以色列書第六章第一到第四節,還有第八節。
[00:00:07.600 --> 00:00:10.300]  這裡說當烏西亞王崩的那年,
[00:00:10.300 --> 00:00:13.800]  我見主坐在高高的寶座上,
[00:00:13.800 --> 00:00:16.700]  他的衣裳垂下,遮滿聖殿,
[00:00:16.700 --> 00:00:19.700]  其上有撒拉弗勢力,各有六個翅膀,
[00:00:19.700 --> 00:00:24.300]  有兩個翅膀遮臉,兩個翅膀遮腳,兩個翅膀飛翔,
[00:00:24.300 --> 00:00:27.500]  彼此呼喊說,聖哉!聖哉!聖哉!
[00:00:27.500 --> 00:00:31.300]  萬鈞之耶華,他的榮光充滿全地。
[00:00:31.300 --> 00:00:35.000]  因呼喊者的聲音,門檻的根基震動,
[00:00:35.000 --> 00:00:36.800]  殿充滿了煙雲。
[00:00:36.800 --> 00:00:39.500]  第八節,我一聽見主的聲音說,
[00:00:39.500 --> 00:00:43.000]  我可以猜前誰呢?誰肯為我們去呢?
[00:00:43.000 --> 00:00:46.100]  我說,我在這裡,請猜前我。
[00:00:46.100 --> 00:00:49.200]  我們就讀到這裡。
[00:00:49.200 --> 00:00:53.200]  第二節,今年雖然是一個充滿危機的一年,
[00:00:53.200 --> 00:00:59.500]  無論是在美國,甚至在全世界都充滿了動盪跟不安,
[00:00:59.500 --> 00:01:01.500]  但作為一個神的教會,
[00:01:01.500 --> 00:01:06.300]  我們一點不需要為這個世代來哀嘆。
[00:01:06.300 --> 00:01:09.800]  因為我們仔細看整個教會的歷史,
[00:01:09.800 --> 00:01:14.100]  每當整個大環境在改變的時候,
[00:01:14.100 --> 00:01:18.200]  總是神要開始工作的時刻。
[00:01:18.200 --> 00:01:22.200]  每當你看見黑暗籠罩的時刻,
[00:01:22.200 --> 00:01:26.400]  也總是神要帶來轉機的一個時刻。
[00:01:26.400 --> 00:01:30.500]  我深深的相信,在每一個苦難的背後,
[00:01:30.500 --> 00:01:35.100]  都是有神恢復的心意的,阿門。
[00:01:35.100 --> 00:01:40.200]  昨天早上,我們教會在新成立的一個國際網路小組,
[00:01:40.200 --> 00:01:44.700]  我們舉行了成立一百天的一個慶典。
[00:01:44.700 --> 00:01:48.800]  目前我們的網路小組分成三個目區,
[00:01:48.800 --> 00:01:53.700]  美洲區、亞洲區跟大洋區跟歐非洲區。
[00:01:53.700 --> 00:01:59.200]  每週平均兩百三十位弟兄姐妹一同在這裡聚會。
[00:01:59.200 --> 00:02:02.200]  昨天我們大家在不同的時段,
[00:02:02.200 --> 00:02:04.700]  我們這邊是早上八點鐘,
[00:02:04.700 --> 00:02:07.700]  那麼到亞洲是晚上十一點,
[00:02:07.700 --> 00:02:11.200]  歐非洲是在下午四、五點左右。
[00:02:11.200 --> 00:02:13.200]  我們在不同的時段,
[00:02:13.200 --> 00:02:18.000]  但是一同聚會,非常的歡喜快樂。
[00:02:18.000 --> 00:02:23.000]  我把它叫做疫情中的恩典,不是嗎?
[00:02:23.000 --> 00:02:26.000]  若不是因為這次疫情的緣故,
[00:02:26.000 --> 00:02:29.500]  我們怎麼會開始這樣一個新的事工呢?
[00:02:29.500 --> 00:02:35.000]  我們就不可能有這麼美好的一個歡喜的擴展了。
[00:02:35.000 --> 00:02:39.400]  所以今天我們一點不需要為這個世代來哀嘆,
[00:02:39.400 --> 00:02:44.900]  反而我們應當預備好,迎接在這個疫情之後,
[00:02:44.900 --> 00:02:50.900]  我們深深的相信是有新的一波神的復興浪潮的臨到。
[00:02:50.900 --> 00:02:53.800]  我們也深深的相信在疫情之後,
[00:02:53.800 --> 00:02:58.600]  是有一個新的神國豐收的新季節的來到。
[00:02:58.600 --> 00:03:00.900]  我們要預備我們自己,
[00:03:00.900 --> 00:03:06.700]  要成為一個神能夠擴展神國度的一個器皿。
