
[00:00:00.000 --> 00:00:07.280]  我相信絕大部份的基督徒其實都願意服侍神
[00:00:07.280 --> 00:00:12.700]  絕大部份的基督徒都想服侍神
[00:00:12.700 --> 00:00:14.700]  不過曾經有人這樣說
[00:00:14.700 --> 00:00:24.200]  Most people wish to serve God, but in an advisory capacity only.
[00:00:24.200 --> 00:00:25.540]  他的意思是什麼呢?
[00:00:25.540 --> 00:00:27.540]  很多人都想要服侍神的
[00:00:27.540 --> 00:00:31.540]  但只想用顧問的身份
[00:00:31.540 --> 00:00:35.540]  不過在會點我真的很感謝主
[00:00:35.540 --> 00:00:37.540]  因為我們Develop了一個Culture
[00:00:37.540 --> 00:00:39.540]  我們不單有很多弟兄姊妹
[00:00:39.540 --> 00:00:43.540]  甚至是朋友幫忙教會的工作
[00:00:43.540 --> 00:00:47.540]  而且他們每一個都真是落手落腳
[00:00:47.540 --> 00:00:49.540]  很盡心的去做
[00:00:49.540 --> 00:00:51.540]  很簡單 如果上個星期你在這裡
[00:00:51.540 --> 00:00:53.540]  我們60圍
[00:00:53.540 --> 00:00:57.540]  在工作中心
[00:00:57.540 --> 00:00:59.540]  我希望大家有目共睹
[00:00:59.540 --> 00:01:01.540]  不需要我再詳細去說
[00:01:01.540 --> 00:01:04.540]  每一個幫手的人都是盡心竭力的
[00:01:04.540 --> 00:01:07.540]  甚至我知道有些弟兄姊妹
[00:01:07.540 --> 00:01:10.540]  我們吃得很開心 他們沒時間去吃東西
[00:01:10.540 --> 00:01:13.540]  因為要幫忙做一樣 幫忙做那樣
[00:01:13.540 --> 00:01:17.540]  所以我們藉這個機會衷心感謝
[00:01:17.540 --> 00:01:20.540]  當日幫助我們去籌備
[00:01:20.540 --> 00:01:24.540]  以及在台前幕後的弟兄姊妹朋友
[00:01:24.540 --> 00:01:26.540]  當然上個星期是一個Show
[00:01:26.540 --> 00:01:28.540]  Show的意思是什麼呢?
[00:01:28.540 --> 00:01:30.540]  很難有這麼盛大的慶祝活動
[00:01:30.540 --> 00:01:32.540]  但我想說的是
[00:01:32.540 --> 00:01:34.540]  在整年的一整年
[00:01:34.540 --> 00:01:36.540]  每一個在教會幫忙的
[00:01:36.540 --> 00:01:40.540]  他們都是盡心竭力
[00:01:40.540 --> 00:01:42.540]  不過
[00:01:42.540 --> 00:01:44.540]  我心裏有一個問題
[00:01:44.540 --> 00:01:46.540]  我心裏有一個問題
[00:01:46.540 --> 00:01:48.540]  我們這樣去服侍神
[00:01:48.540 --> 00:01:50.540]  大家這樣去參與服侍神
[00:01:50.540 --> 00:01:55.540]  是不是真的能夠令神開心呢?
[00:01:55.540 --> 00:01:57.540]  我們這麼努力去工作
[00:01:57.540 --> 00:02:03.540]  是不是真的能夠令我們成為一個讓神歡笑的人呢?
[00:02:03.540 --> 00:02:07.540]  這個就是我想和大家一起思想的問題
[00:02:07.540 --> 00:02:09.540]  我們看兩節很熟悉的聖經
[00:02:09.540 --> 00:02:11.540]  羅馬書十二章第一第二節
[00:02:11.540 --> 00:02:13.540]  我們一起讀讀這兩節聖經
[00:02:13.540 --> 00:02:14.540]  雖然很熟悉
[00:02:14.540 --> 00:02:16.540]  不過我們試試讀這兩節聖經
[00:02:16.540 --> 00:02:18.540]  羅馬書十二章第一第二節
[00:02:46.540 --> 00:02:53.540]  很明顯這兩節聖經告訴我們
[00:02:53.540 --> 00:02:57.540]  要將我們的身體獻給神
[00:02:57.540 --> 00:03:00.540]  獻祭作為活祭獻給神
[00:03:00.540 --> 00:03:02.540]  如果你不是經常去教會
[00:03:02.540 --> 00:03:03.540]  忽然間聽到這樣的說話
[00:03:03.540 --> 00:03:05.540]  可能會覺得很多人害怕
[00:03:05.540 --> 00:03:07.540]  將人當作活祭獻給神
[00:03:07.540 --> 00:03:10.540]  但其實我們留心去想一想
[00:03:10.540 --> 00:03:12.540]  你就應該知道
[00:03:12.540 --> 00:03:17.540]  本來是借用舊約時代的獻祭作為一個比喻
[00:03:17.540 --> 00:03:23.540]  教導我們基督徒要用整個身體心靈去服侍這個請求我們愛我們的神
[00:03:23.540 --> 00:03:28.540]  也就是說我們必須要全心全意去服侍祂
[00:03:28.540 --> 00:03:32.540]  我們才能得到上帝的歡心
[00:03:32.540 --> 00:03:34.540]  令祂開心快樂
[00:03:34.540 --> 00:03:37.540]  不過我相信你們明白了這一點
[00:03:37.540 --> 00:03:40.540]  我不是真的將人獻祭
[00:03:40.540 --> 00:03:41.540]  不是這樣的意思
[00:03:41.540 --> 00:03:45.540]  但是有時候我們仍然會覺得很困難
[00:03:45.540 --> 00:03:46.540]  會不會呢?
[00:03:46.540 --> 00:03:49.540]  當聖經給我們似乎有這樣的要求的時候
[00:03:49.540 --> 00:03:52.540]  你會不會覺得很難去實踐呢?
[00:03:52.540 --> 00:03:54.540]  難的地方是什麼呢?
[00:03:54.540 --> 00:03:58.540]  因為我相信很多基督徒
[00:03:58.540 --> 00:04:01.540]  就算不覺得這個要求是過分的
[00:04:01.540 --> 00:04:06.540]  可能心裡會覺得這個要求會不會太高呢?
[00:04:06.540 --> 00:04:08.540]  會不會多了一點呢?
[00:04:08.540 --> 00:04:09.540]  我們只是相信耶穌
[00:04:09.540 --> 00:04:11.540]  我們只希望耶穌幫助我們
[00:04:11.540 --> 00:04:12.540]  保佑我們
[00:04:12.540 --> 00:04:13.540]  醫治我們
