
[00:00:00.000 --> 00:00:06.720]  今天繼續來看《啟示錄》第十七章的經文
[00:00:06.720 --> 00:00:08.840]  想問問在座的弟兄姊妹
[00:00:08.840 --> 00:00:13.080]  有多少個從我們一開始在講壇講《啟示錄》
[00:00:13.080 --> 00:00:16.080]  你就已經起到的 舉手看看
[00:00:16.080 --> 00:00:18.480]  嘩 都很多
[00:00:18.480 --> 00:00:21.200]  《啟示錄》這本書不容易看的
[00:00:21.200 --> 00:00:24.960]  不過就透過有講解
[00:00:24.960 --> 00:00:28.400]  似乎又能夠讓我們明白多一點
[00:00:28.400 --> 00:00:31.400]  以致知道世局的轉變
[00:00:31.400 --> 00:00:34.240]  原來是朝著一個什麼方向
[00:00:34.240 --> 00:00:41.280]  我們就可以怎樣去配合和選擇來生活
[00:00:41.280 --> 00:00:46.400]  在上一次聽講《啟示錄》的時候
[00:00:46.400 --> 00:00:52.560]  其實我們就已經看了印七號七碗
[00:00:52.560 --> 00:00:59.200]  到這個段落的時候 我們又會進入一個十八節的內容
[00:00:59.200 --> 00:01:04.880]  我們在看的時候 我們不如先做一個祈禱
[00:01:04.880 --> 00:01:13.120]  創天造地的真神 為我們寫命的耶穌基督
[00:01:13.120 --> 00:01:18.760]  還有引導我們明白真理 為我們禱告的聖靈
[00:01:18.760 --> 00:01:23.760]  我們很謝謝祢 因為神祢將祢的話語留下
[00:01:23.760 --> 00:01:28.080]  以致祢的話語一解開 就能夠有亮光
[00:01:28.080 --> 00:01:29.960]  叫我們知所跟隨
[00:01:29.960 --> 00:01:33.760]  所以求聖靈 祢在會堂運行
[00:01:33.760 --> 00:01:37.120]  幫助我們 除去各樣的思慮煩憂
[00:01:37.120 --> 00:01:40.600]  以致當我們進入《啟示錄》十七章的時候
[00:01:40.600 --> 00:01:42.640]  我們明白祢的心意
[00:01:42.640 --> 00:01:46.280]  並且學著怎樣應用在生活裡面
[00:01:46.280 --> 00:01:49.600]  願以祢的樣子來賜福 帶領我們
[00:01:49.600 --> 00:01:53.120]  同心祈禱 奉主明求 阿們
[00:01:53.120 --> 00:01:58.080]  這個經文其實不算很多 只有十八節
[00:01:58.080 --> 00:02:01.120]  所以我們會先用一點時間
[00:02:01.120 --> 00:02:07.520]  看看究竟它裡面講的是什麼
[00:02:07.520 --> 00:02:12.440]  在整個十七章裡面 有兩個很大的圖像
[00:02:12.440 --> 00:02:15.320]  就是「大淫婦」和「瘦」
[00:02:15.320 --> 00:02:17.760]  你看到的時候 你可能會說
[00:02:17.760 --> 00:02:23.760]  哇 整個十八節 只講這兩個的主角
[00:02:23.760 --> 00:02:26.960]  為什麼會用這麼多的篇幅來講呢?
[00:02:26.960 --> 00:02:31.240]  我們待會在講解的過程中 就會了解多一點
[00:02:31.240 --> 00:02:37.840]  我將這個題目定為「世上榮華 天上審判」
[00:02:37.840 --> 00:02:42.480]  因為我們的主耶穌 在出來服事的時候
[00:02:42.480 --> 00:02:45.560]  祂也受過試探
[00:02:45.560 --> 00:02:51.000]  撒旦將榮華擠在祂的面前 要祂來拜祂
[00:02:51.000 --> 00:02:52.800]  那麼耶穌怎麼說呢?
[00:02:52.800 --> 00:02:56.160]  「當拜主 獨一的神」
[00:02:56.160 --> 00:02:58.680]  所以我們也要看一下
[00:02:58.680 --> 00:03:02.600]  究竟今天世間的榮華 對我們來說
[00:03:02.600 --> 00:03:07.920]  會不會都是一種考驗 甚至是一些陷阱呢?
[00:03:07.920 --> 00:03:13.840]  整個講道的focus 會解明給我們聽
[00:03:13.840 --> 00:03:15.960]  究竟這個世局如何
[00:03:15.960 --> 00:03:20.960]  所以 了解了「世上榮華 天上審判」之後
[00:03:20.960 --> 00:03:23.560]  我們就要謹慎選擇
[00:03:23.560 --> 00:03:28.440]  好 我們一起進入今天的內容
[00:03:28.440 --> 00:03:35.600]  啟示錄 頭幾節
[00:03:35.600 --> 00:03:38.640]  特別是七章一到三節
[00:03:38.640 --> 00:03:45.400]  其實就是描述究竟這個異象是怎麼樣來產生的
[00:03:45.400 --> 00:03:51.520]  我們看一下那個經文
[00:03:51.520 --> 00:03:53.680]  經文一開始就講到
[00:03:53.680 --> 00:03:58.960]  「那著七碗的七位天使中 有一位前來對我說
[00:03:58.960 --> 00:04:03.960]  你到這裡來 我將坐在縱水上的大淫婦
[00:04:03.960 --> 00:04:07.640]  所以要受的刑罰 只給你看
[00:04:07.640 --> 00:04:11.760]  我被聖靈感動 天使帶我到曠野去
[00:04:11.760 --> 00:04:17.200]  我就看見一個女人 騎在珠紅色的獸上」
[00:04:17.200 --> 00:04:24.440]  這裡就已經將大淫婦這個角色和獸顯示了出來
[00:04:24.440 --> 00:04:27.440]  並且告訴我們 約翰所看到的
[00:04:27.440 --> 00:04:32.960]  原來就是七碗裡面其中一位天使來指示他看
[00:04:32.960 --> 00:04:39.160]  叫他看什麼 看看這位在大水之上的大淫婦
[00:04:39.160 --> 00:04:44.320]  她所要受的刑罰究竟是怎麼樣
[00:04:44.320 --> 00:04:48.320]  並且他帶到他去曠野那裡
[00:04:48.320 --> 00:04:55.320]  然後約翰就看到有一個女人騎在獸的上面
[00:04:55.320 --> 00:05:00.040]  其實在七碗的災難的那個講解那裡
[00:05:00.040 --> 00:05:05.040]  我們見到神將憤怒傾倒於地
[00:05:05.040 --> 00:05:12.280]  將他的審判展開 都是一個挺驚嚇的場面
[00:05:12.280 --> 00:05:15.800]  而在第17章到第19章
[00:05:15.800 --> 00:05:21.120]  作者更加將神公義彰顯的原因
[00:05:21.120 --> 00:05:23.600]  擠在我們面前
[00:05:23.600 --> 00:05:27.640]  用了大淫婦和獸來講解
[00:05:27.640 --> 00:05:33.440]  神為什麼這麼憤怒 和他為什麼要來審判
[00:05:33.440 --> 00:05:38.880]  也將撒旦對人類的影響 欺騙的伎倆
[00:05:38.880 --> 00:05:47.280]  擠在我們面前 以致我們懂得去分辨
[00:05:47.280 --> 00:05:52.600]  大淫婦的描述清楚記載在一到六節
[00:05:52.600 --> 00:05:54.600]  我們來看一下
[00:05:54.600 --> 00:06:01.200]  一開始的形容 就形容這位大淫婦是坐在重水之上的
