
[00:00:00.000 --> 00:00:09.000]  頂姐妹早晨 很開心 終於可以回到四堂崇拜
[00:00:09.000 --> 00:00:15.000]  今天有網上的一同參與頂姐妹 也有實體我可以見到
[00:00:15.000 --> 00:00:19.000]  你們有見到我 我有見到你們的頂姐妹 非常感恩
[00:00:19.000 --> 00:00:27.000]  大家近日數著人數也不習慣 現在終於可以好一點
[00:00:27.000 --> 00:00:32.000]  不單是崇拜 就算是結婚 在教堂裡結婚
[00:00:32.000 --> 00:00:40.000]  人數也放寬了很多 之前見到頂姐妹也很擔心
[00:00:40.000 --> 00:00:45.000]  都要數著有多少個兄弟 有多少個姐妹可以請
[00:00:45.000 --> 00:00:51.000]  都很不容易 我回想起當我自己結婚的時候
[00:00:51.000 --> 00:01:02.000]  有一次很快地叫了我的兄弟做弟兄 立即有人笑
[00:01:02.000 --> 00:01:07.000]  姐妹怎樣呢 其實姐妹是不是好一點呢
[00:01:07.000 --> 00:01:12.000]  我覺得又未必 在細心想想
[00:01:12.000 --> 00:01:18.000]  在教會外面 究竟我們會叫人做姐妹多一點
[00:01:18.000 --> 00:01:25.000]  還是姐妹多一點 我想後面姐妹會多一點
[00:01:25.000 --> 00:01:29.000]  姐妹通常都是在教會才這樣說 很特別
[00:01:29.000 --> 00:01:35.000]  在字義上 弟兄和兄弟沒有分別 英文也是brother
[00:01:35.000 --> 00:01:42.000]  姐妹和姐妹都是sisters 又是沒有分別 很奇怪
[00:01:42.000 --> 00:01:49.000]  在字義上根本不相關 但出現了一種文化上的差異
[00:01:49.000 --> 00:01:55.000]  很特別是在環教會 社會之間才會這樣
[00:01:55.000 --> 00:01:59.000]  為什麼會這樣呢 我猜就是因為
[00:01:59.000 --> 00:02:07.000]  我們傳統建立在聖經和合本 環教會傳統也是這樣
[00:02:07.000 --> 00:02:12.000]  經歷了一段時間之後 世界在改變
[00:02:12.000 --> 00:02:17.000]  世界不再這樣叫的時候 但教會的傳統仍然是這樣
[00:02:17.000 --> 00:02:23.000]  於是弟兄姐妹就變成環教會的術語 很有趣
[00:02:23.000 --> 00:02:32.000]  不過仔細想想 究竟弟兄和你比較親 還是兄弟和你比較親
[00:02:32.000 --> 00:02:37.000]  同樣 姐妹和你比較親 還是姐妹和你比較親
[00:02:37.000 --> 00:02:41.000]  我喜歡想這些奇怪的東西
[00:02:41.000 --> 00:02:47.000]  仔細想想 其實兄弟也好 姐妹也好
[00:02:47.000 --> 00:02:55.000]  其實不是應該在家裡和我們一起成長和住的兄弟姐妹
[00:02:55.000 --> 00:03:01.000]  才是最親的嗎 但我們又叫這些做兄弟姐妹 很特別
[00:03:01.000 --> 00:03:07.000]  在論語裡面有五輪 五輪裡面也有分天輪和人輪
[00:03:07.000 --> 00:03:12.000]  在血緣上 例如父母子女 兄弟姐妹
[00:03:12.000 --> 00:03:18.000]  這些是上天所決定的 沒得選擇的 稱之為天輪
[00:03:18.000 --> 00:03:25.000]  但在地上 例如君臣 朋友 這些人間裡面
[00:03:25.000 --> 00:03:32.000]  是決定的 稱之為人輪 要問的是
[00:03:32.000 --> 00:03:38.000]  在教會裡面 我們稱之為弟兄姐妹的關係
[00:03:38.000 --> 00:03:42.000]  究竟算是天輪還是人輪呢?
[00:03:42.000 --> 00:03:50.000]  在我們今天繼續的分享裡面 我們可以多試一些這方面的思考
[00:03:50.000 --> 00:03:53.000]  今天我們繼續會看提摩太前書
[00:03:53.000 --> 00:03:59.000]  提摩太前書是仕途保羅寫給他的徒弟提摩太的書信
[00:03:59.000 --> 00:04:04.000]  提摩太當時正在牧養爾弗所教會當地的信徒
[00:04:04.000 --> 00:04:07.000]  從保羅去勸勉提摩太的內容裡面
[00:04:07.000 --> 00:04:14.000]  我們可以看到保羅眼中的教會是有些特質的
[00:04:14.000 --> 00:04:21.000]  這段經文大部分都是講到教會裡面很多關於寡婦的事
[00:04:21.000 --> 00:04:32.000]  這似乎跟我們今天香港面對教會的場景有很大距離
[00:04:32.000 --> 00:04:38.000]  不過我相信今天這段經文裡面 同樣有些很重要的原則
[00:04:38.000 --> 00:04:43.000]  讓我們更多去思考究竟教會有什麼角色在當中
[00:04:43.000 --> 00:04:46.000]  或者弟兄姐妹在當中 有什麼角色在當中
[00:04:46.000 --> 00:04:53.000]  或者弟兄姐妹這個我們叫得慣叫得熟的稱呼其實有什麼意義在後面
[00:04:53.000 --> 00:04:56.000]  不如我們在繼續之前我們一起祈禱
[00:04:56.000 --> 00:05:02.000]  多主讓我們有這班人
[00:05:02.000 --> 00:05:05.000]  這班我們稱為弟兄姐妹的人
[00:05:05.000 --> 00:05:09.000]  我們今天是被祢招聚一同去敬拜祢
[00:05:09.000 --> 00:05:13.000]  求主祢帶領我們 讓我們同感一靈
[00:05:13.000 --> 00:05:18.000]  在祢的帶領裡面我們一起聽主祢的道
[00:05:18.000 --> 00:05:21.000]  我們去信守主祢給我們的道
[00:05:21.000 --> 00:05:25.000]  讓我們的生命被祢去改變
[00:05:25.000 --> 00:05:28.000]  我們這樣祈禱奉主名求 阿們
[00:05:44.000 --> 00:05:49.000]  總之在言語 行為 愛心 信心 清潔上都作信徒的榜樣
[00:05:49.000 --> 00:05:54.000]  要以宣讀聖經 勸勉 教導為念 直等到我來
