
[00:00:00.000 --> 00:00:04.000]  今日的講題是《約翰一書》四章十二到十六節
[00:00:04.000 --> 00:00:09.000]  講題是「真信真愛的就住在主裡」
[00:00:09.000 --> 00:00:11.000]  講到住在神裡面
[00:00:11.000 --> 00:00:13.000]  我們一起讀這段經文好嗎?
[00:00:13.000 --> 00:00:15.000]  預備起
[00:00:15.000 --> 00:00:18.000]  我們再一次禱告
[00:00:18.000 --> 00:00:22.000]  求聖靈引導我們進入祂的話語
[00:00:22.000 --> 00:00:24.000]  慈悲的天父
[00:00:24.000 --> 00:00:27.000]  三位一體的上帝
[00:00:27.000 --> 00:00:32.000]  我們感謝祢賜給我們救恩
[00:00:32.000 --> 00:00:37.000]  感謝祢帶我們出死入生
[00:00:37.000 --> 00:00:43.000]  我們所經歷主的愛主的恩典很多
[00:00:43.000 --> 00:00:46.000]  我們仰望主求祢幫我們
[00:00:46.000 --> 00:00:50.000]  真正能夠活出祢的生命
[00:00:50.000 --> 00:00:55.000]  不單別人看到神與我們同在
[00:00:55.000 --> 00:01:00.000]  別人也知道神是與我們同住
[00:01:00.000 --> 00:01:03.000]  看到我們彼此相愛
[00:01:03.000 --> 00:01:05.000]  知道我們是屬祢的人
[00:01:05.000 --> 00:01:07.000]  主求祢幫助
[00:01:07.000 --> 00:01:10.000]  我們真的好像明光照耀
[00:01:10.000 --> 00:01:12.000]  不單止我們所說的
[00:01:12.000 --> 00:01:15.000]  我們所活出來的生命
[00:01:15.000 --> 00:01:19.000]  都能夠將榮耀歸給在天上的神
[00:01:19.000 --> 00:01:23.000]  主我們知道我們是炎是光
[00:01:23.000 --> 00:01:27.000]  要在地上顯出祢的威榮
[00:01:27.000 --> 00:01:29.000]  求主幫助我們
[00:01:29.000 --> 00:01:33.000]  我們所信的都能夠活出來
[00:01:33.000 --> 00:01:36.000]  多謝您聽我們禱告奉耶穌的聖名
[00:01:36.000 --> 00:01:37.000]  阿門
[00:01:53.000 --> 00:01:58.000]  重點是要講到證據
