
[00:00:00.000 --> 00:00:04.560]  今日我們在這個主日開始
[00:00:04.560 --> 00:00:07.680]  我們都要講一講另外一些的主題
[00:00:07.680 --> 00:00:10.000]  即是我們這些做傳統牧師的
[00:00:10.000 --> 00:00:12.960]  有時候都要按照世界發生什麼事
[00:00:12.960 --> 00:00:15.640]  然後我們要調整一下
[00:00:15.640 --> 00:00:16.880]  我們想講些什麼
[00:00:16.880 --> 00:00:19.520]  因為疫情已經有兩年多了
[00:00:19.520 --> 00:00:21.200]  現在在各地的地方
[00:00:21.200 --> 00:00:22.480]  剛才我們都提過
[00:00:22.480 --> 00:00:25.440]  香港疫情都是非常之差
[00:00:25.440 --> 00:00:27.840]  我們這裡稍微放緩一下
[00:00:27.840 --> 00:00:30.360]  但是都有很多的未知之數
[00:00:30.360 --> 00:00:33.040]  上個星期又是戰火連天的時候
[00:00:33.040 --> 00:00:35.680]  俄羅斯入侵烏克蘭
[00:00:35.680 --> 00:00:37.800]  到底在這些這麼不安的時候
[00:00:37.800 --> 00:00:39.400]  我們會想起些什麼呢
[00:00:39.400 --> 00:00:43.080]  很多時候我們就會想起聖經裡面一些說話
[00:00:43.080 --> 00:00:45.920]  民要攻打民 國要攻打國
[00:00:45.920 --> 00:00:50.000]  或者有時候一些經文我們會想起的
[00:00:50.000 --> 00:00:52.160]  可能就是啟示錄
[00:00:52.160 --> 00:00:53.920]  因為在這些兵荒馬亂的時候
[00:00:53.920 --> 00:00:55.040]  我們就想一下
[00:00:55.040 --> 00:00:58.400]  到底耶穌什麼時候回來會收拾殘局呢
[00:00:58.400 --> 00:01:00.560]  希望祂快點回來就好了
[00:01:00.560 --> 00:01:04.480]  所以我們就在這裡加插這個系列
[00:01:04.480 --> 00:01:06.520]  我們想去思考一下
[00:01:06.520 --> 00:01:09.520]  到底啟示錄應該是怎麼講的
[00:01:09.520 --> 00:01:12.240]  特別是在一些不安的時候
[00:01:12.240 --> 00:01:13.360]  讓我們去看一下
[00:01:13.360 --> 00:01:14.960]  到底怎麼去解釋
[00:01:14.960 --> 00:01:18.240]  特別很多時候我們看到啟示錄的時候
[00:01:18.240 --> 00:01:20.600]  我們環教會有個傳統
[00:01:20.600 --> 00:01:24.320]  就是我們很喜歡亂解釋的
[00:01:24.320 --> 00:01:26.680]  所以我們想思考一下
[00:01:26.680 --> 00:01:29.080]  到底怎麼去理解裡面所講的東西
[00:01:29.080 --> 00:01:32.720]  既然聖經講的東西應該是造就我們
