
[00:00:00.000 --> 00:00:03.000]  今天我們要來分享這段經文
[00:00:03.000 --> 00:00:07.000]  你看到一個人 這個人叫做誰 以薩
[00:00:07.000 --> 00:00:14.000]  以薩很特別 因為以薩呢 他的爸爸叫做亞伯罕
[00:00:14.000 --> 00:00:17.000]  聖經裡面常常提到亞伯罕 也是提到以薩
[00:00:17.000 --> 00:00:24.000]  但是你發現聖經裡面提到的以薩 是沒有什麼事情做的
[00:00:24.000 --> 00:00:28.000]  亞伯罕他有很多事情 亞伯罕要什麼 燭壇
[00:00:28.000 --> 00:00:34.000]  亞伯罕怎麼樣 還要離開他的本地本族 還不知道往哪裡去
[00:00:34.000 --> 00:00:37.000]  他到每個地方去燭壇 然後亞伯罕面對什麼事情呢
[00:00:37.000 --> 00:00:40.000]  他最好要獻上以薩 就是那個小朋友
[00:00:40.000 --> 00:00:44.000]  所以以薩有一點後知後覺的
[00:00:44.000 --> 00:00:47.000]  因為在孩子的時候 要被獻的時候
[00:00:47.000 --> 00:00:54.000]  他還問他爸爸 財都有了 但是獻的寄物在哪裡
[00:00:54.000 --> 00:00:56.000]  他爸爸就問他說 是你啊
[00:00:56.000 --> 00:01:00.000]  所以他問這個問題 所以你看他走了那幾天還不知道
[00:01:00.000 --> 00:01:02.000]  他知道要去獻祭 但是看不到羊羔
[00:01:02.000 --> 00:01:06.000]  所以他自己就是這位以薩 看這位以薩長大了
[00:01:06.000 --> 00:01:11.000]  在聖經裡面提到亞伯罕有很多事 雅各也有很多事
[00:01:11.000 --> 00:01:17.000]  雅各篇幅也很多 講雅各怎麼樣 騙人家 然後又被騙
[00:01:17.000 --> 00:01:19.000]  然後雅各做很多事情
[00:01:19.000 --> 00:01:25.000]  所以你會發現他是只有讀讀這個以薩呢 不是
[00:01:25.000 --> 00:01:30.000]  所以我讀了一本書很特別 它叫做亞伯罕以薩雅各的神
[00:01:30.000 --> 00:01:32.000]  那是尼托森寄宗寫的
[00:01:32.000 --> 00:01:35.000]  他寫到裡面他就提到以薩是什麼人物呢
[00:01:35.000 --> 00:01:41.000]  他代表兒子來承受所有的產業
[00:01:41.000 --> 00:01:45.000]  所以亞伯罕有很多的產業 但是這兒子就好好當兒子就好
[00:01:45.000 --> 00:01:49.000]  就是怎麼樣 專門發爸爸的東西就可以了
[00:01:49.000 --> 00:01:52.000]  所以他也學他爸爸 他爸爸竹壇他也竹壇
[00:01:52.000 --> 00:01:55.000]  然後呢 他爸爸挖井 他也挖井
[00:01:55.000 --> 00:01:58.000]  但是只挖個井是他爸爸的井
[00:01:58.000 --> 00:02:01.000]  所以他很特別 聖經描述的以薩呢
[00:02:01.000 --> 00:02:06.000]  就是很單純要成為亞伯罕的兒子
[00:02:06.000 --> 00:02:09.000]  其實他在代表你是這樣子的
[00:02:09.000 --> 00:02:12.000]  你生命當中有很多神給你的產業
[00:02:12.000 --> 00:02:14.000]  給你父親的產業
[00:02:14.000 --> 00:02:16.000]  甚至在教會裡面給你很多產業
[00:02:16.000 --> 00:02:19.000]  你要不要去得那個產業呢
[00:02:19.000 --> 00:02:25.000]  還是你要白走幾家呢
[00:02:25.000 --> 00:02:32.000]  聰明 跟個比喻說 聰明的人就是當富二代
[00:02:32.000 --> 00:02:35.000]  要當有錢的 不是 要當聰明的富二代
[00:02:35.000 --> 00:02:38.000]  我們來解釋這個富二代怎麼當的
[00:02:38.000 --> 00:02:40.000]  所以在這裡我們就看到
[00:02:40.000 --> 00:02:47.000]  這是一貫以薩跟井水 跟井的故事
[00:02:47.000 --> 00:02:49.000]  那為什麼要講這個呢
[00:02:49.000 --> 00:02:52.000]  因為其實在年初的時候
[00:02:52.000 --> 00:02:55.000]  我就很有感動講這片道
[00:02:55.000 --> 00:02:57.000]  只是那時候還沒有成形
[00:02:57.000 --> 00:03:00.000]  我就覺得神要告訴我們一件事
