
[00:00:00.000 --> 00:00:05.080]  說起中秋節,最近開始有點秋意
[00:00:05.080 --> 00:00:08.340]  雖然這兩天又熱了,因為可能又有颳颱風
[00:00:08.340 --> 00:00:12.300]  但是,都問問大家
[00:00:12.300 --> 00:00:18.240]  通常近秋天,我不知道大家會不會都很喜歡去爬山
[00:00:18.240 --> 00:00:20.700]  或者最近有沒有爬過山
[00:00:20.700 --> 00:00:23.300]  或者今年有沒有爬過山
[00:00:23.300 --> 00:00:28.060]  OK,你爬山會去哪裏爬,跟甚麼人爬
[00:00:28.060 --> 00:00:31.400]  最後你會不會去到山頂
[00:00:31.400 --> 00:00:36.620]  話說,我今年真的有機會爬山
[00:00:36.620 --> 00:00:42.560]  我四月份跟Paul去了台中,去了阿里山
[00:00:42.560 --> 00:00:48.320]  這個就是我,以往都去過很多次台灣
[00:00:48.320 --> 00:00:51.920]  但是沒有爬過的一個山,其實一直都很想去
[00:00:51.920 --> 00:01:01.280]  結果坐了兩個小時,兩個小時才到山頂的旅遊區
[00:01:01.280 --> 00:01:04.940]  其實是觀賞景點的起點
[00:01:04.940 --> 00:01:10.500]  然後我們跟了一個本地的tour
[00:01:10.500 --> 00:01:13.620]  帶我們到山頂,其實有很多步道
[00:01:13.620 --> 00:01:18.140]  我們可以在那些步道遊覽一下
[00:01:18.140 --> 00:01:23.880]  阿里山的姑娘美不美呢,我就不知道了
[00:01:23.880 --> 00:01:27.840]  我不知道你懂不懂這首歌
[00:01:27.840 --> 00:01:31.840]  但是,因為那天是四月份
[00:01:31.840 --> 00:01:35.880]  四月份還是春天,山上真的很大霧
[00:01:35.880 --> 00:01:38.840]  而且也有一些雨水
[00:01:38.840 --> 00:01:48.560]  我們走了半小時,才到步道裏面的柴木群
[00:01:48.560 --> 00:01:53.080]  去看我最想看的,很高大的樹木
[00:01:53.080 --> 00:01:56.560]  當然很棒,因為這麼高的山
[00:01:56.560 --> 00:01:59.120]  通常空氣都是特別清新的
[00:01:59.120 --> 00:02:02.280]  很多安多芬,很舒服
[00:02:02.280 --> 00:02:09.280]  親身在當中,看著那棵,導遊說的柴木
[00:02:09.280 --> 00:02:12.200]  其實已經有二、三千年歷史了
[00:02:12.200 --> 00:02:17.040]  我真的覺得,哇,神創造的東西可以保存這麼久
[00:02:17.040 --> 00:02:21.160]  我常常想, Bible是其中一樣東西
[00:02:21.160 --> 00:02:25.480]  但是我的心裏面是很平靜的
[00:02:25.480 --> 00:02:29.320]  其實今天也說關於山的東西
[00:02:29.320 --> 00:02:32.640]  其實我會繼續,上一次阿嵐
[00:02:32.640 --> 00:02:35.640]  我們先播放一下
[00:02:35.640 --> 00:02:39.120]  阿嵐上次說語主納約的系列
[00:02:39.120 --> 00:02:42.200]  今天就說第二講
[00:02:42.200 --> 00:02:48.120]  上次阿嵐說到摩西在室內山的山腳
[00:02:48.120 --> 00:02:51.920]  跟一些子民宣讀了約書
[00:02:51.920 --> 00:02:54.720]  其實包括了十誡、律例
[00:02:54.720 --> 00:02:59.720]  還有做了一件事,就是獻祭去做一個納約儀式
[00:02:59.720 --> 00:03:03.360]  說明了神是沒有忘記以色列民的
[00:03:03.360 --> 00:03:05.640]  當初為什麼要帶出埃及呢?
[00:03:05.640 --> 00:03:09.560]  其實就是要跟他們建立屬神子民的關係
[00:03:09.560 --> 00:03:14.480]  也要整個群體去敬拜祂,去侍奉祂
[00:03:14.480 --> 00:03:16.600]  但是,接下來怎麼辦呢?
[00:03:16.600 --> 00:03:17.640]  What's next 呢?
[00:03:17.640 --> 00:03:19.200]  對了,怎麼辦呢?
[00:03:19.200 --> 00:03:25.280]  可以播放一下嗎?
[00:03:25.280 --> 00:03:27.960]  其實摩西有一個新的任務
[00:03:27.960 --> 00:03:33.760]  今天我們會繼續看出埃及記的二十四章十二至十八節
[00:03:33.760 --> 00:03:39.280]  摩西這次是要登上耶和華的山頂
[00:03:39.280 --> 00:03:42.200]  那個山就是西內山
[00:03:42.200 --> 00:03:51.280]  但是當中用了七節去說祂究竟是怎樣上山,怎樣在山上去朝見神
[00:03:51.280 --> 00:03:53.600]  不是一句話就說完了
[00:03:53.600 --> 00:03:56.720]  所以今天我改了一個題目叫「登山之旅」
[00:03:56.720 --> 00:04:00.920]  讓我們一起去看看摩西,祂怎樣去做這個登山之旅
[00:04:00.920 --> 00:04:03.600]  而當中其實我們怎樣去學到
[00:04:03.600 --> 00:04:08.560]  應該怎樣用什麼樣的態度、方式去朝見神
[00:04:08.560 --> 00:04:13.040]  去領受神給我們人生的下一步啟示
[00:04:13.040 --> 00:04:20.600]  那麼我們開始之先,我們都一起先去祈禱,好嗎?
[00:04:20.600 --> 00:04:22.360]  主耶穌,我們多謝祢讚美祢
[00:04:22.360 --> 00:04:26.440]  讓我們再一次回到祢的殿裡面
[00:04:26.440 --> 00:04:31.240]  我們真的很想單單去敬拜祢,去遇見祢
[00:04:31.240 --> 00:04:37.720]  雖然今天可能整天,每個人都有不同的事情去忙碌
[00:04:37.720 --> 00:04:40.720]  可能我們都會覺得有疲乏的時候
[00:04:40.720 --> 00:04:45.760]  但是主要我求的是,一會兒我們去聽祢的說話的時候
[00:04:45.760 --> 00:04:49.240]  求聖靈在當中真的幫助我們
[00:04:49.240 --> 00:04:55.240]  就像剛才師哥,我們很想真的渴望去尋見祢
[00:04:55.240 --> 00:05:01.080]  以致我們明白祢的說話對我們生命的重要
[00:05:01.080 --> 00:05:04.720]  就是求祢去打開我們的心,打開我們的耳朵
[00:05:04.720 --> 00:05:06.080]  讓我們都聽得明白
[00:05:06.080 --> 00:05:11.200]  並且往後在我們生活層面裡面,我們可以實踐得到
[00:05:11.200 --> 00:05:13.080]  多謝祢讚美祢
