
[00:00:00.000 --> 00:00:05.440]  讀聖經是很需要掌握經文的重心
[00:00:05.440 --> 00:00:08.660]  當我們讀一章經節時
[00:00:08.660 --> 00:00:12.660]  一章聖經裏面的經文
[00:00:12.660 --> 00:00:16.440]  我們最重要的是能夠掌握經文的重心
[00:00:16.440 --> 00:00:21.480]  我們就能夠知道究竟經文想跟我們講甚麼說話
[00:00:21.480 --> 00:00:22.900]  很有趣
[00:00:22.900 --> 00:00:25.500]  當我們見到經文的結構
[00:00:25.500 --> 00:00:28.740]  其實已經開了股 告訴我們
[00:00:28.740 --> 00:00:32.000]  經文的主題是甚麼
[00:00:32.000 --> 00:00:33.680]  好像第六章
[00:00:33.680 --> 00:00:36.420]  一開始第一節就說
[00:00:36.420 --> 00:00:43.340]  「神所吩咐你們的誡命、律例、典章都要遵行」
[00:00:43.340 --> 00:00:46.880]  而最後那節經文也是第六章
[00:00:46.880 --> 00:00:49.440]  二十五節是說
[00:00:49.440 --> 00:00:55.020]  「神所吩咐一切誡命都需要謹守遵行」
[00:00:55.020 --> 00:00:58.360]  一頭一尾都說要遵守神的話語
[00:00:58.360 --> 00:01:02.580]  而經文最中間六章十七節
[00:01:02.580 --> 00:01:08.460]  還叫我們要留意遵守祂的誡命、法道和律例
[00:01:08.460 --> 00:01:10.340]  所以毫無疑問
[00:01:10.340 --> 00:01:12.560]  第六章告訴我們
[00:01:12.560 --> 00:01:15.620]  服從神、遵守祂的誡命
[00:01:15.620 --> 00:01:18.260]  就是第六章的主題
[00:01:18.260 --> 00:01:21.300]  第七章亦是不例外
[00:01:21.300 --> 00:01:23.360]  一開始一結尾
[00:01:23.360 --> 00:01:26.640]  七章二至三節是開始
[00:01:26.640 --> 00:01:29.960]  七章二十五至二十六節是結尾
[00:01:29.960 --> 00:01:35.420]  一開始一結尾就告訴我們有八個不可
[00:01:35.420 --> 00:01:37.480]  神的命令
[00:01:37.480 --> 00:01:39.840]  一是說你要怎樣做
[00:01:39.840 --> 00:01:41.840]  一是說不可
[00:01:41.840 --> 00:01:43.440]  其實都是一樣
[00:01:43.440 --> 00:01:45.920]  都是神的律例、典章
[00:01:45.920 --> 00:01:49.560]  告訴我們有甚麼事不要去做
[00:01:49.560 --> 00:01:52.320]  接著在第七章的中心
[00:01:52.320 --> 00:01:54.400]  又在七章十一節
[00:01:54.400 --> 00:01:57.920]  經文說「所以你要謹守、遵行
[00:01:57.920 --> 00:02:02.440]  我今日所吩咐你的誡命、律例、典章」
[00:02:02.440 --> 00:02:04.100]  兩章的書
[00:02:04.100 --> 00:02:05.860]  第六、第七章
[00:02:05.860 --> 00:02:08.140]  其實的重心主題
[00:02:08.140 --> 00:02:10.460]  都是說要服從神
[00:02:10.460 --> 00:02:14.520]  要服從耶和華
[00:02:14.520 --> 00:02:17.360]  那你說怎樣服從呢?
[00:02:17.360 --> 00:02:18.980]  經文講得很清楚
