
[00:00:00.000 --> 00:00:04.320]  今日主席曹東嘅討聞好道地
[00:00:04.320 --> 00:00:08.780]  美國總統大選嘅結果就已經塵埃落定
[00:00:08.780 --> 00:00:13.180]  特朗普就會再度入主白宮
[00:00:13.180 --> 00:00:17.460]  成為下一屆嘅美國總統
[00:00:17.460 --> 00:00:24.640]  近日亦都紛紛有唔同嘅時事評論員
[00:00:24.640 --> 00:00:31.920]  嚟到去分析到底特朗普大選今次勝出嘅原因
[00:00:31.920 --> 00:00:35.840]  我唔係專家 我唔識呢啲嘢
[00:00:35.840 --> 00:00:42.120]  不過早排喺網上都流傳好多嘅圖片
[00:00:42.120 --> 00:00:43.720]  好多嘅資訊
[00:00:43.720 --> 00:00:48.520]  有啲人幾撐特朗普
[00:00:48.520 --> 00:00:52.880]  大家唔知有冇睇過 其中有佢
[00:00:52.880 --> 00:00:57.720]  呢個係當今樂壇隻手可熱嘅
[00:00:57.720 --> 00:01:03.560]  天后Taylor Swift都話係撐特朗普
[00:01:03.560 --> 00:01:07.840]  你知道Taylor Swift都係好多fans
[00:01:07.840 --> 00:01:12.360]  佢嗰啲fans原來叫做Swifties
[00:01:12.360 --> 00:01:15.280]  佢哋都話係撐特朗普
[00:01:15.280 --> 00:01:17.960]  真係非同小可
[00:01:17.960 --> 00:01:24.240]  不過 原來呢 我見到你哋啲樣我知你哋有疑惑
[00:01:24.240 --> 00:01:26.400]  原來係假嘅
[00:01:26.400 --> 00:01:30.680]  原來呢啲圖係AI生成嘅
[00:01:30.680 --> 00:01:35.760]  係假嘅資訊嚟㗎喎
[00:01:35.760 --> 00:01:40.120]  而Taylor Swift亦都即刻發聲明嚟到去澄清
[00:01:40.120 --> 00:01:45.200]  隨後更加宣佈佢支持嗰個係另外一邊
[00:01:45.200 --> 00:01:48.520]  就係民主黨嘅賀錦麗
[00:01:48.520 --> 00:01:51.240]  唔單止呢一單 仲有嘅
[00:01:51.240 --> 00:01:56.680]  仲有就係喺俄亥俄州亦都有一個市鎮嘅居民
[00:01:56.680 --> 00:02:01.920]  就聲稱佢哋移居佢哋嗰個市鎮嘅
[00:02:01.920 --> 00:02:08.000]  一啲海地嘅移民就殺害佢哋喺公園嗰啲鴨仔
[00:02:08.000 --> 00:02:11.880]  即係劏咗佢哋嚟食 做燒鴨可能係
[00:02:11.880 --> 00:02:17.920]  又有人喺Facebook嗰度貼文就話唔見咗佢哋啲寵物
[00:02:17.920 --> 00:02:22.800]  梗係嗰啲海地人又係攞咗去劏嚟食
[00:02:22.800 --> 00:02:27.200]  只不過呢其實佢哋呢啲講嘅嘢都係口耳相傳
[00:02:27.200 --> 00:02:30.840]  就冇真憑實據嘅
[00:02:30.840 --> 00:02:33.360]  但係點解仍然咁多人信㗎呢
[00:02:33.360 --> 00:02:37.160]  咁多人要傳呢啲咁樣嘅信息㗎呢
[00:02:37.160 --> 00:02:40.080]  其實事出必有因嘅
[00:02:40.080 --> 00:02:46.760]  原來近年海地嗰度因為國家嘅動亂 戰爭
[00:02:46.760 --> 00:02:51.920]  好多人出走去到美國嗰度
[00:02:51.920 --> 00:02:58.640]  俄亥俄州一個市鎮本來只係得五萬八千人
[00:02:58.640 --> 00:03:03.800]  點知近年湧入去佢哋嗰度嘅海地人
[00:03:03.800 --> 00:03:05.680]  有成一萬五千咁多
[00:03:05.680 --> 00:03:08.560]  你諗下一個原本五萬八千嘅人
