
[00:00:00.000 --> 00:00:09.200]  今次我回來是想完結我這個所謂女性侍奉的系列
[00:00:09.200 --> 00:00:13.800]  所以今天我們就想去看最後一段經文
[00:00:13.800 --> 00:00:17.200]  最後一段經文就是在羅馬書第十六章
[00:00:17.200 --> 00:00:20.000]  如果你有電話的話,你有聖經的話
[00:00:20.000 --> 00:00:22.000]  打開羅馬書最後一章
[00:00:22.000 --> 00:00:24.000]  就是第十六章
[00:00:24.000 --> 00:00:26.000]  OK?第十六章
[00:00:26.000 --> 00:00:28.000]  第十六章這裡是說什麼呢?
[00:00:28.000 --> 00:00:30.000]  羅馬書是一封書信
[00:00:30.000 --> 00:00:33.000]  即是說保羅寫信給當地的教會
[00:00:33.000 --> 00:00:36.000]  羅馬的信徒,羅馬的宗教會
[00:00:36.000 --> 00:00:39.000]  每一次寫書信的時候
[00:00:39.000 --> 00:00:41.000]  他當然有抬頭,然後有一個內容
[00:00:41.000 --> 00:00:43.000]  羅馬書是很長的
[00:00:43.000 --> 00:00:46.000]  而且是一封很出名的書信
[00:00:46.000 --> 00:00:48.000]  所以長到十五章
[00:00:48.000 --> 00:00:50.000]  第一章寫到十五章
[00:00:50.000 --> 00:00:53.000]  講出很多基督教裡面很重要的教義
[00:00:53.000 --> 00:00:55.000]  譬如恩信、清義
[00:00:55.000 --> 00:01:02.000]  弟兄姊妹如何在兩個當時的猶太人和外邦人之間
[00:01:02.000 --> 00:01:05.000]  有很多的張力、有很多的分歧
[00:01:05.000 --> 00:01:08.000]  如何可以在一個共同的群體裡面
[00:01:08.000 --> 00:01:11.000]  在愛和真理裡面去建立
[00:01:11.000 --> 00:01:13.000]  講了十五章之後
[00:01:13.000 --> 00:01:15.000]  到第十六章最後一章
[00:01:15.000 --> 00:01:17.000]  是講些什麼呢?
[00:01:17.000 --> 00:01:19.000]  通常寫信最後是寫什麼呢?
[00:01:19.000 --> 00:01:23.000]  看看寫什麼吧
[00:01:23.000 --> 00:01:25.000]  如果寫情信,最後寫什麼呢?
[00:01:25.000 --> 00:01:31.000]  I love you,OK
[00:01:31.000 --> 00:01:33.000]  可能是署名
[00:01:33.000 --> 00:01:35.000]  或者地址
[00:01:35.000 --> 00:01:37.000]  不是地址,sorry,日期
[00:01:37.000 --> 00:01:39.000]  或者月份,I love you
[00:01:39.000 --> 00:01:41.000]  然後我是誰
[00:01:41.000 --> 00:01:43.000]  然後日期等等
[00:01:43.000 --> 00:01:46.000]  第十六章也是有點像這樣的
[00:01:46.000 --> 00:01:48.000]  羅馬書第十六章最後的時候
[00:01:48.000 --> 00:01:52.000]  就是保羅向當地的教會問安
[00:01:52.000 --> 00:01:54.000]  如果打開這段聖經的時候
[00:01:54.000 --> 00:01:58.000]  你會發現他一直在數一些名字
[00:01:58.000 --> 00:02:05.000]  我們想用一些經文來做一個總結
[00:02:05.000 --> 00:02:10.000]  總結我們怎樣看女性在教會裡面侍奉
[00:02:10.000 --> 00:02:14.000]  下一張slide就告訴大家
[00:02:14.000 --> 00:02:17.000]  首先有一些預設和一些原則
[00:02:17.000 --> 00:02:18.000]  我們需要知道的
[00:02:18.000 --> 00:02:21.000]  每一個我們去理解聖經的時候
[00:02:21.000 --> 00:02:24.000]  每一個我們需要去明白聖經講些什麼呢?
[00:02:24.000 --> 00:02:26.000]  我們都需要去明白幾樣東西
[00:02:26.000 --> 00:02:28.000]  第一樣,現在沒有slide不要緊
[00:02:28.000 --> 00:02:33.000]  第一樣,聖經是一些當時的產品
[00:02:33.000 --> 00:02:35.000]  父權社會的產品
[00:02:35.000 --> 00:02:38.000]  父權社會,大家知道聖經的時代就是父權社會
[00:02:38.000 --> 00:02:40.000]  就是以男為上
[00:02:40.000 --> 00:02:42.000]  樣樣東西都是以男為外
[00:02:42.000 --> 00:02:44.000]  或者男人當家
[00:02:44.000 --> 00:02:46.000]  男人說了算
[00:02:46.000 --> 00:02:49.000]  所以聖經是一種這樣的情況下
[00:02:49.000 --> 00:02:53.000]  產生出來的文學作品
[00:02:53.000 --> 00:02:56.000]  我說文學作品不一定是虛構的
[00:02:56.000 --> 00:02:59.000]  有些教目,或者我上一代的教目
[00:02:59.000 --> 00:03:00.000]  比我老的那些教目
[00:03:00.000 --> 00:03:03.000]  他們一聽見聖經是文學作品的時候
[00:03:03.000 --> 00:03:05.000]  就說聖經是西遊記
[00:03:05.000 --> 00:03:08.000]  沒有歷史背景,沒有歷史真實
[00:03:08.000 --> 00:03:10.000]  不是這樣的意思
[00:03:10.000 --> 00:03:12.000]  而是他花了很多心思
[00:03:12.000 --> 00:03:15.000]  在經文上面,寫作上面
[00:03:15.000 --> 00:03:19.000]  去present一件事,好像你去博物館看一些名畫
[00:03:19.000 --> 00:03:22.000]  是frame了一些東西,有個架的
[00:03:22.000 --> 00:03:24.000]  那你那幅畫才漂亮
[00:03:24.000 --> 00:03:26.000]  聖經也是一樣
[00:03:26.000 --> 00:03:31.000]  聖經是在框架裡面出來的文學作品或者產品
[00:03:31.000 --> 00:03:38.000]  但你留意,聖經是假設當時的以男為上的世界
[00:03:38.000 --> 00:03:42.000]  但不一定聖經是贊同那個世界的
[00:03:42.000 --> 00:03:44.000]  大家明白嗎
[00:03:44.000 --> 00:03:47.000]  他預設或者假設當時的社會
[00:03:47.000 --> 00:03:50.000]  因為寫給當時的人,直接寫給他們
[00:03:50.000 --> 00:03:55.000]  所以是假設,但不一定是認可或者贊成
[00:03:55.000 --> 00:03:56.000]  這是第一點
[00:03:56.000 --> 00:04:01.000]  第二點就是聖經是以男性為中心的文學作品
[00:04:01.000 --> 00:04:03.000]  大部分的聖經寫的時候
[00:04:03.000 --> 00:04:06.000]  作者都應該是男人
[00:04:06.000 --> 00:04:10.000]  很少是女人,我相信也不會是女人寫的
[00:04:10.000 --> 00:04:11.000]  大部分是男人
[00:04:11.000 --> 00:04:13.000]  不代表女人是完全不識字
[00:04:13.000 --> 00:04:16.000]  但在當時文化的背景裡面
[00:04:16.000 --> 00:04:22.000]  主角或者寓意或者寓景
[00:04:22.000 --> 00:04:28.000]  或者作者都是以男人的眼光來作出發
[00:04:28.000 --> 00:04:34.000]  所以大部分主角,主要的人都是男人
[00:04:34.000 --> 00:04:38.000]  譬如你看家譜,很少會講女人
[00:04:38.000 --> 00:04:43.000]  我們華人文化都是這樣的
[00:04:43.000 --> 00:04:45.000]  是跟著男人去的
[00:04:45.000 --> 00:04:46.000]  女人去了哪裡?
[00:04:46.000 --> 00:04:47.000]  女人是很需要的
[00:04:47.000 --> 00:04:50.000]  很需要女人,因為女人是生小孩的
[00:04:50.000 --> 00:04:51.000]  沒有女人怎麼生小孩?
[00:04:51.000 --> 00:04:54.000]  但看家譜的時候,跟那個名字的時候
[00:04:54.000 --> 00:04:57.000]  就一定跟男人的名字
[00:04:57.000 --> 00:04:58.000]  所以我們曾經講過
[00:04:58.000 --> 00:05:00.000]  聖經裡面大部分的主角
[00:05:00.000 --> 00:05:04.000]  我們很多時候的印象都是一些男人
[00:05:04.000 --> 00:05:05.000]  或者信心的英雄
[00:05:05.000 --> 00:05:07.000]  摩西大衛等等
[00:05:07.000 --> 00:05:09.000]  這個感覺是真實的
