
[00:00:00.000 --> 00:00:03.960]  幾年前有機會到北漠探訪
[00:00:03.960 --> 00:00:08.280]  有兩天住在蒙古包
[00:00:08.280 --> 00:00:19.360]  睡覺前有職員把柴放在蒙古包裏的火爐
[00:00:19.360 --> 00:00:22.840]  讓柴燒著
[00:00:22.840 --> 00:00:26.360]  蒙古包可以暖和
[00:00:26.360 --> 00:00:32.240]  因為在北漠早上和晚上天氣較為寒冷
[00:00:32.240 --> 00:00:36.600]  以致我們睡覺能夠暖和
[00:00:36.600 --> 00:00:39.800]  睡到半夜的時候
[00:00:39.800 --> 00:00:45.120]  我發覺有職員進來蒙古包加柴
[00:00:45.120 --> 00:00:50.640]  讓爐火繼續燒著
[00:00:50.640 --> 00:00:56.960]  直至早上這個爐仍然有一點點的火
[00:00:56.960 --> 00:01:02.360]  讓蒙古包可以繼續保持溫暖
[00:01:02.360 --> 00:01:05.240]  實在很感謝這些職員
[00:01:05.240 --> 00:01:08.960]  原來在我們睡得淋的時候
[00:01:08.960 --> 00:01:11.920]  半夜三更都是工作
[00:01:11.920 --> 00:01:15.280]  為著不同的蒙古包來加柴
[00:01:15.280 --> 00:01:17.680]  如果不是他們的服侍
[00:01:17.680 --> 00:01:23.920]  恐怕蒙古包裏的人逐一逐一的半夜冷醒了
[00:01:23.920 --> 00:01:28.400]  甚至整晚都不能夠安睡
[00:01:28.400 --> 00:01:31.160]  在8月2日的主日
[00:01:31.160 --> 00:01:38.600]  跟大家講到怎樣去成為主的門徒
[00:01:38.600 --> 00:01:43.480]  我們願意去跟隨主耶穌
[00:01:43.480 --> 00:01:46.640]  以祂為我們的師父
[00:01:46.640 --> 00:01:51.800]  常常跟祂保持有相交有團契
[00:01:51.800 --> 00:01:54.360]  研讀主自己的話語
[00:01:54.360 --> 00:01:56.880]  去信服祂的吩咐
[00:01:56.880 --> 00:01:59.080]  活出主的愛
[00:01:59.080 --> 00:02:02.800]  來見證這位的恩主
[00:02:02.800 --> 00:02:05.760]  在《讓方案》15章裏面提到
[00:02:05.760 --> 00:02:09.240]  如果我們常常在主裏面
[00:02:09.240 --> 00:02:12.720]  祂的話都常在我們裏面
[00:02:12.720 --> 00:02:15.880]  主應許凡我們願意的
[00:02:15.880 --> 00:02:19.640]  祈求就給我們去成就
[00:02:19.640 --> 00:02:23.720]  剛才我們看過《雅各書》第一段的經文
[00:02:23.720 --> 00:02:25.880]  《雅各書》一章二節或節
[00:02:25.880 --> 00:02:31.640]  雅各提到當我們遇到一些試煉的時候
[00:02:31.640 --> 00:02:37.560]  我們應該怎樣來面對這些困難呢?
[00:02:37.560 --> 00:02:41.400]  雅各講到原來這些困難
[00:02:41.400 --> 00:02:46.160]  或一些苦難對我們可以很有益處
[00:02:46.160 --> 00:02:51.560]  因為苦難可以為著我們屬靈的生命帶來福氣
