
[00:00:00.000 --> 00:00:04.520]  今天很開心能夠有機會被貴教會邀請來到
[00:00:04.520 --> 00:00:09.160]  一個聖惡主日跟大家分享上帝的訊息
[00:00:09.160 --> 00:00:13.800]  我估計大家每年都會有一個聖惡主日,是嗎?教會
[00:00:13.800 --> 00:00:18.080]  想問一下爲什麼要特別有一個聖惡的主日呢?
[00:00:18.080 --> 00:00:23.680]  我相信每個聖惡主日都會邀請一些與音樂有關的人來講
[00:00:23.680 --> 00:00:28.520]  也會透過經文來講音樂是怎樣用的
[00:00:28.520 --> 00:00:34.520]  有人說基督教是歌唱宗教,我想我們絕對不會否認
[00:00:34.520 --> 00:00:40.240]  但其實音樂不單止在基督教是常常被運用的
[00:00:40.240 --> 00:00:42.640]  你看看我們日常的生活裏面
[00:00:42.640 --> 00:00:47.840]  其實在各樣的細節裏面很多時候都是有着音樂的
[00:00:47.840 --> 00:00:51.760]  我們去餐廳喫東西的時候是不是有時候有些音樂的?
[00:00:51.760 --> 00:00:56.840]  高級一點的那些可能有個quartet拉着,伴着唱,可能會是這樣
[00:00:56.840 --> 00:01:01.920]  然後你去商場走的時候,是不是常常都聽到一些很柔和的音樂?
[00:01:01.920 --> 00:01:04.760]  小心一點,因爲其實是有意思的
[00:01:04.760 --> 00:01:08.360]  它不會給你一些很強烈的音樂,一些很柔和的
[00:01:08.360 --> 00:01:13.400]  那你很relax,跟着就拿錢出來買東西了
[00:01:13.400 --> 00:01:18.800]  是有根據的,這個在心理學上是可以這樣去講的
[00:01:18.800 --> 00:01:23.240]  然後當你去做gym的時候,不會用一些很柔和的音樂
[00:01:23.240 --> 00:01:26.360]  可能瑜伽或者stretching那些會
[00:01:26.360 --> 00:01:33.760]  但如果是強烈的跑步,一定是一些很強勁的音樂去伴着你跑,是不是?
[00:01:33.760 --> 00:01:37.560]  回到家裏,你打開電視或者在各樣的
[00:01:37.560 --> 00:01:43.200]  很多人喜歡一邊工作一邊對着computer的時候都會去開着音樂
