
[00:00:00.000 --> 00:00:03.500]  「順服」
[00:00:03.500 --> 00:00:05.960]  各位弟兄姐妹平安
[00:00:05.960 --> 00:00:08.240]  當你聽到「順服」這兩個字
[00:00:08.240 --> 00:00:11.000]  我不知道你心裡有什麼回應
[00:00:11.000 --> 00:00:12.900]  特別是我們夫婦之間
[00:00:12.900 --> 00:00:17.160]  很多時候在問到底老婆聽老公的話
[00:00:17.160 --> 00:00:19.300]  或者老公聽老婆的話
[00:00:19.300 --> 00:00:21.300]  當然在聖經裡面說
[00:00:21.300 --> 00:00:25.260]  做丈夫的是要愛你的妻子
[00:00:25.260 --> 00:00:27.160]  我就發覺有一個秘訣
[00:00:27.160 --> 00:00:29.920]  原來當你很愛很愛很愛
[00:00:29.920 --> 00:00:31.220]  你的妻子的時候
[00:00:31.220 --> 00:00:33.480]  你的妻子就會「順服」你
[00:00:33.480 --> 00:00:35.480]  當然聖經很清楚地說
[00:00:35.480 --> 00:00:37.480]  丈夫是妻子的頭
[00:00:37.480 --> 00:00:40.360]  但是很多人的經驗都告訴你
[00:00:40.360 --> 00:00:43.040]  太太是一條頸
[00:00:43.040 --> 00:00:44.320]  如果她不轉
[00:00:44.320 --> 00:00:47.520]  你的頭也不用方轉到那一邊
[00:00:47.520 --> 00:00:49.520]  在我的經驗裡面也是
[00:00:49.520 --> 00:00:51.440]  很多時候太太很客氣
[00:00:51.440 --> 00:00:52.240]  就問我
[00:00:52.240 --> 00:00:54.420]  今天我們不如出去吃晚餐
[00:00:54.420 --> 00:00:55.760]  你想去哪裡吃
[00:00:55.760 --> 00:00:57.400]  我的心就在這裡回答
[00:00:57.400 --> 00:01:00.540]  我就喜歡吃小籠包、昏魚那些
[00:01:00.540 --> 00:01:03.920]  因為在我們附近有一家很好的食肆
[00:01:03.920 --> 00:01:06.560]  誰知道我一提出
[00:01:06.560 --> 00:01:08.400]  她就一定會反對
[00:01:08.400 --> 00:01:10.280]  其實我都猜到的了
[00:01:10.280 --> 00:01:12.180]  接著她就會問
[00:01:12.180 --> 00:01:15.600]  不如我就選有兩家咖啡店
