
[00:00:00.000 --> 00:00:03.360]  七月對我來說是一個很特別的日子
[00:00:03.360 --> 00:00:09.440]  因為七月十六日是我踏入冥恩堂的第一天
[00:00:09.440 --> 00:00:13.480]  今年的七月十六日就是我在冥恩堂侍奉的二十九年
[00:00:13.480 --> 00:00:16.680]  由四個人開始到今天
[00:00:16.680 --> 00:00:18.480]  我看到神很多的祝福
[00:00:18.480 --> 00:00:22.600]  但還有一次很特別的就是今年的七月
[00:00:22.600 --> 00:00:26.720]  是我們冥恩堂建立第六間的教會
[00:00:26.720 --> 00:00:33.720]  我們在七月開始建立了一間叫基督教冥恩堂示名教會
[00:00:33.720 --> 00:00:38.040]  這間堂跟我們過去那五間的教會有很大的分別
[00:00:38.040 --> 00:00:42.120]  過去那五間教會都是由我們零開始
[00:00:42.120 --> 00:00:46.000]  但今次示名教會有少許的特別
[00:00:46.000 --> 00:00:48.320]  就是原本這裡已經有一間教會
[00:00:48.320 --> 00:00:51.320]  是在新豐花園的旁邊
[00:00:51.320 --> 00:00:54.200]  我們已經運作了十多年
[00:00:54.200 --> 00:00:57.800]  但都好像沒有什麼很大的進展
[00:00:57.800 --> 00:01:01.840]  他們很掙扎究竟是結束了還是怎樣呢?
[00:01:01.840 --> 00:01:06.240]  當他們一些的開辦人來祈禱的時候
[00:01:06.240 --> 00:01:07.920]  他就想起了我
[00:01:07.920 --> 00:01:09.840]  但其實我們大家沒有見過面
[00:01:09.840 --> 00:01:11.320]  我更加不認識他
[00:01:11.320 --> 00:01:14.800]  於是透過第三者來約見我
[00:01:14.800 --> 00:01:18.840]  他說如果牧師我們將這間教會交給你們基督教冥恩堂
[00:01:18.840 --> 00:01:24.520]  來帶去牧養你會怎樣看呢?
[00:01:24.520 --> 00:01:28.720]  這個絕對不是一個唯一的例證
[00:01:28.720 --> 00:01:30.720]  在香港的教會歷史裡面
[00:01:30.720 --> 00:01:33.360]  有很多的教會特別是一些獨立的教會
[00:01:33.360 --> 00:01:35.600]  當可能創辦人快要離世的話
[00:01:35.600 --> 00:01:37.120]  他們還沒有離世
[00:01:37.120 --> 00:01:39.120]  他們的時候可能就不知道怎麼辦了
[00:01:39.120 --> 00:01:41.000]  可能就會將這間教會
[00:01:41.000 --> 00:01:44.000]  來帶去歸附在一個宗派裡面
[00:01:44.000 --> 00:01:46.000]  或許是宣道會或許是浸信會
[00:01:46.000 --> 00:01:49.000]  成為他們閣下的教會,於是可以來照顧他們
[00:01:49.000 --> 00:01:52.400]  甚至我見過有教會是超宗派的
[00:01:52.400 --> 00:01:55.800]  大家如果去過旺角朗豪坊那條街
[00:01:55.800 --> 00:01:58.400]  在滙豐銀行對落那裡
[00:01:58.400 --> 00:02:01.240]  你見到有一間教會現在叫做宣道會
[00:02:01.240 --> 00:02:02.440]  我不知道叫什麼堂
[00:02:02.440 --> 00:02:03.960]  你會看到招牌在那裡
[00:02:03.960 --> 00:02:05.960]  但以前是五旬節會
[00:02:05.960 --> 00:02:07.560]  我不知道為什麼會有五旬節會
[00:02:07.560 --> 00:02:11.600]  後來轉了由宣道會來帶去牧養
[00:02:11.600 --> 00:02:15.960]  但無論如何我覺得神有祂自己奇妙的帶領
[00:02:15.960 --> 00:02:17.960]  但是我們開始這間教會的時候
[00:02:17.960 --> 00:02:19.760]  我們怎樣去面對呢?
[00:02:19.760 --> 00:02:23.560]  我今天會跟大家透過《事司紀》第一章
[00:02:23.560 --> 00:02:25.760]  來帶大家看聖經裡面怎樣教導我們
[00:02:25.760 --> 00:02:28.560]  怎樣去面對這間新的教會
[00:02:28.560 --> 00:02:32.960]  互相輔助迎挑戰
[00:02:32.960 --> 00:02:35.960]  如果我們一開始看《事司紀》第一章的時候
[00:02:35.960 --> 00:02:39.160]  就發覺到大象離去
[00:02:39.160 --> 00:02:40.560]  為什麼呢?
[00:02:40.560 --> 00:02:43.960]  以色列當時有兩個很突出的領袖
[00:02:43.960 --> 00:02:45.760]  第一個就是摩西
[00:02:45.760 --> 00:02:48.960]  摩西挑戰當時的法老
[00:02:48.960 --> 00:02:52.560]  要求他讓他自己的子民離開,是不是?
[00:02:52.560 --> 00:02:55.360]  但是終於摩西帶領了以色列人
[00:02:55.360 --> 00:02:57.760]  離開埃及圍爐之地
[00:02:57.760 --> 00:02:59.760]  在曠野漂流了四十年
[00:02:59.760 --> 00:03:01.560]  後來摩西離世的時候
[00:03:01.560 --> 00:03:04.160]  另一個接班人就是約書亞
