
[00:00:00.000 --> 00:00:04.000]  剛才主席跟我們讀了啟示錄第七章九到十二節
[00:00:04.000 --> 00:00:10.000]  這個是約翰看見一個天上的異象
[00:00:10.000 --> 00:00:14.000]  這裡裡面看到很多很多的人
[00:00:14.000 --> 00:00:18.000]  來自各族各邦各個民族各個支派
[00:00:18.000 --> 00:00:23.000]  來到寶座高揚的面前去頌讚他
[00:00:23.000 --> 00:00:27.000]  你看到這個是一個萬民的敬拜
[00:00:27.000 --> 00:00:30.000]  是一個在天上的敬拜
[00:00:30.000 --> 00:00:36.000]  當時約翰從耶穌基督所領受的異象
[00:00:36.000 --> 00:00:39.000]  這個可以說是一個終極的異象
[00:00:39.000 --> 00:00:43.000]  因為去到這個永恆的國度裡面
[00:00:43.000 --> 00:00:49.000]  都是看到所有屬於主的子民
[00:00:49.000 --> 00:00:51.000]  屬於上帝的子民
[00:00:51.000 --> 00:01:00.000]  都要來到這個寶座上向被殺的高揚去敬拜去侍奉
[00:01:00.000 --> 00:01:06.000]  這個是我們今天一個終極的異象
[00:01:06.000 --> 00:01:11.000]  所以今天當我們能夠聚集在這裡去敬拜神的時候
[00:01:11.000 --> 00:01:17.000]  我要向大家去傳遞這個來自神的異象
[00:01:17.000 --> 00:01:21.000]  這個不是一個個人的雄心壯志
[00:01:21.000 --> 00:01:25.000]  而是神在今天在尖沙咀浸信會裡面
[00:01:25.000 --> 00:01:28.000]  要我們走向復興之路的時候
[00:01:28.000 --> 00:01:31.000]  是要給我們一個異象
[00:01:31.000 --> 00:01:34.000]  這個異象是一個寶座前的異象
[00:01:34.000 --> 00:01:37.000]  所以我們領受要宣告
[00:01:37.000 --> 00:01:43.000]  神要在尖沙咀浸信會成為唯一的救主
[00:01:43.000 --> 00:01:48.000]  唯有基督是尖沙咀浸信會的主
[00:01:48.000 --> 00:01:56.000]  所以當我們以神為主權作為根基的時候
[00:01:56.000 --> 00:02:01.000]  神要藉著我們繼續在主題工作裡面
[00:02:01.000 --> 00:02:04.000]  主題是「牧養、結連、傳承、復興」
[00:02:04.000 --> 00:02:06.000]  向一個方向
[00:02:06.000 --> 00:02:12.000]  我們要繼續讓尖沙咀浸信會走向一條復興的道路
[00:02:12.000 --> 00:02:15.000]  也是一條海船的道路
[00:02:15.000 --> 00:02:19.000]  究竟教會有沒有異象呢?
[00:02:19.000 --> 00:02:24.000]  我們有聽過有多少個異象在教會裡面
[00:02:24.000 --> 00:02:26.000]  但是今天無論如何
[00:02:26.000 --> 00:02:30.000]  我們就用一個終極的異象
[00:02:30.000 --> 00:02:35.000]  要成為我們在這段期間裡面
[00:02:35.000 --> 00:02:39.000]  在神面前所尋求成為我們的異象
[00:02:39.000 --> 00:02:46.000]  今天的題目是「擴張疆界、萬民敬拜」
[00:02:46.000 --> 00:02:47.000]  分開三方面
[00:02:47.000 --> 00:02:51.000]  第一方面是擴張疆界、服侍列國
[00:02:51.000 --> 00:02:55.000]  第二是以敬拜為末世的戰爭
[00:02:55.000 --> 00:02:59.000]  第三是社區的轉化
[00:02:59.000 --> 00:03:02.000]  回看這段經文的背景
[00:03:02.000 --> 00:03:10.000]  在地上來說,當時是基督徒正受到羅馬帝國
[00:03:10.000 --> 00:03:17.000]  一個推行皇帝崇拜的做法
[00:03:17.000 --> 00:03:21.000]  以致帶來當時教會很大的逼迫
[00:03:21.000 --> 00:03:23.000]  很大的困難
[00:03:23.000 --> 00:03:28.000]  當然當一個皇帝集中權力在自己一身的時候
[00:03:28.000 --> 00:03:33.000]  對於國家的政治、對於國家的經濟都有所影響
[00:03:33.000 --> 00:03:39.000]  而耶穌基督的門徒約翰
[00:03:39.000 --> 00:03:44.000]  他在被軟禁、被摸到的時候
[00:03:44.000 --> 00:03:48.000]  見到耶穌給他的異象
[00:03:48.000 --> 00:03:54.000]  他在這個動盪、在這個災難當中
[00:03:54.000 --> 00:03:59.000]  他會看到主耶穌基督的異象
[00:03:59.000 --> 00:04:02.000]  特別在這段經文第七章九到十二節
[00:04:02.000 --> 00:04:10.000]  是當時他會看到有一個書卷
[00:04:10.000 --> 00:04:14.000]  有七個印封了,要打開
