
[00:00:00.000 --> 00:00:04.840]  今天不單止是雙十一
[00:00:04.840 --> 00:00:09.040]  很多淘寶、婚姻等等很熱鬧的事
[00:00:09.040 --> 00:00:13.240]  這也是其中一個國際推動的日子
[00:00:13.240 --> 00:00:17.280]  叫做全球為受逼迫基督徒禱告日
[00:00:17.280 --> 00:00:22.200]  今天11月11日是International Day of Prayer
[00:00:22.200 --> 00:00:25.480]  就是一個為全球很多基督徒受到逼迫的日子
[00:00:25.480 --> 00:00:28.120]  有幾項跟大家分享一下
[00:00:28.120 --> 00:00:31.760]  大家記不記得尼日利亞
[00:00:31.760 --> 00:00:33.440]  有沒有寫錯?尼日利亞
[00:00:33.440 --> 00:00:39.560]  博科聖地一個回教極端組織在四年前擄走了270個
[00:00:39.560 --> 00:00:42.640]  大部分都是基督徒的女學生
[00:00:42.640 --> 00:00:45.120]  大概是很年輕的學生
[00:00:45.120 --> 00:00:48.040]  逐漸被放了
[00:00:48.040 --> 00:00:50.720]  但還有大約100個都下落不明
[00:00:50.720 --> 00:00:53.760]  被捉了包括了逼婚
[00:00:53.760 --> 00:00:58.120]  或者是一些強暴逼信穆斯林
[00:00:58.120 --> 00:00:59.720]  伊斯蘭這個宗教
[00:00:59.720 --> 00:01:02.960]  四年前到現在還有100個都是下落不明
[00:01:02.960 --> 00:01:05.000]  其實這是一個逼迫
[00:01:05.000 --> 00:01:07.880]  他們覺得我在教會那班人講過
[00:01:07.880 --> 00:01:11.320]  有些穆斯林相信是為了幫助這些人
[00:01:11.320 --> 00:01:13.560]  去認識真神所以擄走了他
[00:01:13.560 --> 00:01:15.040]  他們的想法是這樣
[00:01:15.040 --> 00:01:16.120]  可以是這樣
[00:01:16.120 --> 00:01:22.680]  所以我們可以為這個世界面對很多很大的張力
[00:01:22.680 --> 00:01:24.480]  看新聞的父母
[00:01:24.480 --> 00:01:27.000]  幾年以來根本頂不住
[00:01:27.000 --> 00:01:30.520]  女兒很年輕很有前途
[00:01:30.520 --> 00:01:32.080]  但被人捉了幾年
[00:01:32.080 --> 00:01:35.320]  可以很難想像的事情都會發生了
[00:01:35.320 --> 00:01:36.400]  但現在還下落不明
[00:01:36.400 --> 00:01:38.080]  還有100個多一點
[00:01:38.080 --> 00:01:41.840]  為了尼日利亞的情況禱告
[00:01:41.840 --> 00:01:43.840]  第二不知道大家有沒有印象
[00:01:43.840 --> 00:01:44.640]  耶加達
[00:01:44.640 --> 00:01:49.840]  印尼耶加達有一個中萬學的人
[00:01:49.840 --> 00:01:51.400]  一個弟兄叫基督徒
[00:01:51.400 --> 00:01:55.920]  在去年當他選舉特區首長的時候失敗了
[00:01:55.920 --> 00:01:59.960]  因為他在當中引用了古蘭經一段經文
[00:01:59.960 --> 00:02:04.720]  去講到應該基督徒都可以有權去被選的
[00:02:04.720 --> 00:02:06.520]  應該都是可以直接接受的
[00:02:06.520 --> 00:02:07.320]  諸如此類
[00:02:07.320 --> 00:02:12.760]  就告他褻瀆了伊斯蘭
[00:02:12.760 --> 00:02:16.240]  判他兩年的有期徒刑
[00:02:16.240 --> 00:02:18.360]  原本他是一個很出色的市長
[00:02:18.360 --> 00:02:19.160]  大家知道是不是
[00:02:19.160 --> 00:02:20.080]  有些印象是不是
[00:02:20.080 --> 00:02:23.080]  就是他推行的政策很幫到國家
[00:02:23.080 --> 00:02:24.840]  但因為他引用了一段經文
[00:02:24.840 --> 00:02:26.160]  古蘭經的經文
[00:02:26.160 --> 00:02:27.920]  所以被人捉了去坐牢
[00:02:27.920 --> 00:02:30.120]  不單止失去了競選
[00:02:30.120 --> 00:02:31.720]  所以這個都是一個
[00:02:31.720 --> 00:02:33.560]  都是一個逼迫我們這樣講
[00:02:33.560 --> 00:02:35.360]  或者是多過他
[00:02:35.360 --> 00:02:37.840]  不過他是一個高一點的政治人物
[00:02:37.840 --> 00:02:40.840]  但是在世界各地
[00:02:40.840 --> 00:02:44.160]  今天的程序表我都登了一個巴基斯坦的
[00:02:44.160 --> 00:02:46.240]  叫比比的婦女
[00:02:46.240 --> 00:02:51.360]  她就是因為當時八年前她在工作裡面
[00:02:51.360 --> 00:02:52.720]  她拿著一杯水喝
[00:02:52.720 --> 00:02:54.680]  然後另一個穆斯林接了一杯水
[00:02:54.680 --> 00:02:57.080]  就說她有些爭執
[00:02:57.080 --> 00:02:59.760]  然後要她去信回教
[00:02:59.760 --> 00:03:00.720]  信伊斯蘭
[00:03:00.720 --> 00:03:01.640]  她說不信
[00:03:01.640 --> 00:03:03.360]  有些對話裡面
[00:03:03.360 --> 00:03:06.480]  因而都是告她褻瀆
[00:03:06.480 --> 00:03:08.680]  這個宗教判她死刑
[00:03:08.680 --> 00:03:10.360]  因為一杯水的爭執
[00:03:10.360 --> 00:03:11.160]  判她死刑
[00:03:11.160 --> 00:03:13.520]  監禁了八年
[00:03:13.520 --> 00:03:14.320]  上個星期
[00:03:14.320 --> 00:03:16.800]  前一兩個星期判她無罪
