
[00:00:00.000 --> 00:00:03.000]  開啟正道的慈愛同心來祈禱
[00:00:03.000 --> 00:00:09.000]  神的獨生子,耶穌基督,求祢施恩可憐這個罪人
[00:00:09.000 --> 00:00:13.000]  願意在主祢面前示立宣講主的恩怨
[00:00:13.000 --> 00:00:18.000]  讓主耶穌基督的寶血再一次洗整這個不配的人的罪
[00:00:18.000 --> 00:00:22.000]  讓孩子能夠成為神話語的出口
[00:00:22.000 --> 00:00:24.000]  能夠將主的恩怨解明
[00:00:24.000 --> 00:00:27.000]  以真理聖靈開啟我們心竅
[00:00:27.000 --> 00:00:30.000]  帶領我們進入真理
[00:00:30.000 --> 00:00:32.000]  我們恭敬獻上祈禱
[00:00:32.000 --> 00:00:36.000]  乃奉主耶穌基督聖名祈禱
[00:00:36.000 --> 00:00:37.000]  對
[00:00:37.000 --> 00:00:41.000]  今天講到的題目是走出成長的陰霾
[00:00:41.000 --> 00:00:43.000]  分兩個重點
[00:00:43.000 --> 00:00:46.000]  第一,不要為生命設限
[00:00:46.000 --> 00:00:51.000]  第二,也不要將神來到去設限
[00:00:53.000 --> 00:00:58.000]  昨天晚上,今天來到了山峰下雨
[00:00:58.000 --> 00:01:01.000]  大家的身體有沒有痛錯呢?
[00:01:01.000 --> 00:01:03.000]  你們都笑一笑
[00:01:03.000 --> 00:01:05.000]  我們去講
[00:01:05.000 --> 00:01:09.000]  我們生命都遇到一些傷患
[00:01:09.000 --> 00:01:12.000]  可能曾經跌倒過,扭傷
[00:01:12.000 --> 00:01:15.000]  或者撞過,發瘀
[00:01:15.000 --> 00:01:18.000]  表面的傷痕已經消失了
[00:01:18.000 --> 00:01:21.000]  可能撞完之後,我脫下了
[00:01:21.000 --> 00:01:23.000]  你會發覺好像沒什麼痛
[00:01:23.000 --> 00:01:25.000]  但是一個不小心
[00:01:25.000 --> 00:01:27.000]  你會發覺怎麼樣?
[00:01:27.000 --> 00:01:31.000]  我的痠軟其實還未痊癒
[00:01:31.000 --> 00:01:33.000]  這叫做內傷
[00:01:33.000 --> 00:01:37.000]  我們生命遇到一些困難和挑戰
[00:01:37.000 --> 00:01:39.000]  在我們過往經歷裡面
[00:01:39.000 --> 00:01:42.000]  這些都成為我們的枷鎖
[00:01:42.000 --> 00:01:44.000]  可能時間已經過去了
[00:01:44.000 --> 00:01:47.000]  人是物非
[00:01:47.000 --> 00:01:51.000]  但是我們仍然定住在那個時刻
[00:01:51.000 --> 00:01:53.000]  仍然在傷患的裡面
