
[00:00:00.000 --> 00:00:02.000]  敬請主持人早安
[00:00:02.000 --> 00:00:08.000]  今天是港九培靈研究大會的第九天
[00:00:08.000 --> 00:00:17.000]  感謝神,我們每一天都能夠研讀神的話語
[00:00:17.000 --> 00:00:21.000]  是神給我們很大的福氣
[00:00:21.000 --> 00:00:27.000]  十幾年前,我有一次在馬來西亞講道
[00:00:27.000 --> 00:00:32.000]  準確來講是吉隆坡那個地方
[00:00:32.000 --> 00:00:36.000]  因為那天教會我不太認識
[00:00:36.000 --> 00:00:42.000]  牧師寫信給我說,你可不可以來我們教會講道
[00:00:42.000 --> 00:00:46.000]  題目很特別,就是做基督的門徒
[00:00:46.000 --> 00:00:53.000]  牧師很想我鼓勵教會的年輕人,做基督的門徒
[00:00:53.000 --> 00:00:58.000]  牧師很想我鼓勵年輕人,做基督的門徒
[00:00:58.000 --> 00:01:02.000]  他說我教會特別多年輕人,你鼓勵他們
[00:01:02.000 --> 00:01:07.000]  這個教會我不熟悉,所以我怕找不到地方,我早了四十五分鐘去
[00:01:07.000 --> 00:01:12.000]  那個教會我不熟悉,我就找了一些時間去,找四十五分鐘到
[00:01:12.000 --> 00:01:16.000]  主任牧師站在門口,歡迎我
[00:01:16.000 --> 00:01:20.000]  他歡迎我說,你是不是第一次來
[00:01:20.000 --> 00:01:23.000]  我說是,我第一次來
[00:01:23.000 --> 00:01:25.000]  是誰推薦你來
[00:01:25.000 --> 00:01:27.000]  是誰推薦你來
[00:01:27.000 --> 00:01:30.000]  我說是你推薦我來
[00:01:30.000 --> 00:01:33.000]  我說為什麼你說我推薦你
[00:01:33.000 --> 00:01:35.000]  你為什麼說你推薦我呢
[00:01:35.000 --> 00:01:37.000]  我說你請我來講道
[00:01:37.000 --> 00:01:39.000]  我說今天早上是你請我來講道
[00:01:39.000 --> 00:01:42.000]  我把信給他看,這個不是你簽名,是你寫給我的
[00:01:42.000 --> 00:01:46.000]  他說我的信,這信是你寄來的
[00:01:46.000 --> 00:01:52.000]  他突然間有些惡言停了一會,停了一會不知道怎麼說
[00:01:52.000 --> 00:01:54.000]  然後不知道要怎麼說
[00:01:54.000 --> 00:01:57.000]  然後講了一句話很特別
[00:01:57.000 --> 00:02:00.000]  我以為講完比較,原來停了一會
[00:02:00.000 --> 00:02:04.000]  他說我以為講完,然後停了一會
[00:02:04.000 --> 00:02:06.000]  他說比較年長一點
[00:02:06.000 --> 00:02:08.000]  是比較年長一點的
[00:02:08.000 --> 00:02:12.000]  我想他心裡面說的話,我猜他心裡面想說的話
[00:02:12.000 --> 00:02:14.000]  我猜他心裡面的話是
[00:02:14.000 --> 00:02:17.000]  我請他講完,我覺得他的樣子可能成熟一點
[00:02:17.000 --> 00:02:21.000]  可能我請他講完的樣子是比較成熟一些
[00:02:21.000 --> 00:02:23.000]  在他的印象裡面,我太年輕的樣子
[00:02:23.000 --> 00:02:26.000]  對,在他的印象裡面,我的樣子是太年輕了
[00:02:26.000 --> 00:02:30.000]  我想請一個很成熟的講完,去挑戰年輕人
[00:02:30.000 --> 00:02:32.000]  去跟從主,做主的門徒
[00:02:32.000 --> 00:02:35.000]  他的印象是應該有一個很成熟的傳達人
[00:02:35.000 --> 00:02:37.000]  來挑戰年輕的人,跟隨耶穌基督
[00:02:37.000 --> 00:02:41.000]  我聽完之後,我不知道是開心還是不開心
[00:02:41.000 --> 00:02:43.000]  因為他覺得我太不成熟的樣子
[00:02:43.000 --> 00:02:47.000]  我聽完之後,我不知道是開心還是不開心
[00:02:47.000 --> 00:02:49.000]  因為他覺得我太不成熟的樣子
[00:02:49.000 --> 00:02:52.000]  當然那天我照樣說,經常給我說話
[00:02:52.000 --> 00:02:55.000]  當然我那天照講神的話語,我宣講
[00:02:55.000 --> 00:02:57.000]  他還請我吃飯,很開心
[00:02:57.000 --> 00:02:59.000]  他還請我吃飯,很開心
[00:02:59.000 --> 00:03:02.000]  馬來西亞特別的咖哩魚頭
[00:03:02.000 --> 00:03:05.000]  吃馬來西亞特別的咖哩魚頭
