
[00:00:00.000 --> 00:00:03.120]  大約半年前,我還在美國的時候
[00:00:03.120 --> 00:00:07.100]  有一間教會的牧師彈了電郵給我
[00:00:07.100 --> 00:00:09.960]  他問我可不可以為我們教會祈禱
[00:00:09.960 --> 00:00:13.020]  因為有異端入侵
[00:00:13.020 --> 00:00:17.220]  現在教會很亂,亂到主日崇拜都要取消
[00:00:17.220 --> 00:00:21.580]  我們主日崇拜,你的信息是講什麼的
[00:00:21.580 --> 00:00:23.200]  是不是講真理
[00:00:23.200 --> 00:00:25.820]  他說崇拜就是敬拜
[00:00:25.820 --> 00:00:27.740]  我們主要是唱詩
[00:00:27.800 --> 00:00:30.040]  講道德十分鐘而已
[00:00:30.040 --> 00:00:34.200]  我說很多基督徒在家裡不看聖經
[00:00:34.200 --> 00:00:36.440]  他想看都不明白
[00:00:36.440 --> 00:00:39.600]  他等一個星期就是等主日崇拜
[00:00:39.600 --> 00:00:42.000]  牧師的串聯跟他說真理
[00:00:42.000 --> 00:00:44.680]  他說沒有
[00:00:44.680 --> 00:00:48.560]  我說我全世界到處走,我發現很多教會不講罪
[00:00:48.560 --> 00:00:51.940]  他可以講福音主日不講罪
[00:00:51.940 --> 00:00:55.980]  怎樣拿救恩不講罪,不講補血,不講十字架
[00:00:55.980 --> 00:00:59.060]  沒錯,復活節時間就講十字架
[00:00:59.060 --> 00:01:01.420]  講流補血
[00:01:01.420 --> 00:01:04.000]  但平時不講的,因為這個緣故
[00:01:04.000 --> 00:01:06.460]  我就寫了耶穌是誰
[00:01:06.460 --> 00:01:08.200]  一共有二十集
[00:01:08.200 --> 00:01:10.380]  就講耶穌是誰
[00:01:10.380 --> 00:01:15.500]  第一集是道路真理生命
[00:01:15.500 --> 00:01:17.140]  去年的十月
[00:01:17.140 --> 00:01:18.720]  我在美國回來香港的時候
[00:01:18.720 --> 00:01:20.880]  在你們教會禮拜六崇拜講了
[00:01:20.880 --> 00:01:23.880]  昨天星期六崇拜講第二集
[00:01:23.880 --> 00:01:25.920]  耶穌是誰,祂是神的羔羊
[00:01:26.120 --> 00:01:28.160]  我今天跟你講第五集
[00:01:28.160 --> 00:01:30.600]  因為我發現很多人不知道什麼叫基督
[00:01:30.600 --> 00:01:33.160]  祂是基督教的人,祂是基督徒
[00:01:33.160 --> 00:01:37.000]  但你問祂什麼叫基督,十個有九個半是答不出來的
[00:01:37.000 --> 00:01:38.760]  有些美國人更天真
[00:01:38.760 --> 00:01:41.760]  耶穌的名字就是基督,Jesus Christ
[00:01:41.760 --> 00:01:43.080]  That's His Name
[00:01:43.080 --> 00:01:49.660]  我們有時候講話真的不知道,對聖經不熟
[00:01:49.660 --> 00:01:53.600]  有些人跟我說,我有個朋友在新加坡過來香港
[00:01:53.600 --> 00:01:55.400]  我這個星期日帶他去教會
[00:01:55.800 --> 00:01:57.480]  我說你講的說話講錯了
[00:01:57.480 --> 00:01:59.720]  你不是帶他來教會
[00:01:59.720 --> 00:02:04.200]  你帶他來遠東金融中心這個禮拜堂
[00:02:04.200 --> 00:02:06.640]  你帶他去禮拜堂,不是帶他去教會
[00:02:06.640 --> 00:02:08.160]  那什麼叫教會,他講不出來
[00:02:08.160 --> 00:02:11.600]  教會不是一個地方
[00:02:11.600 --> 00:02:13.680]  教會是人
[00:02:13.680 --> 00:02:17.880]  在人類的歷史裡面,很多人得救
[00:02:17.880 --> 00:02:19.240]  那些叫聖徒
[00:02:19.240 --> 00:02:24.120]  比如羅亞、阿伯拉罕、大衛、眾仙之、舊約仙之
[00:02:24.120 --> 00:02:25.200]  他們得救
[00:02:25.840 --> 00:02:27.960]  他們叫做舊約聖徒
[00:02:27.960 --> 00:02:32.040]  神跟幾個屬靈的偉人納約
[00:02:32.040 --> 00:02:36.320]  跟阿伯拉罕納約、跟羅亞納約、跟約瑟納約、跟大衛納約
[00:02:36.320 --> 00:02:37.640]  這些叫做舊約
[00:02:37.640 --> 00:02:39.840]  有些人新舊約分不開的
[00:02:39.840 --> 00:02:42.200]  舊約不是聖經頭幾本書的舊約
[00:02:42.200 --> 00:02:43.680]  三九、耶七
[00:02:43.680 --> 00:02:46.480]  三十九本書是舊約,耶七本是新約
[00:02:46.480 --> 00:02:48.480]  那什麼叫新約,他不懂得講
[00:02:48.480 --> 00:02:51.360]  耶穌道成若新來這個世界之後
[00:02:53.680 --> 00:02:56.440]  新約耶穌來了這個世界
[00:02:56.440 --> 00:02:58.120]  有兩件事要告訴我們
[00:02:58.120 --> 00:03:00.240]  在聖經裡面講得很清楚
[00:03:00.240 --> 00:03:04.040]  第一,你們所信的神是三位一體
[00:03:04.040 --> 00:03:07.000]  剛才讀聖經也有讀過
[00:03:07.000 --> 00:03:09.320]  創世紀第一章最後一句
[00:03:09.320 --> 00:03:12.440]  讓我們按著我們的形象做人
[00:03:12.440 --> 00:03:14.360]  猶太人拗了頭
[00:03:14.360 --> 00:03:16.560]  除了我以外不可有別的神
[00:03:16.560 --> 00:03:17.720]  有多少個神?一個神
[00:03:17.720 --> 00:03:19.080]  應該用眾數的
[00:03:19.080 --> 00:03:21.000]  用我們,按著我們的形象
[00:03:21.000 --> 00:03:23.560]  Let us create man according to our image
[00:03:24.200 --> 00:03:25.200]  不知道為什麼
