
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,願你們平安
[00:00:03.000 --> 00:00:08.000]  大家最近的生活如何?心情又如何?
[00:00:08.000 --> 00:00:14.000]  正如剛才李牧師所說,當我們收到一個剛剛的訊息
[00:00:14.000 --> 00:00:16.000]  我自己的心情都一般般
[00:00:16.000 --> 00:00:22.000]  不過可能有些人只是很開心地期待聖誕節的來臨
[00:00:22.000 --> 00:00:28.000]  但亦可能有些人會心裏擔心,甚至不安
[00:00:28.000 --> 00:00:32.000]  因為都不知道這個疫情是否會持續下去
[00:00:32.000 --> 00:00:36.000]  以致可能今年都沒有了聖誕節
[00:00:36.000 --> 00:00:39.000]  在這個年尾,聖誕節的月份
[00:00:39.000 --> 00:00:44.000]  我很想和大家分享這個大家都很熟悉的故事
[00:00:44.000 --> 00:00:48.000]  我期望當大家肯留心去聽的話
[00:00:48.000 --> 00:00:55.000]  你仍然可以藉著今天這個故事,今天的訊息被提醒
[00:00:55.000 --> 00:00:58.000]  生命可以得到造就
[00:00:58.000 --> 00:01:02.000]  讓我們先來到仰望主,一起來祈禱
[00:01:02.000 --> 00:01:09.000]  讓我們低頭,我們同心地來預備我們的心
[00:01:09.000 --> 00:01:12.000]  來領受上主的恩怨,我們祈禱
[00:01:12.000 --> 00:01:17.000]  親愛的上主,我們來到祢的庚前,我們要多謝祢
[00:01:17.000 --> 00:01:20.000]  多謝祢賜下祢寶貴的說話
[00:01:20.000 --> 00:01:24.000]  讓我們的生命可以因著祢的啟示
[00:01:24.000 --> 00:01:26.000]  生命能夠得到轉化
[00:01:26.000 --> 00:01:29.000]  求祢與我們同在
[00:01:29.000 --> 00:01:32.000]  祝福我們以下下來的時間
[00:01:32.000 --> 00:01:36.000]  讓我們有受教的心,有聆聽的耳朵
[00:01:36.000 --> 00:01:40.000]  以致我們能夠聽得明祢的教導
[00:01:40.000 --> 00:01:46.000]  也讓祢的聖經的說話改變我們的生命
[00:01:46.000 --> 00:01:51.000]  讓聽的、說的都能夠同得益處
[00:01:51.000 --> 00:01:55.000]  祈禱、交託是奉靠主耶穌基督
[00:01:55.000 --> 00:01:59.000]  寶貴的聖名來祈求,阿門
[00:01:59.000 --> 00:02:02.000]  我今天要講的是新生王的來臨
[00:02:02.000 --> 00:02:04.000]  經文剛才已經讀了
[00:02:04.000 --> 00:02:08.000]  《馬太福音》二章一至十二節
[00:02:08.000 --> 00:02:13.000]  今天這個訊息其實是有關張臨奇的
[00:02:13.000 --> 00:02:17.000]  不知道大家對張臨奇有多少的認識呢
[00:02:17.000 --> 00:02:20.000]  如果你說其實我也不太知道
[00:02:20.000 --> 00:02:22.000]  其實也不奇怪
[00:02:22.000 --> 00:02:26.000]  因為我們窩福堂不是一間禮儀的教會
[00:02:26.000 --> 00:02:30.000]  所以不認識絕對不奇怪
[00:02:30.000 --> 00:02:35.000]  不過說回張臨奇究竟是一個怎樣的節日呢
[00:02:35.000 --> 00:02:38.000]  裡面又有什麼意思呢
[00:02:38.000 --> 00:02:44.000]  張臨奇其實是聖誕節前四個主日
[00:02:44.000 --> 00:02:51.000]  換句話說就是在四個主日這段時間
[00:02:51.000 --> 00:02:53.000]  在這段時間裡面
[00:02:53.000 --> 00:02:58.000]  信徒會藉著張臨奇準備自己的心靈
