
[00:00:00.000 --> 00:00:03.000]  各位電影師傅平安
[00:00:03.000 --> 00:00:07.000]  你有沒有彈藥?
[00:00:07.000 --> 00:00:09.000]  沒錯,聖經裡面說
[00:00:09.000 --> 00:00:12.000]  聖靈的寶劍就是神的說話
[00:00:12.000 --> 00:00:13.000]  神用祂的說話
[00:00:13.000 --> 00:00:16.000]  在你心中賜給你的說話
[00:00:16.000 --> 00:00:19.000]  成為勝過很多的惡勢力
[00:00:19.000 --> 00:00:22.000]  勝過邪惡的一種最重要的一種武器
[00:00:22.000 --> 00:00:26.000]  所以彈藥這個字也用得很對
[00:00:26.000 --> 00:00:27.000]  但是今天我們一起
[00:00:27.000 --> 00:00:28.000]  有一個靈修主日
[00:00:28.000 --> 00:00:30.000]  我們也感謝神回到教會裡面
[00:00:30.000 --> 00:00:31.000]  一起來崇拜
[00:00:31.000 --> 00:00:33.000]  今天天氣比較冷
[00:00:33.000 --> 00:00:36.000]  但是你們不是最艱難的一個崇拜
[00:00:36.000 --> 00:00:38.000]  今天早上八點鐘的崇拜
[00:00:38.000 --> 00:00:39.000]  很多電影師傅回來
[00:00:39.000 --> 00:00:43.000]  而且有人帶了三個新來賓回來
[00:00:43.000 --> 00:00:44.000]  他們也不怕寒冷
[00:00:44.000 --> 00:00:46.000]  一起回來敬拜上帝
[00:00:46.000 --> 00:00:48.000]  所以今天是2012年
[00:00:48.000 --> 00:00:50.000]  最後一個的主日
[00:00:50.000 --> 00:00:52.000]  我們也很感謝神
[00:00:52.000 --> 00:00:53.000]  就是歲首到年終
[00:00:53.000 --> 00:00:55.000]  祂恩待我們
[00:00:55.000 --> 00:00:56.000]  能夠有健康
[00:00:56.000 --> 00:00:58.000]  又健康可以回到崇拜
[00:00:58.000 --> 00:01:00.000]  的確是神的恩典
[00:01:00.000 --> 00:01:01.000]  所以說到之前
[00:01:01.000 --> 00:01:03.000]  我想你和你旁邊的弟兄姊妹說一聲
[00:01:03.000 --> 00:01:04.000]  感謝神
[00:01:04.000 --> 00:01:06.000]  我又回到你崇拜了
[00:01:06.000 --> 00:01:15.000]  感謝神
[00:01:15.000 --> 00:01:16.000]  我們和弟兄姊妹一起
[00:01:16.000 --> 00:01:18.000]  可以同心敬拜一位
[00:01:18.000 --> 00:01:21.000]  值得我們尊崇敬拜的上帝
[00:01:21.000 --> 00:01:22.000]  大家再一起祈禱
[00:01:22.000 --> 00:01:24.000]  我們將時間再交給主
[00:01:27.000 --> 00:01:29.000]  天父我們同心感恩
[00:01:29.000 --> 00:01:33.000]  因為我們可以認識祢
[00:01:33.000 --> 00:01:35.000]  主我們知道
[00:01:35.000 --> 00:01:37.000]  不是我們尋找祢
[00:01:37.000 --> 00:01:39.000]  是祢尋找我們
[00:01:39.000 --> 00:01:42.000]  讓我們今天能夠被稱為祢的兒女
[00:01:42.000 --> 00:01:47.000]  主或者我們沒有很多的資歷
[00:01:47.000 --> 00:01:49.000]  很多的財富
[00:01:49.000 --> 00:01:51.000]  但是主啊我們感謝祢
[00:01:51.000 --> 00:01:53.000]  因為我們有祢
[00:01:53.000 --> 00:01:55.000]  懇求親愛的主
[00:01:55.000 --> 00:01:57.000]  上上藉由祢的慈愛
[00:01:57.000 --> 00:01:58.000]  吸引我們的心
[00:01:58.000 --> 00:02:01.000]  叫我們快跑跟隨祢
[00:02:01.000 --> 00:02:03.000]  主啊不要讓其他的事情
[00:02:03.000 --> 00:02:04.000]  吸引我們
[00:02:04.000 --> 00:02:06.000]  過於你自己
[00:02:06.000 --> 00:02:09.000]  主啊願祢賜下祢的說話
[00:02:09.000 --> 00:02:12.000]  因為祢的說話是靈是生命
[00:02:12.000 --> 00:02:15.000]  叫我們得到真正的飽足
[00:02:15.000 --> 00:02:18.000]  主啊求祢在今天崇拜的時候
[00:02:18.000 --> 00:02:20.000]  再次賜下祢的恩賢
[00:02:20.000 --> 00:02:25.000]  又感動我們的心靈去尋找去得著
[00:02:25.000 --> 00:02:27.000]  以致我們能夠領受
[00:02:27.000 --> 00:02:30.000]  祢定義要給我們的豐富
[00:02:30.000 --> 00:02:31.000]  天父啊我們多謝祢
[00:02:31.000 --> 00:02:33.000]  讓我們一起能夠敬拜祢
[00:02:33.000 --> 00:02:35.000]  求祢一下子的時間
[00:02:35.000 --> 00:02:37.000]  除去一切的障礙
[00:02:37.000 --> 00:02:39.000]  讓我們在祢的恩典當中
[00:02:39.000 --> 00:02:41.000]  再次蒙恩領受
[00:02:41.000 --> 00:02:43.000]  我們祈禱奉耶穌基督
[00:02:43.000 --> 00:02:44.000]  聖名祈求
[00:02:44.000 --> 00:02:54.000]  大家揭開聖經亞摩試書聖經的第1370頁
[00:02:54.000 --> 00:03:03.000]  亞摩試書第八章剛才讀過的經文
[00:03:03.000 --> 00:03:04.000]  我們今天思想到
[00:03:04.000 --> 00:03:06.000]  當珍惜主的話
[00:03:06.000 --> 00:03:08.000]  同樣我就想起
[00:03:08.000 --> 00:03:12.000]  這段日子有很多關於末世的新聞
[00:03:12.000 --> 00:03:15.000]  大家過了12月21號之後
[00:03:15.000 --> 00:03:18.000]  起身的時候發覺我仍在
[00:03:18.000 --> 00:03:21.000]  心裏面都覺得很高興
[00:03:21.000 --> 00:03:25.000]  亦都證明這些傳言是謠傳
[00:03:25.000 --> 00:03:27.000]  當然很多人利用這些末世的恐慌
[00:03:27.000 --> 00:03:29.000]  來去謀取利益
[00:03:29.000 --> 00:03:31.000]  所以你聽到很多不同的消息
[00:03:31.000 --> 00:03:33.000]  就說還有三天的時間
[00:03:33.000 --> 00:03:37.000]  會全天地會黑漆一片
[00:03:37.000 --> 00:03:39.000]  在四川成都
[00:03:39.000 --> 00:03:41.000]  因為相信這個傳言
[00:03:41.000 --> 00:03:48.000]  因為全城的蠟燭和電筒都賣光了
[00:03:48.000 --> 00:03:51.000]  有人相信會是三天的黑漆
[00:03:51.000 --> 00:03:54.000]  所以他們很急速要去買電筒
[00:03:54.000 --> 00:03:56.000]  商人就賺很多錢
[00:03:56.000 --> 00:03:58.000]  當然都有一些異端
[00:03:58.000 --> 00:04:00.000]  利用這些謠傳
[00:04:00.000 --> 00:04:02.000]  來威嚇很多的教徒
[00:04:02.000 --> 00:04:03.000]  很多的人
[00:04:03.000 --> 00:04:06.000]  告訴他們知道末世來了
[00:04:06.000 --> 00:04:08.000]  因此用這個機會
[00:04:08.000 --> 00:04:11.000]  來去操控著人的心
[00:04:11.000 --> 00:04:12.000]  亦都趁這個機會
