
[00:00:00.000 --> 00:00:03.600]  今天我跟大家去看這段經文
[00:00:03.600 --> 00:00:05.100]  可能大家覺得很特別
[00:00:05.100 --> 00:00:07.200]  為什麼在一個這麼開心的日子
[00:00:07.200 --> 00:00:08.800]  56歲生日
[00:00:08.800 --> 00:00:10.200]  又是年廿八
[00:00:10.200 --> 00:00:11.600]  快要過年了
[00:00:11.600 --> 00:00:16.100]  但是我要跟大家說的是一個權力的鬥爭
[00:00:16.100 --> 00:00:18.600]  是一場權力的鬥爭
[00:00:18.600 --> 00:00:21.200]  讀《遼王記》上第一章的時候
[00:00:21.200 --> 00:00:26.800]  我一直讀就好像在看一套宮廷權鬥的古裝韓劇一樣
[00:00:26.800 --> 00:00:29.500]  我相信在在很多人都有看韓劇
[00:00:29.500 --> 00:00:31.900]  裡面的角色有什麼?
[00:00:31.900 --> 00:00:33.000]  有世子
[00:00:33.000 --> 00:00:34.700]  有底下
[00:00:34.700 --> 00:00:36.500]  有大妃娘娘
[00:00:36.500 --> 00:00:37.500]  有左相
[00:00:37.500 --> 00:00:39.000]  有右相
[00:00:39.000 --> 00:00:42.200]  大家為了王位的繼承
[00:00:42.200 --> 00:00:44.000]  在那裡明爭暗鬥
[00:00:44.000 --> 00:00:46.000]  在那裡拉攏親信
[00:00:46.000 --> 00:00:50.200]  經文一開始就描寫大衛王已經老到
[00:00:50.200 --> 00:00:52.000]  其實剛才我們只是讀一段
[00:00:52.000 --> 00:00:55.200]  應該我們從第一節讀到最後一節
[00:00:55.200 --> 00:00:57.500]  整個故事看一次
[00:00:57.900 --> 00:01:01.000]  不過我就省略了前面和後面的東西
[00:01:01.000 --> 00:01:05.300]  不過原來經文一開始就描寫大衛王已經老到
[00:01:05.300 --> 00:01:09.800]  連蓋很多張被子都不覺得暖的狀態
[00:01:09.800 --> 00:01:12.500]  他身體退化
[00:01:12.500 --> 00:01:14.000]  老眼昏花
[00:01:14.000 --> 00:01:15.400]  手疼腳震
[00:01:15.400 --> 00:01:16.700]  有心無力
[00:01:16.700 --> 00:01:18.800]  以致退居幕後
[00:01:18.800 --> 00:01:20.000]  不問朝政
[00:01:20.000 --> 00:01:22.400]  好像一個老糊塗一樣
[00:01:22.400 --> 00:01:26.500]  沒有清楚去交代他的接班人
