
[00:00:00.000 --> 00:00:03.200]  感謝神今天能夠和大家一起敬拜
[00:00:03.200 --> 00:00:07.320]  今天我們繼續講到新的開始 新的創造
[00:00:07.320 --> 00:00:09.520]  有一句話在聖經裡說
[00:00:09.520 --> 00:00:12.800]  若有人在基督裡 他就是新造的人
[00:00:12.800 --> 00:00:15.600]  舊事已過 都變成新的了
[00:00:15.600 --> 00:00:17.880]  在哥倫多後書的五章十七節
[00:00:17.880 --> 00:00:19.920]  這句話你一定聽過
[00:00:19.920 --> 00:00:22.680]  很熟悉 在那些浸禮 見證
[00:00:22.680 --> 00:00:25.120]  很多人都會引用這句聖經
[00:00:25.120 --> 00:00:28.520]  但當你回到哥倫多後書的時候
[00:00:28.520 --> 00:00:30.520]  你會發覺保羅寫這句聖經
[00:00:30.520 --> 00:00:32.600]  不單是一句金句這麼簡單
[00:00:32.600 --> 00:00:37.600]  他是寫在建基於他和哥倫多教會的關係上
[00:00:37.600 --> 00:00:40.320]  他和哥倫多教會到底是什麼關係呢?
[00:00:40.320 --> 00:00:43.000]  如果你看過哥倫多前後書 你會知道
[00:00:43.000 --> 00:00:47.000]  其實他們的關係是非常的又愛又恨
[00:00:47.000 --> 00:00:48.880]  很多的痛處在當中
[00:00:48.880 --> 00:00:52.600]  所以其實剛才那一句經文 那一句金句
[00:00:52.600 --> 00:00:55.720]  是保羅所寫的一句肺腑之言
[00:00:55.720 --> 00:01:01.600]  他很希望和哥倫多教會能夠重建這個破裂了的關係
[00:01:01.600 --> 00:01:04.720]  其實你會記得哥倫多教會
[00:01:04.720 --> 00:01:09.440]  是保羅自己第二次旅行寶島的時候所創辦的教會
[00:01:09.440 --> 00:01:11.480]  到底一個自己所創辦的教會
[00:01:11.480 --> 00:01:14.440]  為什麼會這麼針鋒相對的關係呢?
[00:01:14.440 --> 00:01:16.560]  在《使徒行傳》記載
[00:01:16.560 --> 00:01:20.240]  當日保羅離開了雅典
[00:01:20.240 --> 00:01:22.040]  去到哥倫多
[00:01:22.040 --> 00:01:25.720]  遇見亞居拉和伯基拉兩個夫婦
[00:01:25.720 --> 00:01:29.520]  他們一起去謀生 一起展開報道工作
[00:01:29.520 --> 00:01:33.280]  甚至聖經在當中提到
[00:01:33.280 --> 00:01:40.720]  教會管理會堂的阿基斯布全家人都信了耶穌
[00:01:40.720 --> 00:01:42.640]  教會很快地增長
[00:01:42.640 --> 00:01:50.560]  其實在教會當時的發展是很快的
[00:01:50.560 --> 00:01:54.960]  不過在哥倫多這個環境是很特別的
[00:01:54.960 --> 00:01:56.800]  為什麼他們發展得這麼快
[00:01:56.800 --> 00:01:59.360]  仍然關係這麼不好呢?
[00:01:59.360 --> 00:02:01.800]  哥倫多教會其實是一個大都會
[00:02:01.800 --> 00:02:04.160]  裡面有很多不同的文化的人
[00:02:04.160 --> 00:02:06.520]  不同背景的人都在裡面
[00:02:06.520 --> 00:02:09.520]  其實裡面最多的是什麼呢?
[00:02:09.520 --> 00:02:11.960]  最多的就是神廟
[00:02:11.960 --> 00:02:16.080]  有太陽神廟 海神廟 愛神廟 藥神廟
[00:02:16.080 --> 00:02:17.320]  什麼廟都有
[00:02:17.320 --> 00:02:18.800]  這是在宗教方面
[00:02:18.800 --> 00:02:23.640]  你想想一個社會有這麼多不同的神明
[00:02:23.640 --> 00:02:26.680]  又有這麼多不同的文化和思想的人
[00:02:26.680 --> 00:02:29.360]  教會在當中其實都會有很多的問題
[00:02:29.360 --> 00:02:30.840]  當保羅離開之後
[00:02:30.840 --> 00:02:34.720]  他們發覺教會出現了無數的問題
[00:02:34.720 --> 00:02:37.760]  至少有七個大的問題
[00:02:37.760 --> 00:02:40.600]  所以當時保羅就寫了一封信
[00:02:40.600 --> 00:02:43.840]  寫給他的叫做哥倫多前書
[00:02:43.840 --> 00:02:46.360]  起碼有七個問題
[00:02:46.360 --> 00:02:50.080]  結黨紛爭的問題 道德的問題 婚姻的問題
[00:02:50.080 --> 00:02:52.040]  敬拜偶像的問題
[00:02:52.040 --> 00:02:54.840]  教會沒有什麼紀律 又沒有什麼愛心
[00:02:54.840 --> 00:02:58.280]  甚至有些人不相信耶穌基督的復活
