
[00:00:00.000 --> 00:00:05.640]  教會今年用羅馬書來講門訓這個主題
[00:00:05.640 --> 00:00:07.680]  其實我們都覺得
[00:00:07.680 --> 00:00:10.760]  過往幾年又用過馬太福音
[00:00:10.760 --> 00:00:14.720]  用不同的書卷來講門訓
[00:00:14.720 --> 00:00:18.000]  其實要做耶穌基督的門徒
[00:00:18.000 --> 00:00:20.640]  最主要有兩個條件
[00:00:20.640 --> 00:00:25.680]  因此用任何一個聖經的書卷來講都可以
[00:00:25.680 --> 00:00:27.200]  第一個條件
[00:00:27.200 --> 00:00:30.720]  要在信仰上紮穩根基
[00:00:30.720 --> 00:00:34.600]  每一卷書都有它不同著重點
[00:00:34.600 --> 00:00:38.440]  但羅馬書是特別豐富
[00:00:38.440 --> 00:00:39.560]  所以有人說
[00:00:39.560 --> 00:00:42.200]  如果整本聖經不見了
[00:00:42.200 --> 00:00:44.600]  只剩下羅馬書的話
[00:00:44.600 --> 00:00:47.920]  今天基督教系統神學
[00:00:47.920 --> 00:00:50.520]  基本教義裏面的東西
[00:00:50.520 --> 00:00:54.040]  你都可以在羅馬書裏面找得到
[00:00:54.040 --> 00:00:57.640]  而且保羅寫書信有一個特色
[00:00:57.640 --> 00:01:01.560]  前半部是講信仰、教義
[00:01:01.560 --> 00:01:04.920]  後半部是講實踐
[00:01:04.920 --> 00:01:07.320]  所以在整本聖經裏面
[00:01:07.320 --> 00:01:09.480]  我們今天整個基督教
[00:01:09.480 --> 00:01:12.720]  在倫理、在社會的參與
[00:01:12.720 --> 00:01:14.920]  很多的價值方面
[00:01:14.920 --> 00:01:19.040]  主要的來源、根據是來自書信
[00:01:19.040 --> 00:01:22.440]  書信的價值是非常重要
[00:01:22.440 --> 00:01:25.800]  你看《四卷福音》認識耶穌的生平
[00:01:25.800 --> 00:01:28.120]  知道祂教誨的東西
[00:01:28.120 --> 00:01:30.560]  但來到使徒的時代
[00:01:30.560 --> 00:01:33.280]  來到初期教會的時候
[00:01:33.280 --> 00:01:37.280]  那些人怎樣將耶穌基督教導的東西
[00:01:37.280 --> 00:01:40.120]  示範的東西實踐下去
[00:01:40.120 --> 00:01:45.280]  你就在書信裏面能夠看得到
[00:01:45.280 --> 00:01:47.120]  羅馬書講什麼呢?
[00:01:47.120 --> 00:01:51.200]  你不要被聖經學者或者外面的講座
[00:01:51.200 --> 00:01:53.240]  講到每一本書都是很深的
[00:01:53.240 --> 00:01:56.520]  包括《肥利門書》都是很難讀的
[00:01:56.520 --> 00:01:58.240]  我曾經見過人
[00:01:58.240 --> 00:02:01.760]  是寫一本《肥利門書》的博士論文
[00:02:01.760 --> 00:02:06.040]  寫了七百多頁英文的
[00:02:06.040 --> 00:02:08.400]  換言之他每一個字的解釋
[00:02:08.400 --> 00:02:11.880]  我都不知道用了多少時間去解釋
[00:02:11.880 --> 00:02:17.960]  我覺得聖經是上帝給我們任何一個識字的人
[00:02:17.960 --> 00:02:19.800]  只要你一打開
[00:02:19.800 --> 00:02:25.000]  聖經的信息就一定能夠傳達給你
[00:02:25.000 --> 00:02:28.440]  我們不需要有些中界的人
[00:02:28.440 --> 00:02:31.680]  或者那些所謂學術人士
[00:02:31.680 --> 00:02:35.440]  越講越不清越講越不同
[00:02:35.440 --> 00:02:40.800]  這個信念是我們對聖經一個重要的信念
[00:02:40.800 --> 00:02:43.520]  神是一個啟示的神
[00:02:43.520 --> 00:02:49.000]  神也藉著耶穌基督具體的告訴我們真理是什麼
[00:02:49.000 --> 00:02:50.720]  道路生命是什麼
[00:02:50.720 --> 00:02:55.840]  也藉著聖靈內注在每一個人的生命裡面
[00:02:55.840 --> 00:02:59.720]  然後去啟迪我們明白真理
[00:02:59.720 --> 00:03:04.480]  聖經的話語跟我們的生命上上互動
[00:03:04.480 --> 00:03:06.120]  給我們有得著
[00:03:06.120 --> 00:03:09.080]  所以你不要怕羅馬書說很深
[00:03:09.080 --> 00:03:10.560]  當你睡不著
[00:03:10.560 --> 00:03:11.400]  你一讀
[00:03:11.400 --> 00:03:12.880]  你就到天亮
[00:03:12.880 --> 00:03:14.120]  突然之間
[00:03:14.120 --> 00:03:15.680]  就是明白了
[00:03:15.680 --> 00:03:16.720]  醒了
[00:03:16.720 --> 00:03:18.760]  羅馬書不是這麼深
[00:03:18.760 --> 00:03:21.360]  不是這麼難的
[00:03:21.360 --> 00:03:25.040]  羅馬書主要是講恩信清義
[00:03:25.040 --> 00:03:28.480]  好像在第一章第十七節那裡說
[00:03:28.480 --> 00:03:32.080]  「二人必恩信特生」
[00:03:32.080 --> 00:03:34.600]  而我們看羅馬書的內容
[00:03:34.600 --> 00:03:37.480]  就知道羅馬的教會
[00:03:37.480 --> 00:03:43.560]  在當時世界的核心的地方
[00:03:43.560 --> 00:03:47.720]  好像今天在美國紐約華盛頓
[00:03:47.720 --> 00:03:51.720]  有一個新的宗教群體一樣
[00:03:51.720 --> 00:03:54.240]  裡面有些猶太裔的信徒
[00:03:54.240 --> 00:03:57.960]  也有非猶太裔的信徒
[00:03:57.960 --> 00:04:00.120]  最近研究羅馬書
[00:04:00.120 --> 00:04:03.880]  我看很多人的說法就是
[00:04:03.880 --> 00:04:07.160]  其實羅馬書很多是著重
[00:04:07.160 --> 00:04:10.520]  當時教會裡面
[00:04:10.520 --> 00:04:14.160]  猶太裔的信徒跟非猶太裔的信徒
[00:04:14.160 --> 00:04:16.640]  怎樣去繼承上帝恩典
[00:04:16.640 --> 00:04:18.560]  在那個問題上
[00:04:18.560 --> 00:04:20.920]  保羅在未去之先
[00:04:20.920 --> 00:04:24.640]  要澄清這方面的事情
[00:04:24.640 --> 00:04:27.080]  他講到罪的普遍性
[00:04:27.080 --> 00:04:30.200]  無論猶太人或者非猶太人
[00:04:30.200 --> 00:04:32.440]  罪都在他們生命裡面
[00:04:32.440 --> 00:04:35.120]  他講到救恩的普遍性
[00:04:35.120 --> 00:04:36.920]  無論你是猶太人
[00:04:36.920 --> 00:04:39.040]  是阿不拉罕的子孫
[00:04:39.040 --> 00:04:42.600]  或者你類似是哥尼劉
[00:04:42.600 --> 00:04:47.280]  是羅馬的這些長官
[00:04:47.280 --> 00:04:52.320]  這個救恩仍然能夠臨到你
[00:04:52.320 --> 00:04:56.000]  羅馬書第一章到第十一章
[00:04:56.000 --> 00:04:59.640]  講到很多信仰上重要的問題
[00:04:59.640 --> 00:05:01.720]  然後去到十二章
[00:05:01.720 --> 00:05:05.640]  還有到我們今天的十五章十三節
[00:05:05.640 --> 00:05:10.840]  就講到信仰、教義、神學
[00:05:10.840 --> 00:05:14.160]  那個的應用、實踐方面
[00:05:14.160 --> 00:05:17.120]  由十四節一直到十六章
[00:05:17.120 --> 00:05:19.840]  就是這本書的結束
[00:05:19.840 --> 00:05:21.800]  所以我們今天這一段
[00:05:21.800 --> 00:05:24.760]  可以說是羅馬書裡面
[00:05:24.760 --> 00:05:27.360]  講到倫理的部分
[00:05:27.360 --> 00:05:30.600]  是最後的一個段落
[00:05:30.600 --> 00:05:32.920]  在這十三節裡面
[00:05:32.920 --> 00:05:37.280]  如果你任何要去教主一學
[00:05:37.280 --> 00:05:40.760]  或者你要預備一個短講
[00:05:40.760 --> 00:05:45.600]  或者你想很深入去查考這個聖經
[00:05:45.600 --> 00:05:50.480]  你先將你要處理的經文讀十次以上
[00:05:50.480 --> 00:05:51.680]  我告訴你
[00:05:51.680 --> 00:05:54.480]  我們人類的認識能力
[00:05:54.480 --> 00:05:59.880]  是不斷在重複認識舊的東西裡面
[00:05:59.880 --> 00:06:03.520]  用一個英文字叫reinforcement
[00:06:03.520 --> 00:06:07.680]  不斷去加固這段經文裡面
[00:06:07.680 --> 00:06:10.960]  特有的重點、特色
[00:06:10.960 --> 00:06:13.440]  你說它究竟結構如何
[00:06:13.440 --> 00:06:16.440]  你讀十次它就會告訴你
