
[00:00:00.000 --> 00:00:06.360]  各位弟兄姊妹,今天很高興可以來到神的家裡一起分享上帝的話語
[00:00:06.360 --> 00:00:13.000]  願平安、上帝的慈愛、祝福都淋在我們每一個弟兄姊妹的心靈當中
[00:00:13.000 --> 00:00:20.120]  今天談論受苦這個話題,其實不是很想說疫情
[00:00:20.120 --> 00:00:25.440]  疫情這件事不是我們可以控制的
[00:00:25.440 --> 00:00:27.800]  或許可以控制一點
[00:00:28.160 --> 00:00:33.760]  但其實真正的疫情不是我們可以處理的
[00:00:33.760 --> 00:00:38.160]  即是它什麼時候來,我問了很多人基本上
[00:00:38.160 --> 00:00:41.480]  即是每一個種Omicron的人,我都問他一聲,你為什麼種呀
[00:00:41.480 --> 00:00:46.600]  他都不知道,即是他說,總之種吧
[00:00:46.600 --> 00:00:51.840]  你沒得知,亦都摸不著怎樣
[00:00:51.840 --> 00:00:57.160]  就算帶了很多東西的人都會種,或者有些人不帶他又不種
[00:00:57.520 --> 00:00:58.800]  我們猜不到
[00:00:58.800 --> 00:01:05.520]  但今天談論受苦,我想從一個觀念去講
[00:01:05.520 --> 00:01:10.760]  最近ViuTV做了一套電視劇,叫做《反起跑線聯盟》
[00:01:10.760 --> 00:01:16.680]  不知道有沒有看,他好像說ViuTV第二修士高,除了《大叔的愛》
[00:01:16.680 --> 00:01:24.520]  我女兒和我老婆就在煲這套戲,我都沒有看,我只看了少少
[00:01:24.520 --> 00:01:26.040]  他們在看
[00:01:27.840 --> 00:01:31.560]  我老婆說什麼給我聽,她說這套戲是講什麼的
[00:01:31.560 --> 00:01:37.200]  這套戲是講,學生很想開心上學
[00:01:37.200 --> 00:01:41.720]  但很多制度,很多人脈,很多事件
[00:01:41.720 --> 00:01:50.840]  令到學生要很競爭性地活在學校環境裏面
[00:01:50.840 --> 00:01:57.200]  就好像有些同學做模型,一起比賽
[00:01:57.720 --> 00:02:02.640]  有個家長就拿了一個天下無敵的模型出來,也不是他做的
[00:02:02.640 --> 00:02:07.560]  也不是小朋友做的,總之買回來一定贏的
[00:02:07.560 --> 00:02:10.400]  然後他就教他的小朋友四個字
[00:02:10.400 --> 00:02:14.280]  他說小朋友,今天我教你什麼叫做惡立雞群
[00:02:14.280 --> 00:02:18.040]  一定贏的
[00:02:18.040 --> 00:02:21.520]  我今天想表達的是
[00:02:21.520 --> 00:02:26.720]  前書四章一至六節其實是很難解的聖經
[00:02:27.760 --> 00:02:33.320]  但我希望今天能夠藉著這套戲或某些內容
[00:02:33.320 --> 00:02:38.720]  我們能夠講少少,看看到底什麼叫做受苦
[00:02:38.720 --> 00:02:40.920]  或者受苦是講什麼事
[00:02:40.920 --> 00:02:47.840]  中文翻譯都已經很好了,但我有少少狗味俗雕
[00:02:47.840 --> 00:02:53.480]  這是我的翻譯,無論英文你可以看,中文是我的翻譯
[00:02:54.000 --> 00:03:00.320]  這是我的原文中的翻譯,但我都加上了一些我們容易點明白的意思
[00:03:00.320 --> 00:03:03.320]  不然的話,我們剛才讀和合本的聖經
[00:03:03.320 --> 00:03:08.480]  其實我們會很難明白或很難掌握其實它想說什麼
[00:03:08.480 --> 00:03:16.760]  我希望加了少少的意思,一些所謂原文的理解我們放進去
[00:03:16.760 --> 00:03:20.480]  我們試試這樣看一看這段經文
[00:03:20.480 --> 00:03:27.600]  它說「基督在肉身受苦,當準備好自己,傳同一個意向」
[00:03:27.600 --> 00:03:34.280]  你的意思是說其實基督在肉身受苦,雖然我們要受苦,要受苦
[00:03:34.280 --> 00:03:37.080]  其實我們要存著這個心智
[00:03:37.080 --> 00:03:40.520]  因為基督都這樣,所以我們都要存著這個心智
[00:03:40.520 --> 00:03:44.200]  我們要準備好同一個意向或者一個intention
[00:03:44.200 --> 00:03:46.920]  這個intention是什麼?
[00:03:46.920 --> 00:03:51.440]  下半句已經說了,這個意向其實意思是intention
[00:03:51.440 --> 00:03:54.200]  你想想什麼,或者其實為什麼基督要這樣受苦
[00:03:54.200 --> 00:03:58.520]  它說「那位決意在肉身上受苦的」,應該在說耶穌基督
[00:03:58.520 --> 00:04:02.720]  它說「就是在決定從最終止住了」
[00:04:02.720 --> 00:04:12.240]  這句話是重要的,就是說耶穌基督受苦,祂釘十字架死
[00:04:12.680 --> 00:04:18.440]  祂可以不用的,祂可以高高在上,統領萬方
[00:04:18.440 --> 00:04:20.680]  就是神的兒子,榮耀尊貴
[00:04:20.680 --> 00:04:24.920]  但祂願意在肉身上釘十字架死,其實在說什麼?
[00:04:24.920 --> 00:04:29.960]  原來祂的受苦是在呈現罪,在這一刻停止了
[00:04:29.960 --> 00:04:34.280]  祂想呈現一個很重要的位置是
[00:04:34.280 --> 00:04:38.840]  當很多人與為尼塞亞來到的拯救
[00:04:38.840 --> 00:04:42.000]  是要君臨天下,是要大殺四方的時候
