
[00:00:00.000 --> 00:00:10.000]  我是早晨,很開心再來這裏,特別是在北角,坐車下去西灣河,經過這裏
[00:00:10.000 --> 00:00:19.000]  我在十幾歲的時候,每天都是這樣經過這邊,當時應該沒有太古城,我去西灣河工作
[00:00:19.000 --> 00:00:28.000]  西灣河是我第一個工作的地方,我相信這裏都可能有人或者親戚在西灣河讀過小學
[00:00:28.000 --> 00:00:41.000]  有沒有人讀過基灣,有,多謝這麼多校友,我是基灣第一年的先生,那一年是基灣創校1970年
[00:00:41.000 --> 00:00:52.000]  我是一個不合格的先生,因爲我只是讀完中學畢業,但是這間學校是中國人基督教區會的模範學校
[00:00:52.000 --> 00:01:08.000]  所以抽調了50間,每間學校最精英的先生,派來基灣,區會決心將這間學校變成香港的一個指導學校
[00:01:08.000 --> 00:01:20.000]  我很幸運,竟然教到基灣第一年,只不過是沒有讀過師範的中學畢業生,原因是我是代課的
[00:01:20.000 --> 00:01:35.000]  大約是兩個星期,最長一個月,這是教育署給我的條件,但是我代課的老師患了癌症,後來就死了
[00:01:35.000 --> 00:01:47.000]  校長就想辦法將我這個可能會失業的青年人,於是他就和上校的校長談,每人請我一半
[00:01:47.000 --> 00:01:57.000]  所以上校24班,下校24班,我負責每個月交一半時間,他們夾錢做我的工資
[00:01:57.000 --> 00:02:08.000]  我是一個這樣被人幫助的年輕人,當時我是17歲,就開始了我做青少年工作的第一個階段
[00:02:08.000 --> 00:02:21.000]  今天講青少年主義,以白皮書的界定,青少年應該是12歲至25歲,有個時期轉爲12歲至30歲
[00:02:21.000 --> 00:02:32.000]  但是聯合國現在的界定是至66歲,所以大家都有福了,突然發現今天應該坐在這裏
[00:02:32.000 --> 00:02:41.000]  如果你大過66歲,其實都是剛剛離開青年期,你可以說是很年輕的中年人
[00:02:41.000 --> 00:02:51.000]  爲什麼我要這樣講呢?因爲今天我想和你分享一個很難的問題,就是怎樣纔算知足在香港,怎樣纔算上進
[00:02:51.000 --> 00:03:01.000]  我知道明天又有另一些放榜出來了,剛纔那一堂有個年輕人告訴我,明天就知道能不能進大學了
[00:03:01.000 --> 00:03:18.000]  其實很多爸爸媽媽都在想,你生的子女已經很滿意他過的人生,在青少年階段,很容易排第一,就是讀大學
[00:03:18.000 --> 00:03:31.000]  第二就是讀完大學之後有份工作是專業人士,再跟着和一個專業人士一起結婚,生一個未來的主要人士的子女
[00:03:31.000 --> 00:03:48.000]  就是說,你可以繼續住在太古城,這個可能是你的夢,可能你說這個就是我的知足夢,這樣我就會知足了,但我反問你,如果不是怎麼辦呢?
[00:03:48.000 --> 00:04:02.000]  是不是一定要傷心呢?是不是上進就等於一直讀上去呢?我認識一個很精明的律師,他和我分享,他沒有鼓勵他的子女讀大學
[00:04:02.000 --> 00:04:21.000]  他說他已經預測到讀大學,如果讀得好的結果是什麼,他預測到40年後的結果,就是讀完大學,讀得好就會申請到一份很有潛質發展的工作
[00:04:21.000 --> 00:04:43.000]  而老闆看到這個讀得好,也肯學的人,就會給一份很長遠發展他的工作給他做,然後讓他成爲部門的主管,做了主管之後就派他去東南亞,甚至去歐美的分公司,然後再訓練他成爲副總裁
[00:04:43.000 --> 00:04:58.000]  然後等他50歲的時候,又再按他的才幹,再發展另一間公司,成爲這間公司的另一個踏腳石,然後等他60歲的時候,成爲專家的時候,進來做董事會
[00:04:58.000 --> 00:05:19.000]  於是一董就董到65歲,他走的時候發現什麼呢?他沒試過有空過一天,這樣就過了40多年,可能他有胃病,可能他有心臟病,可能他很疲倦,每天喝兩杯咖啡
[00:05:19.000 --> 00:05:35.000]  可能有一天他發現自己沒過過人生,除了上班,可能他連他家裏,他的子女的感情都不是很多,他有的是什麼呢?是沒什麼,但是沒得回頭
[00:05:35.000 --> 00:05:59.000]  所以這個律師說,我一早就知道這是個騙局,所以他叫他的子女讀就讀,讀不到就出去工作,因爲我寧願你告訴我,你生活很有意思,很快樂,好過你埋怨我,我已經一早給你設計了一個你一定要這樣的方式生活
[00:05:59.000 --> 00:06:28.000]  香港人很頭痛,因爲我們經常在想一個問題,就是讀書最後結果是什麼呢?就是一筆首期來供樓的,就爲了那些磚頭,供了樓之後就繼續每個月的人工,然後希望下次再換多些磚頭回來,住大一點,這樣就是人生
[00:06:28.000 --> 00:06:51.000]  所以今天菲律賓出了四章,有幾個詞是令人想起的,就是保羅說自己,我沒缺乏,我沒缺乏,因爲什麼情況都可以知足,我真的希望明天放榜,甚至你升不升班,什麼情況都可以知足
[00:06:51.000 --> 00:07:07.000]  但是強調一件事,知足不是一個蠢的行爲,知足是要學的,什麼是知足,這個定義很重要,不是拿公共援助就是知足,不是這個意思,要學的,學怎麼學呢?
[00:07:07.000 --> 00:07:26.000]  因爲有個祕訣,祕訣是什麼呢?就是當我不能做的時候,我找到幫我的人是誰,凡事都能做,這個凡事不是你自己想做就做的事,而是你找到做誰的事是上帝的事
[00:07:26.000 --> 00:07:43.000]  這個好像很宗教,不過如果我們看看聖經,有一個弔詭的問題,就是聖經有沒有說過要做有錢佬呢?聖經有沒有叫快點不要做有錢佬呢?沒有
[00:07:43.000 --> 00:08:03.000]  最有錢的那兩個,阿巴拉罕和約伯,很有錢,很多家裏的工人,有牛有羊有駱駝,駱駝就是奔馳,就是說他一定有很多,上帝還說我還要賜給你
[00:08:03.000 --> 00:08:20.000]  就是說上帝不但沒有叫你不要做有錢佬,還叫你越多錢都是OK的,約伯受完考驗之後,上帝再賜多一些給他,方舍他不夠,再多一些給你
[00:08:20.000 --> 00:08:35.000]  就是說聖經沒有說過不要有錢,沒有說過,甚至說不要存錢,沒有說過,你說耶穌那個年輕官長叫他變賣所有呢?
[00:08:35.000 --> 00:08:51.000]  其實之前那個年輕官長只是問一個問題,就是我要做些什麼才能永生?耶穌當時叫他愛神,愛倫瑟,如愛自己,只不過,只不過,因爲那個年輕官長繼續問,那我還差什麼?
[00:08:51.000 --> 00:09:06.000]  你說到還差什麼的時候,耶穌才說你變賣所有,變賣所有不是爲了變賣所有,而是耶穌看穿了他不捨得的東西,如果他看穿你捨得,他沒有叫你變賣,所以不要賣太古城的房子
[00:09:06.000 --> 00:09:31.000]  你想了之後,如果你還沒信耶穌,你覺得聖經那套哲學很厲害,他看穿了什麼叫知足,今天我想你聽完之後,很值得你回去想想,貧窮不是上帝讚的東西
[00:09:31.000 --> 00:09:51.000]  上帝贊貧窮的人,是贊他貧窮得知足,所以贊他,如果貧窮得一刻到刻都信,何時發,何時有得升,雞水那麼少錢,真是可憐,做人比我更慘,上帝不讚你以訛我這些東西
[00:09:51.000 --> 00:10:19.000]  上帝贊你什麼呢,就是我有現在的東西,我很開心,雖然隔離所有的東西多於我,但我都很開心,因爲我懂得享受我有的東西,所以世界上有些人說,蘇格拉底最聰明,他聰明的說話,講知足是什麼呢,他說能夠享受最低限度的東西的人,就是最快樂的人,最聰明的人,最低限度
[00:10:19.000 --> 00:10:46.000]  什麼叫最低限度呢,就是說,如果你能夠有杯水,水不值錢的,還是很小的杯水,但你喝的時候,你說,好好喝啊,你試試在大街上拿着杯水說,好好喝啊,那些人是不是傻的,什麼水啊,按水就有了,既然你說好好喝啊,你真是一個很聰明的人,因爲你連那麼少的東西都享受,那麼少的東西都享受
[00:10:46.000 --> 00:11:15.000]  但你真的在想,是啊,你試試在山上走,一路走了半天,大半天,最後你的水壺,那幾滴水,你真的不放過每一滴,你真的告訴別人,你很需要這幾滴水,你享受的就是你以這幾滴水爲你現在擁有的東西,你都會告訴別人,我還有一些東西是很重要的
[00:11:15.000 --> 00:11:43.000]  看細的,看得緊要的人,很聰明,因爲他覺得你是必須的,如果你口口聲聲,我突然間跟你說,濾卡啦,沒用的,你在山上濾什麼卡,濾石頭都沒用的,你是去喝水,不是濾卡,你會知道最重要的東西是什麼,已經不是錢的問題了,你快要喝死了
[00:11:43.000 --> 00:12:06.000]  你要的竟然是山溪的水,你都肯喝,因爲你知道你必須是那些東西,所以那些人說,能夠知道自己必須的是什麼,有福了,你知道自己必須的是什麼,但偏偏很多人真的不知道自己必須的是什麼,是要些不是必須的東西,要了很多很多,就發覺到都是不夠,因爲根本上你們沒拿到必須的東西,整個問題是這樣
[00:12:06.000 --> 00:12:35.000]  我就說一下給你聽,有一個人很厲害,他找到必須的東西,看聖經,我考考大家,我相信這裏有很多主義學學生,主義學是什麼呢,主義學就是不懂聖經的意思,所以讀主義學,主義學先生就是懂一點點,扮代表的意思,真是的,主義學先生是進修的,原因是什麼,聖經是很難懂的,你問我,我最多認自己懂10%
