
[00:00:00.000 --> 00:00:02.520]  好 各位兄弟姊妹 我們來帶大家去敬拜神之前
[00:00:02.520 --> 00:00:03.800]  冥想神的位置先
[00:00:03.800 --> 00:00:05.560]  我們先一齊留低頭給我們禱告
[00:00:05.560 --> 00:00:07.800]  天王我多謝你給我有機會和弟兄姊妹
[00:00:07.800 --> 00:00:09.560]  來分享神你的話語
[00:00:09.560 --> 00:00:12.280]  神很願意你的話語成為我們生命的幫助
[00:00:12.280 --> 00:00:14.080]  讓我們不只是聽了唐道
[00:00:14.080 --> 00:00:15.680]  去教導我們如何實踐
[00:00:15.680 --> 00:00:16.680]  求主的眷顧
[00:00:16.680 --> 00:00:17.680]  帶領二日的時間
[00:00:17.680 --> 00:00:19.120]  祈禱禮奉主的德性的名
[00:00:19.120 --> 00:00:22.480]  今天跟大家分享的題目都很驚人的
[00:00:22.480 --> 00:00:24.520]  身首異處
[00:00:24.520 --> 00:00:25.960]  那就是死強了
[00:00:25.960 --> 00:00:28.480]  那我自己都很大的感慨
[00:00:28.680 --> 00:00:30.440]  雖然過去那二十多年
[00:00:30.440 --> 00:00:31.760]  我每一年都會來英國
[00:00:31.760 --> 00:00:32.360]  即是港島
[00:00:32.360 --> 00:00:34.160]  甚至有時候一年來兩三次
[00:00:34.160 --> 00:00:36.680]  但是正式留在英國住的
[00:00:36.680 --> 00:00:37.920]  是兩年的時間
[00:00:37.920 --> 00:00:40.000]  在這兩年裏面
[00:00:40.000 --> 00:00:42.160]  我每個主人都感恩神
[00:00:42.160 --> 00:00:44.240]  給我有機會去不同的地方
[00:00:44.240 --> 00:00:45.800]  不同的教會港島
[00:00:45.800 --> 00:00:48.480]  我的視野都會闊了很多
[00:00:48.480 --> 00:00:51.200]  在最近這兩三個月
[00:00:51.200 --> 00:00:52.800]  有一個很大的感慨
[00:00:52.800 --> 00:00:57.520]  就是華人的教會好像雨後春筍那樣
[00:00:57.920 --> 00:00:59.760]  不斷地有新的教會建立
[00:00:59.760 --> 00:01:01.760]  如果你知道的時候
[00:01:01.760 --> 00:01:04.720]  在八月有一個地方開了一間教會
[00:01:04.720 --> 00:01:08.840]  九月在北部也開了一間新的教會
[00:01:08.840 --> 00:01:10.840]  在你們附近
[00:01:10.840 --> 00:01:12.160]  在上個月也開了一間
[00:01:12.160 --> 00:01:13.960]  未來這裡也有一間
[00:01:13.960 --> 00:01:18.240]  教會能夠不斷地拓展
[00:01:18.240 --> 00:01:20.400]  應該是一個祝福
[00:01:20.400 --> 00:01:22.760]  但是可能有一些教會的拓展
[00:01:22.760 --> 00:01:26.520]  是因為內部裏面大家有些不和
[00:01:26.680 --> 00:01:29.040]  或者有些事情不太能夠配合
[00:01:29.040 --> 00:01:31.160]  於是就分開了
[00:01:31.160 --> 00:01:32.960]  我住的那一區
[00:01:32.960 --> 00:01:34.920]  我一年只去過兩次左右
[00:01:34.920 --> 00:01:37.680]  這間教會
[00:01:37.680 --> 00:01:40.080]  我們現在有三間
[00:01:40.080 --> 00:01:42.280]  都是由一間出來的
[00:01:42.280 --> 00:01:45.240]  我也想想這個究竟是祝福
