
[00:00:00.000 --> 00:00:02.000]  讓我請問各位
[00:00:02.000 --> 00:00:04.000]  創世紀一共有幾章
[00:00:04.000 --> 00:00:06.000]  誰可以跟我說
[00:00:06.000 --> 00:00:10.000]  五十章
[00:00:10.000 --> 00:00:12.000]  謝謝您
[00:00:12.000 --> 00:00:14.000]  那麼這五十章
[00:00:14.000 --> 00:00:16.000]  除了講神的創造
[00:00:16.000 --> 00:00:18.000]  還有講哪四個人
[00:00:18.000 --> 00:00:22.000]  亞伯拉罕 以薩 雅各
[00:00:22.000 --> 00:00:24.000]  跟耶穌就講這四個人
[00:00:24.000 --> 00:00:28.000]  今天我就要跟來分享的是
[00:00:28.000 --> 00:00:30.000]  亞伯拉罕跟以薩
[00:00:30.000 --> 00:00:32.000]  這一對父子
[00:00:32.000 --> 00:00:36.000]  我們說亞伯拉罕是信心之父
[00:00:36.000 --> 00:00:40.000]  我可以說以薩
[00:00:40.000 --> 00:00:42.000]  就是信心之侄
[00:00:42.000 --> 00:00:44.000]  但是其實這麼講也不對
[00:00:44.000 --> 00:00:46.000]  也沒有完全正確
[00:00:46.000 --> 00:00:50.000]  我們父親節的信息
[00:00:50.000 --> 00:00:52.000]  我特別說
[00:00:52.000 --> 00:00:54.000]  亞伯蘭
[00:00:54.000 --> 00:00:56.000]  Abram
[00:00:56.000 --> 00:00:58.000]  他名字的意思是信心之父
[00:00:58.000 --> 00:01:02.000]  後來神與他立約
[00:01:02.000 --> 00:01:04.000]  說你要做多國之父
[00:01:04.000 --> 00:01:06.000]  所以你要改名字到
[00:01:06.000 --> 00:01:08.000]  亞伯拉罕
[00:01:08.000 --> 00:01:10.000]  艾伯拉罕
[00:01:10.000 --> 00:01:12.000]  所以
[00:01:12.000 --> 00:01:14.000]  Abram
[00:01:14.000 --> 00:01:16.000]  就是父的意思
[00:01:16.000 --> 00:01:18.000]  所以耶穌在
[00:01:18.000 --> 00:01:20.000]  克西瑪利恩他禱告說
[00:01:20.000 --> 00:01:22.000]  他說阿爸父啊
[00:01:22.000 --> 00:01:24.000]  求神撤去這杯
[00:01:24.000 --> 00:01:26.000]  但是不要造我的意思
[00:01:26.000 --> 00:01:28.000]  造你的意思
[00:01:28.000 --> 00:01:30.000]  所以阿爸就是父的意思
[00:01:30.000 --> 00:01:32.000]  就是男人最
[00:01:32.000 --> 00:01:34.000]  尊貴的名字
[00:01:34.000 --> 00:01:36.000]  今天我們要來講
[00:01:36.000 --> 00:01:38.000]  亞伯拉罕跟他的
[00:01:38.000 --> 00:01:40.000]  兒子以薩
[00:01:40.000 --> 00:01:42.000]  其實這兩個人有
[00:01:42.000 --> 00:01:44.000]  非常類似的遭遇
[00:01:44.000 --> 00:01:46.000]  如果你去看
[00:01:46.000 --> 00:01:48.000]  創世紀20章21章26章
[00:01:48.000 --> 00:01:50.000]  他都講到說
[00:01:52.000 --> 00:01:54.000]  亞伯拉罕因為荒廉
[00:01:54.000 --> 00:01:56.000]  鬧饑荒
[00:01:56.000 --> 00:01:58.000]  他就離開了
[00:01:58.000 --> 00:02:00.000]  迦南地
[00:02:00.000 --> 00:02:02.000]  來到基拉爾
[00:02:02.000 --> 00:02:04.000]  甚至於逐漸向著
[00:02:04.000 --> 00:02:06.000]  埃及走去
[00:02:06.000 --> 00:02:08.000]  以薩也做了同樣的事情
[00:02:08.000 --> 00:02:10.000]  而且到了基拉爾地
[00:02:10.000 --> 00:02:12.000]  就是斐利士人的地
[00:02:12.000 --> 00:02:14.000]  他們都說
[00:02:14.000 --> 00:02:16.000]  太太你不要說是我太太
[00:02:16.000 --> 00:02:18.000]  說是我妹妹
[00:02:18.000 --> 00:02:20.000]  兩個人都是到了
[00:02:20.000 --> 00:02:22.000]  亞比彌勒王的地方
[00:02:22.000 --> 00:02:24.000]  兩個都叫亞比彌勒王
[00:02:24.000 --> 00:02:26.000]  都被亞比彌勒王娶去了
[00:02:26.000 --> 00:02:28.000]  然後半夜的時候
[00:02:28.000 --> 00:02:30.000]  神就向亞比彌勒王顯現
[00:02:30.000 --> 00:02:32.000]  說你這個死人
[00:02:32.000 --> 00:02:34.000]  這個是亞伯拉罕的太太
[00:02:34.000 --> 00:02:36.000]  這個是以薩的太太
[00:02:36.000 --> 00:02:38.000]  所以馬上又還給了
[00:02:38.000 --> 00:02:40.000]  亞伯拉罕還給了以薩
[00:02:40.000 --> 00:02:42.000]  而且給他們許多的牛羊
[00:02:42.000 --> 00:02:44.000]  給他們許多的財富
[00:02:44.000 --> 00:02:46.000]  然後叫他們走
[00:02:46.000 --> 00:02:48.000]  而同樣的
[00:02:48.000 --> 00:02:50.000]  亞伯拉罕跟以薩
[00:02:50.000 --> 00:02:52.000]  都在那地
[00:02:52.000 --> 00:02:54.000]  大大的興盛
[00:02:54.000 --> 00:02:56.000]  連亞比彌勒王都怕他們了
[00:02:56.000 --> 00:02:58.000]  都說我要跟你來立約
