
[00:00:00.000 --> 00:00:03.920]  我們常常都會說到在我們教會追求的方向
[00:00:03.920 --> 00:00:07.080]  一起尋求成為使命教會
[00:00:07.080 --> 00:00:10.480]  使命教會有三個很重要的元素
[00:00:10.480 --> 00:00:12.880]  大家可能都常常聽到
[00:00:12.880 --> 00:00:17.400]  就是明道 行道
[00:00:17.400 --> 00:00:20.040]  第二就是守望相愛
[00:00:20.040 --> 00:00:22.040]  第三呢
[00:00:22.040 --> 00:00:25.040]  好像大家不太知道
[00:00:25.040 --> 00:00:27.800]  是見證宣教
[00:00:27.800 --> 00:00:32.640]  所以三個元素是表達出我們追求的三個重點的方向
[00:00:32.640 --> 00:00:35.720]  亦都是使命教會裏面三個重要的部份
[00:00:35.720 --> 00:00:39.880]  所以你不記得你靜悄悄的快點念了它
[00:00:39.880 --> 00:00:45.520]  明道 行道 守望相愛 見證宣教
[00:00:45.520 --> 00:00:48.000]  當我們提到守望相愛的時候
[00:00:48.000 --> 00:00:53.600]  很清楚聖經告訴我們是主耶穌對我們的大誡命
[00:00:53.600 --> 00:00:57.240]  主耶穌告訴我們我怎樣愛你們
[00:00:57.240 --> 00:01:01.480]  你們也要怎樣彼此相愛
[00:01:01.480 --> 00:01:05.080]  是聖經勉勵我們作為神的子民
[00:01:05.080 --> 00:01:08.200]  學習神的愛去彼此相愛
[00:01:08.200 --> 00:01:12.200]  亦都是我們在這次讀貼壽羅尼加前書的時候
[00:01:12.200 --> 00:01:15.400]  一個很重要的思想方向
[00:01:15.400 --> 00:01:17.520]  在聖經裏面都提及
[00:01:17.520 --> 00:01:19.720]  在末世的時候
[00:01:19.720 --> 00:01:22.200]  主耶穌在臨之前
[00:01:22.200 --> 00:01:26.240]  人的愛心就會漸漸冷淡了
[00:01:26.240 --> 00:01:29.760]  會變得好自私自利 好自我忠心
[00:01:29.760 --> 00:01:32.040]  只有自己沒有別人
[00:01:32.040 --> 00:01:33.840]  而正因為有一個這樣的趨勢
[00:01:33.840 --> 00:01:36.360]  我們更加需要彼此的提醒
[00:01:36.360 --> 00:01:39.360]  靠著主給我們的感動幫助
[00:01:39.360 --> 00:01:42.880]  我們學習守望相愛的人生
[00:01:42.880 --> 00:01:46.960]  而貼壽羅尼加前書的一班當時的信徒
[00:01:46.960 --> 00:01:50.360]  他們有很寶貴的見證和榜樣
[00:01:50.360 --> 00:01:52.600]  值得我們小心思想
[00:01:52.600 --> 00:01:54.480]  從他們身上學習
[00:01:54.480 --> 00:01:56.280]  我們請大家一起再同心祈禱
[00:01:56.280 --> 00:01:58.280]  將時間再加給主
[00:02:24.480 --> 00:02:26.600]  祈禱是引導我們的心
[00:02:26.600 --> 00:02:30.200]  不單單是關心自己的事情
[00:02:30.200 --> 00:02:33.520]  也讓你所給我們的感動和激勵
[00:02:33.520 --> 00:02:36.840]  知道去愛你 去愛人
[00:02:36.840 --> 00:02:39.840]  主也因為愛 永不自釋
[00:02:39.840 --> 00:02:42.800]  主也就求你讓你的生命
