
[00:00:00.000 --> 00:00:06.000]  今晚我哋所讀嘅經文大概係以賽亞書
[00:00:06.000 --> 00:00:15.000]  又係一段因為新約聖經福音書嘅記載
[00:00:15.000 --> 00:00:18.000]  所以我哋聽過吓
[00:00:18.000 --> 00:00:24.000]  六十一章主耶和華嘅靈
[00:00:24.000 --> 00:00:27.000]  喺我嘅身上
[00:00:27.000 --> 00:00:30.000]  路加福音話畀我哋聽
[00:00:30.000 --> 00:00:40.000]  耶穌喺佢嘅家鄉會堂讀完呢一段聖經
[00:00:40.000 --> 00:00:49.000]  佢就話今天這經應驗在你們耳中了
[00:00:49.000 --> 00:00:50.000]  有冇印象呀
[00:00:50.000 --> 00:00:52.000]  有呀
[00:00:52.000 --> 00:00:55.000]  預言應驗啦
[00:00:55.000 --> 00:01:03.000]  小心其實和合本嘅翻譯都用咗好多心機
[00:01:03.000 --> 00:01:09.000]  譬如你記唔記得馬太福音第五章登山補訓
[00:01:09.000 --> 00:01:18.000]  主耶穌話莫想我來是要廢掉律法和先知
[00:01:18.000 --> 00:01:21.000]  你有聖經喺手你打開嚟睇下
[00:01:21.000 --> 00:01:31.000]  我來不是要廢掉乃是要成全
[00:01:31.000 --> 00:01:38.000]  其實希臘文係應驗嗰個字嚟㗎
[00:01:38.000 --> 00:01:42.000]  馬太福音第一第二章都不斷提到
[00:01:42.000 --> 00:01:50.000]  這是要應驗先知所說的話說
[00:01:50.000 --> 00:01:52.000]  但係嚟到第五章
[00:01:52.000 --> 00:01:57.000]  一百年前中文聖經嘅翻譯
[00:01:57.000 --> 00:02:05.000]  就決定唔係應驗律法和先知
[00:02:05.000 --> 00:02:12.000]  係要成全律法和先知
[00:02:12.000 --> 00:02:14.000]  有乜嘢唔同呀
[00:02:14.000 --> 00:02:15.000]  有呀
[00:02:15.000 --> 00:02:19.000]  應驗我哋就係講預言應驗
[00:02:19.000 --> 00:02:21.000]  成全
[00:02:21.000 --> 00:02:28.000]  我哋係講應許成全
[00:02:28.000 --> 00:02:35.000]  我喜歡用嘅例子我都講過好多次㗎啦
[00:02:35.000 --> 00:02:38.000]  我應承我嘅女細個嘅時候
[00:02:38.000 --> 00:02:43.000]  帶佢星期六去海洋公園
[00:02:43.000 --> 00:02:44.000]  你聽到
[00:02:44.000 --> 00:02:50.000]  星期六上晝你又喺海洋公園見到我同我太太同個女一齊
[00:02:50.000 --> 00:02:54.000]  你走埋嚟同我鞠個鞠躬
[00:02:54.000 --> 00:02:58.000]  當時未係院長我個女仲細嘅時候
[00:02:58.000 --> 00:02:59.000]  李博士
[00:02:59.000 --> 00:03:02.000]  你真係靈呀
[00:03:02.000 --> 00:03:05.000]  星期一你預言嚟海洋公園
[00:03:05.000 --> 00:03:09.000]  星期六你果然嚟咗啦
[00:03:09.000 --> 00:03:11.000]  唔係
[00:03:11.000 --> 00:03:15.000]  你要嚟同我打招呼大概你唔會咁講
