
[00:00:00.000 --> 00:00:03.000]  實在很感謝神,感謝神的帶領
[00:00:03.000 --> 00:00:09.000]  今天能夠和大家講小仙之書的最後一卷
[00:00:09.000 --> 00:00:11.000]  是《馬拉基書》
[00:00:11.000 --> 00:00:15.000]  不知不覺就講到最後一卷了
[00:00:15.000 --> 00:00:17.000]  這真是神很大的恩典
[00:00:17.000 --> 00:00:21.000]  《馬拉基書》也是舊約聖經裡最後的一卷書
[00:00:21.000 --> 00:00:27.000]  神透過《馬拉基仙之》宣講完這個信息之後
[00:00:27.000 --> 00:00:30.000]  就沉默了四百多年
[00:00:30.000 --> 00:00:34.000]  直至到施洗約翰那個時代
[00:00:34.000 --> 00:00:40.000]  才再有聲音和百姓講
[00:00:40.000 --> 00:00:45.000]  所以《馬拉基書》的信息是很重要
[00:00:45.000 --> 00:00:51.000]  講完就不再講了
[00:00:51.000 --> 00:00:55.000]  《馬拉基》這個名字的意思
[00:00:55.000 --> 00:00:58.000]  是神的信差
[00:00:58.000 --> 00:01:00.000]  是神的messenger
[00:01:00.000 --> 00:01:02.000]  這個信差不是只是遞信
[00:01:02.000 --> 00:01:05.000]  這個信差是用口傳的
[00:01:05.000 --> 00:01:12.000]  他向神的百姓宣講神的話
[00:01:12.000 --> 00:01:15.000]  神為什麼要在那個時候
[00:01:15.000 --> 00:01:19.000]  向百姓講話呢
[00:01:19.000 --> 00:01:22.000]  是因為百姓在那個時候
[00:01:22.000 --> 00:01:26.000]  曾經偏離神的話語
[00:01:26.000 --> 00:01:30.000]  偏離真道
[00:01:30.000 --> 00:01:33.000]  神發聲呼籲百姓悔改回頭
[00:01:33.000 --> 00:01:39.000]  免得審判臨到的時候太遲了
[00:01:39.000 --> 00:01:41.000]  我們會問
[00:01:41.000 --> 00:01:48.000]  他們為什麼會偏離真道呢
[00:01:48.000 --> 00:01:53.000]  前幾次我們講到哈該書和撒加利亞書
[00:01:53.000 --> 00:01:58.000]  那裡不是說百姓很齊心努力
[00:01:58.000 --> 00:02:06.000]  很積極地一起去重建聖殿
[00:02:06.000 --> 00:02:08.000]  重建聖殿的時候
[00:02:08.000 --> 00:02:10.000]  成功的那段時間
[00:02:10.000 --> 00:02:16.000]  也帶給百姓有一段復興的時候
[00:02:16.000 --> 00:02:18.000]  但是很可惜
[00:02:18.000 --> 00:02:21.000]  隨著先知過去之後
[00:02:21.000 --> 00:02:26.000]  百姓的信仰也開始變質
[00:02:26.000 --> 00:02:30.000]  各人任意而行
[00:02:30.000 --> 00:02:34.000]  如果用今天的說話來形容他們的情況
[00:02:34.000 --> 00:02:40.000]  就是他們的信仰變成自由主義
[00:02:40.000 --> 00:02:44.000]  所謂很自由主義
[00:02:44.000 --> 00:02:48.000]  在那段時間隔了70年
[00:02:48.000 --> 00:02:53.000]  到了尼希米回歸
[00:02:53.000 --> 00:02:59.000]  尼希米回歸之後呼籲百姓重建城牆
[00:02:59.000 --> 00:03:04.000]  百姓也很信服
