
[00:00:00.000 --> 00:00:02.000]  今天和大家分享的是
[00:00:02.000 --> 00:00:03.640]  如果你看到這個題目就知道了
[00:00:03.640 --> 00:00:05.600]  我們繼續在七教會
[00:00:05.600 --> 00:00:06.800]  啟示錄裏面
[00:00:06.800 --> 00:00:08.080]  七教會之中
[00:00:08.080 --> 00:00:10.960]  今天已經說到第五間教會
[00:00:10.960 --> 00:00:13.920]  第五間教會叫做「薩迪教會」
[00:00:13.920 --> 00:00:16.160]  這間教會有人給它一個名稱
[00:00:16.160 --> 00:00:17.960]  就是「名傳實亡」
[00:00:17.960 --> 00:00:20.360]  也很慘
[00:00:20.360 --> 00:00:23.600]  不如我們先看看它的經文是怎樣的
[00:00:23.600 --> 00:00:25.280]  好
[00:00:25.280 --> 00:00:28.280]  六節而已,這次不是很多
[00:00:28.280 --> 00:00:31.680]  不如請大家一齊讀完這六節經文
[00:00:31.680 --> 00:00:33.000]  好,一來一起
[00:00:33.000 --> 00:00:57.600]  所以要回想你是怎樣領受
[00:00:57.600 --> 00:00:59.360]  怎樣聽見的
[00:00:59.360 --> 00:01:00.800]  又要遵守
[00:01:00.800 --> 00:01:02.480]  並要悔改
[00:01:02.480 --> 00:01:03.800]  又不警醒
[00:01:03.800 --> 00:01:05.960]  我必臨到你那裏
[00:01:05.960 --> 00:01:07.720]  如同賊一樣
[00:01:07.720 --> 00:01:09.280]  我幾時臨到
[00:01:09.280 --> 00:01:11.480]  你也決不能知道
[00:01:11.480 --> 00:01:13.400]  然而在薩迪
[00:01:13.400 --> 00:01:16.000]  你還有幾名是未曾
[00:01:16.000 --> 00:01:18.280]  污穢自己衣服的
[00:01:18.280 --> 00:01:21.880]  他們要穿白衣與我同行
[00:01:21.880 --> 00:01:24.920]  因為他們是配得過的
[00:01:24.920 --> 00:01:26.280]  凡得勝的
[00:01:26.280 --> 00:01:28.640]  必這樣穿白衣
[00:01:28.640 --> 00:01:31.480]  我也必不從生命賊上
[00:01:31.480 --> 00:01:33.200]  逃沒他的命
[00:01:33.200 --> 00:01:35.840]  且要在他父母面前
[00:01:35.840 --> 00:01:38.640]  和我父眾使者面前
[00:01:38.640 --> 00:01:40.480]  認他的命
[00:01:40.480 --> 00:01:43.640]  能向宗教會所說的話
[00:01:43.640 --> 00:01:44.960]  凡有異的
[00:01:44.960 --> 00:01:46.520]  就應當聽
[00:01:46.520 --> 00:01:48.480]  這裏是六節經文
[00:01:48.480 --> 00:01:50.640]  一般來說
[00:01:50.640 --> 00:01:52.560]  無論我們過往
[00:01:52.560 --> 00:01:54.480]  「以弗所」、「善滿娜」
[00:01:54.480 --> 00:01:56.480]  「別加摩」和「推也推拉」
[00:01:56.480 --> 00:02:00.080]  都有稱讚這幾間教會
[00:02:00.080 --> 00:02:02.280]  唯獨去到薩迪教會
[00:02:02.280 --> 00:02:04.960]  很多人一句稱讚都沒有
[00:02:04.960 --> 00:02:07.440]  一句稱讚他們的說話都沒有
[00:02:07.440 --> 00:02:12.040]  在未說怎樣稱讚他們之前
[00:02:12.040 --> 00:02:13.680]  一會兒我們深入去看看
[00:02:13.680 --> 00:02:17.680]  為何我的講題叫「名存實亡」
[00:02:17.680 --> 00:02:19.680]  一會兒我們慢慢去看看
[00:02:19.680 --> 00:02:21.680]  一般來說
[00:02:21.680 --> 00:02:23.880]  這封信是有格式的
[00:02:23.880 --> 00:02:25.680]  書信的格式
[00:02:25.680 --> 00:02:28.240]  裏面通常開始時
[00:02:28.240 --> 00:02:29.680]  稱讚耶穌
[00:02:29.680 --> 00:02:31.200]  稱讚教會
[00:02:31.200 --> 00:02:32.480]  責備他們
[00:02:32.480 --> 00:02:35.080]  然後告訴他們有甚麼獎賞
[00:02:35.080 --> 00:02:38.040]  很多時候說的內容
[00:02:38.040 --> 00:02:41.080]  和那個地方有些關係
[00:02:41.080 --> 00:02:42.880]  和薩迪這個城市
[00:02:42.880 --> 00:02:46.680]  或教會的地理、歷史有些關係
[00:02:46.680 --> 00:02:52.800]  我們一路經由「以弗所」上去
[00:02:52.800 --> 00:02:54.480]  事妹、比加摩
[00:02:54.480 --> 00:02:56.080]  上次我講「推也推拉」
[00:02:56.080 --> 00:02:58.080]  現在講到薩迪
[00:02:58.080 --> 00:03:00.880]  薩迪上次「推也推拉」
[00:03:00.880 --> 00:03:02.080]  在歷史上
[00:03:02.080 --> 00:03:04.480]  不是很多遺跡可以看到
[00:03:04.480 --> 00:03:06.480]  但「推也推拉」不是
[00:03:06.480 --> 00:03:10.320]  即表示它倒塌後
[00:03:10.320 --> 00:03:11.280]  仍有些譜
