
[00:00:00.000 --> 00:00:02.360]  今天是大年初二
[00:00:02.360 --> 00:00:05.400]  所以講道之前也想和大家拜個年
[00:00:05.400 --> 00:00:08.840]  祝大家專一愛主
[00:00:08.840 --> 00:00:11.120]  熱心愛人
[00:00:11.120 --> 00:00:12.880]  常夢主恩
[00:00:12.880 --> 00:00:15.440]  站立得穩
[00:00:15.440 --> 00:00:19.280]  在我們講道之前 我們一起禱告
[00:00:19.280 --> 00:00:21.600]  心愛我們的天父上帝 多謝祢
[00:00:21.600 --> 00:00:24.720]  縱然我們回不來 祢的教會去敬拜
[00:00:24.720 --> 00:00:27.360]  祢讓我們仍然可以透過網上
[00:00:27.360 --> 00:00:28.920]  一起敬拜祢
[00:00:28.920 --> 00:00:33.520]  求主預備我們的心去領受上帝的教導
[00:00:33.520 --> 00:00:37.120]  賜給我們謙卑的心去聆聽
[00:00:37.120 --> 00:00:42.400]  賜給我們在祢的教導裡面願意去行道的靈
[00:00:42.400 --> 00:00:45.440]  以致上帝的說話讓我們紮心
[00:00:45.440 --> 00:00:47.320]  又賜給我們勇氣
[00:00:47.320 --> 00:00:49.520]  讓我們能夠在這個世代當中
[00:00:49.520 --> 00:00:52.160]  將祢的教導來到前行出來
[00:00:52.160 --> 00:00:54.160]  多謝祢聽我們的禱告
[00:00:54.160 --> 00:00:56.240]  禱告奉靠 主耶穌基督
[00:00:56.240 --> 00:00:59.280]  得勝明智而求 阿們
[00:01:27.160 --> 00:01:29.760]  農曆新年本來是一個喜氣洋洋
[00:01:29.760 --> 00:01:31.600]  互相祝賀的日子
[00:01:31.600 --> 00:01:34.840]  但現在總是覺得有點冷冷清清
[00:01:34.840 --> 00:01:36.080]  昔日的以色列人
[00:01:36.080 --> 00:01:39.560]  他們住得離開耶路撒冷很遠
[00:01:39.560 --> 00:01:42.600]  他們都是每年在一些重要的節日
[00:01:42.600 --> 00:01:46.640]  好像如月節、修葛節、鑄蟠節
[00:01:46.640 --> 00:01:51.840]  才會千里迢迢來到耶路撒冷的聖殿去敬拜神
[00:01:51.840 --> 00:01:55.160]  詩篇84篇是一篇朝聖的詩歌
[00:01:55.160 --> 00:01:58.280]  由三幅很美的圖畫來組成
[00:01:58.280 --> 00:02:02.960]  描述詩人是何等渴慕來到聖殿去敬拜
[00:02:02.960 --> 00:02:06.320]  和祂在朝聖路上怎樣去蒙福
[00:02:06.320 --> 00:02:09.040]  在聖殿裡親近神的時候
