
[00:00:00.000 --> 00:00:02.000]  早上好 平安
[00:00:02.000 --> 00:00:05.000]  今天已經是8月2日了
[00:00:05.000 --> 00:00:07.000]  很快就會過年了
[00:00:07.000 --> 00:00:09.000]  我記得每次過年的時候
[00:00:09.000 --> 00:00:12.000]  我們去到一些店鋪 銀行
[00:00:12.000 --> 00:00:19.000]  都會看到貼了一些警方的溫馨提示
[00:00:19.000 --> 00:00:21.000]  叫大家小心門戶
[00:00:21.000 --> 00:00:23.000]  大家的屋苑門口下面
[00:00:23.000 --> 00:00:28.000]  都可能貼了一些小心門戶的告示
[00:00:28.000 --> 00:00:30.000]  我想問問大家
[00:00:30.000 --> 00:00:32.000]  你們的錢放在哪裏
[00:00:32.000 --> 00:00:36.000]  有些說是在銀包的
[00:00:36.000 --> 00:00:38.000]  早上的時候
[00:00:38.000 --> 00:00:40.000]  有些放在哪裏
[00:00:40.000 --> 00:00:42.000]  鞋盒 飯盒
[00:00:42.000 --> 00:00:44.000]  因為在哪裏
[00:00:44.000 --> 00:00:46.000]  大部份在銀行
[00:00:46.000 --> 00:00:50.000]  多數都會放在銀行
[00:00:50.000 --> 00:00:52.000]  為甚麼 因為利息
[00:00:52.000 --> 00:00:54.000]  現在有一毫子利息
[00:00:54.000 --> 00:00:56.000]  每半年都不知道有沒有
[00:00:56.000 --> 00:00:58.000]  很大一毫子
[00:00:58.000 --> 00:01:02.000]  利息當然特別是過去
[00:01:02.000 --> 00:01:03.000]  是一個原因
[00:01:03.000 --> 00:01:04.000]  而最重要
[00:01:04.000 --> 00:01:06.000]  我們覺得為甚麼放在銀行
[00:01:06.000 --> 00:01:08.000]  是因為那裏安全
[00:01:08.000 --> 00:01:10.000]  覺得安全
[00:01:10.000 --> 00:01:11.000]  為甚麼覺得安全
[00:01:11.000 --> 00:01:13.000]  因為那裏有權威
[00:01:13.000 --> 00:01:15.000]  即是說那裏穩健
[00:01:15.000 --> 00:01:17.000]  又可靠
[00:01:17.000 --> 00:01:19.000]  你信得過它
[00:01:19.000 --> 00:01:21.000]  你信得過這個銀行不會
[00:01:21.000 --> 00:01:23.000]  今天你回去睡覺
[00:01:23.000 --> 00:01:26.000]  翌日起床 整間不見了
[00:01:26.000 --> 00:01:28.000]  信得過它
[00:01:28.000 --> 00:01:30.000]  打開保仔的時候
[00:01:30.000 --> 00:01:31.000]  不會突然間多了十億
[00:01:31.000 --> 00:01:33.000]  翌日又不見了十億
[00:01:33.000 --> 00:01:36.000]  這些暫時未在香港發生
[00:01:36.000 --> 00:01:39.000]  你都信得過它
[00:01:39.000 --> 00:01:41.000]  是有人保護
