
[00:00:00.000 --> 00:00:04.000]  好,在家裡面的弟兄姊妹都早安
[00:00:04.000 --> 00:00:09.740]  很感恩再一次能夠來到啟福堂去崇拜
[00:00:09.740 --> 00:00:11.760]  我經常覺得都是很感恩的
[00:00:11.760 --> 00:00:16.460]  每天早上起床看到有陽光
[00:00:16.460 --> 00:00:19.560]  耳朵可以聽到聲音
[00:00:19.560 --> 00:00:21.560]  嘴巴可以唱到歌
[00:00:21.560 --> 00:00:24.380]  可以聽到講道
[00:00:24.380 --> 00:00:26.380]  是很感恩的事情
[00:00:26.380 --> 00:00:31.120]  多謝詠傳牧師幫我改一個更好的題目
[00:00:31.120 --> 00:00:33.120]  應該是主內合一是好一點的
[00:00:33.120 --> 00:00:35.120]  所以很感恩
[00:00:35.120 --> 00:00:37.120]  但我們無論聽到講道的
[00:00:37.120 --> 00:00:39.120]  都是要在主裡面
[00:00:39.120 --> 00:00:41.120]  我們同心圖告
[00:00:41.120 --> 00:00:45.420]  親愛的主我們完全去仰望祢
[00:00:45.420 --> 00:00:46.920]  去依靠祢
[00:00:46.920 --> 00:00:49.920]  求祢的靈在我們心裡面去工作
[00:00:49.920 --> 00:00:51.920]  提醒我們
[00:00:51.920 --> 00:00:54.920]  將祢要我們去學習的、領受的、實踐的
[00:00:54.920 --> 00:00:56.920]  教導我們、幫助我們
[00:00:56.920 --> 00:01:00.920]  以致我們的人生真是唯一追求的
[00:01:00.920 --> 00:01:02.920]  就是討祢的喜悅
[00:01:02.920 --> 00:01:05.920]  願祢祝福我們每一個無論在家裡面
[00:01:05.920 --> 00:01:08.920]  無論在現場的弟兄姊妹
[00:01:08.920 --> 00:01:10.920]  我們同心圖告仰望
[00:01:10.920 --> 00:01:12.920]  奉耶穌基督的聖名
[00:01:12.920 --> 00:01:14.920]  阿們
[00:01:14.920 --> 00:01:17.920]  這個月頭美國有大選
[00:01:17.920 --> 00:01:19.920]  有總統選舉
[00:01:19.920 --> 00:01:23.920]  現在拜登宣佈自己當選
[00:01:23.920 --> 00:01:25.920]  在競選的時候
[00:01:25.920 --> 00:01:27.920]  你看到互相攻擊
[00:01:27.920 --> 00:01:29.920]  盡量攻擊對方
[00:01:29.920 --> 00:01:32.920]  盡量攻擊共和黨
[00:01:32.920 --> 00:01:34.920]  當選舉之後
[00:01:34.920 --> 00:01:37.920]  他宣佈自己當選之後
[00:01:37.920 --> 00:01:39.920]  拜登怎麼說呢
[00:01:39.920 --> 00:01:42.920]  有一篇他剛剛宣佈自己當選
[00:01:42.920 --> 00:01:45.920]  我就聽聽他怎麼說
[00:01:45.920 --> 00:01:48.920]  他說現在不是blue states
[00:01:48.920 --> 00:01:50.920]  不是red states
[00:01:50.920 --> 00:01:53.920]  是united states
[00:01:53.920 --> 00:01:56.920]  很明顯當選之後
[00:01:56.920 --> 00:01:58.920]  他有一個很重要的任務
[00:01:58.920 --> 00:02:00.920]  你看到他說很多次
[00:02:00.920 --> 00:02:02.920]  我們要放下那些分歧
[00:02:02.920 --> 00:02:04.920]  我們要團結
[00:02:04.920 --> 00:02:06.920]  團結美國現在是
[00:02:06.920 --> 00:02:10.920]  他將來應該是一個很重要的任務
[00:02:10.920 --> 00:02:12.920]  因為在他眼中
[00:02:12.920 --> 00:02:16.920]  特朗普搞到美國真的四分五裂
[00:02:16.920 --> 00:02:18.920]  團結合一很重要
[00:02:18.920 --> 00:02:23.920]  我們香港人應該很感同身受
[00:02:23.920 --> 00:02:25.920]  一場的社會運動
[00:02:25.920 --> 00:02:28.920]  就令人分開了兩種顏色
[00:02:28.920 --> 00:02:29.920]  一種黃色
[00:02:29.920 --> 00:02:31.920]  一種藍色
[00:02:31.920 --> 00:02:34.920]  曾經有一個肢體問我
[00:02:34.920 --> 00:02:37.920]  陳牧師你是什麼顏色的
[00:02:37.920 --> 00:02:38.920]  我想一想
[00:02:38.920 --> 00:02:40.920]  我是基督徒
[00:02:40.920 --> 00:02:42.920]  我應該是跟從主
[00:02:42.920 --> 00:02:44.920]  我就回答他
[00:02:44.920 --> 00:02:48.920]  我就不以顏色去自分
[00:02:48.920 --> 00:02:50.920]  其實在我眼中
[00:02:50.920 --> 00:02:53.920]  藍色黃色都有對有錯
[00:02:53.920 --> 00:02:55.920]  我們應該以事論事
[00:02:55.920 --> 00:03:01.920]  應該用聖經真理去衡量和判斷
[00:03:01.920 --> 00:03:05.920]  但很明顯不只是這間教會
[00:03:05.920 --> 00:03:10.920]  很多教會都面對藍色黃色的衝擊
[00:03:10.920 --> 00:03:14.920]  衝擊著教會的團結和合一
[00:03:14.920 --> 00:03:15.920]  大約一年前
[00:03:15.920 --> 00:03:19.920]  我有一次去一間很大的教會去崇拜
[00:03:19.920 --> 00:03:22.920]  他應該有三四千人
[00:03:22.920 --> 00:03:24.920]  每一個星期崇拜
[00:03:24.920 --> 00:03:28.920]  我就去了最大的那一堂崇拜
[00:03:28.920 --> 00:03:30.920]  在講壇裏面
[00:03:30.920 --> 00:03:31.920]  那位牧者就分享
[00:03:31.920 --> 00:03:34.920]  其實他分享想愛那些年青人
[00:03:34.920 --> 00:03:36.920]  但當他講到愛那些年青人
[00:03:36.920 --> 00:03:38.920]  有一個肢體直頭站起來
[00:03:38.920 --> 00:03:41.920]  在大堂裏面很大聲問
[00:03:41.920 --> 00:03:43.920]  你是不是黃色的?
[00:03:43.920 --> 00:03:47.920]  然後那個肢體就反而離席
[00:03:47.920 --> 00:03:48.920]  離開了教會
[00:03:48.920 --> 00:03:50.920]  即是出去誤災崇拜
[00:03:50.920 --> 00:03:52.920]  這件事我很深印象
[00:03:52.920 --> 00:03:54.920]  也很唏噓
[00:03:54.920 --> 00:03:56.920]  究竟崇拜重要
[00:03:56.920 --> 00:03:59.920]  還是在這一刻
[00:03:59.920 --> 00:04:03.920]  你真的要分藍分黃重要一點呢?
[00:04:03.920 --> 00:04:06.920]  教會的團結合一重要一點
[00:04:06.920 --> 00:04:09.920]  還是這些政見重要一點呢?
[00:04:09.920 --> 00:04:11.920]  弟兄姊妹
[00:04:11.920 --> 00:04:12.920]  在教會
[00:04:12.920 --> 00:04:14.920]  我自己很鼓勵
[00:04:14.920 --> 00:04:17.920]  盡量不要被顏色分化
[00:04:17.920 --> 00:04:19.920]  我們盡量要竭力
[00:04:19.920 --> 00:04:22.920]  保守聖靈所賜的合一
[00:04:22.920 --> 00:04:25.920]  但往往我們做些什麼呢?
[00:04:25.920 --> 00:04:28.920]  我們很想去同化對方
